accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.046511627906976744,0.1337579617834395,LR,0.1,Clean,0.00015317082405090333,50,200,,,,
0.865,0.9850746268656716,0.8407643312101911,0.9072164948453608,0.046511627906976744,0.1592356687898089,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.815,0.9838709677419355,0.7770700636942676,0.8683274021352313,0.046511627906976744,0.2229299363057325,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.795,0.967741935483871,0.7643312101910829,0.8540925266903915,0.09302325581395349,0.2356687898089172,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.79,0.9389312977099237,0.7834394904458599,0.8541666666666666,0.18604651162790697,0.21656050955414013,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.89,0.9856115107913669,0.8726114649681529,0.9256756756756757,0.046511627906976744,0.12738853503184713,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.89,0.9856115107913669,0.8726114649681529,0.9256756756756757,0.046511627906976744,0.12738853503184713,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.805,0.9538461538461539,0.7898089171974523,0.8641114982578397,0.13953488372093023,0.21019108280254778,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.805,0.9538461538461539,0.7898089171974523,0.8641114982578397,0.13953488372093023,0.21019108280254778,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.65,0.8849557522123894,0.6369426751592356,0.7407407407407407,0.3023255813953488,0.3630573248407643,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.64,0.8695652173913043,0.6369426751592356,0.7352941176470589,0.3488372093023256,0.3630573248407643,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
