accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled,seed
0.9037882915965788,0.9680723692962618,0.9037225620168275,0.9347913354850104,0.096,0.0962774379831724,LR,smote,True,15.0,clean,0.0,,,,,,,,,42
0.9058494633845864,0.9709129724140232,0.9036915147940016,0.9360969962050556,0.0872,0.0963084852059983,SVM,smote,True,15.0,clean,0.0,,,,,,,,,42
0.9987680352531452,0.9995650147584278,0.9988202055326152,0.9991924713482624,0.0014,0.0011797944673848,RF,smote,True,15.0,clean,0.0,,,,,,,,,42
0.9645810135279206,0.9950996195757302,0.958303579744792,0.9763550381957076,0.0152,0.0416964202552081,MLP,smote,True,15.0,clean,0.0,,,,,,,,,42
0.7984789973702291,0.9626419955498302,0.7656245148871433,0.8529035382008093,0.0957,0.2343754851128566,LR,smote,True,15.0,FGSM_eps0.15,0.1064228008244687,FGSM,0.15,1.0,,,,,,42
0.6697860645833827,0.8969712771042454,0.640876773572604,0.747600593966173,0.2371,0.3591232264273961,SVM,smote,True,15.0,FGSM_eps0.15,0.2588310549882726,FGSM,0.15,1.0,,,,,,42
0.1322703688786751,0.1983335609889359,0.0450805675432332,0.0734631925120161,0.5869,0.9549194324567668,RF,smote,True,15.0,FGSM_eps0.15,0.8672321068966334,FGSM,0.15,1.0,,,,,,42
0.050249946693833,0.1384121156493804,0.0468192120214846,0.0699703043801039,0.9387,0.9531807879785154,MLP,smote,True,15.0,FGSM_eps0.15,0.9493946788599588,FGSM,0.15,1.0,,,,,,42
0.6560686109597479,0.8910352753956325,0.6258188705020336,0.7352410132953986,0.2465,0.3741811294979664,LR,smote,True,15.0,FGSM_eps0.3,0.2737804733587623,FGSM,0.3,1.0,,,,,,42
0.4219716174275628,0.6942744863950654,0.4333260889813406,0.5336060559718612,0.6146,0.5666739110186594,SVM,smote,True,15.0,FGSM_eps0.3,0.5122367267644341,FGSM,0.3,1.0,,,,,,42
