,n,n,n_detected_clean,n_detected_clean,asr,asr,fnr_under_attack,fnr_under_attack,iters,iters,confidence,confidence
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,
0.15,4220.9,2236.435772594771,3031.865,1512.297280701459,0.5524205339749073,0.44679600611338216,0.5905643641526267,0.3870825359359461,12.0,9.907754842042506,,
0.3,4220.9,2236.435772594771,3031.865,1512.297280701459,0.637516306094783,0.4058451439967502,0.6583007596338223,0.3537264350711083,12.0,9.907754842042506,,
0.5,4220.9,2236.435772594771,3031.865,1512.297280701459,0.6707079651889919,0.3731406956252699,0.6807888975465844,0.3322501958368954,12.0,9.907754842042506,,
0.75,4220.9,2236.435772594771,3031.865,1512.297280701459,0.6874590480961258,0.36186171041575876,0.6926675748632254,0.3255702249610019,12.0,9.907754842042506,,
,4220.9,2237.369761264676,3031.865,1512.9288519466584,0.4814685326779988,0.47594124171863367,0.5370945532762122,0.40876169327002965,10.0,0.0,0.25,0.25031308716087936
