model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
SVM,FGSM_eps0.3,4004,2956,0.5602165087956699,0.4230769230769231,FGSM,0.3,1,ddos,,42
SVM,FGSM_eps0.3,4117,3609,0.0149625935162094,0.1277629341753704,FGSM,0.3,1,dos,,42
SVM,FGSM_eps0.3,3900,3740,0.406951871657754,0.4266666666666667,FGSM,0.3,1,injection,,42
SVM,FGSM_eps0.3,209,113,0.2300884955752212,0.5454545454545454,FGSM,0.3,1,mitm,,42
SVM,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,,42
SVM,FGSM_eps0.3,3980,3936,0.4362296747967479,0.4414572864321608,FGSM,0.3,1,password,,42
SVM,FGSM_eps0.3,3903,3328,0.8064903846153846,0.8344862925954394,FGSM,0.3,1,ransomware,,42
SVM,FGSM_eps0.3,4041,3653,0.8713386257870244,0.8698341994555803,FGSM,0.3,1,scanning,,42
SVM,FGSM_eps0.3,4002,3719,0.3866630814735143,0.4222888555722139,FGSM,0.3,1,xss,,42
RF,FGSM_eps0.3,4053,4053,0.999013076733284,0.999013076733284,FGSM,0.3,1,backdoor,,42
RF,FGSM_eps0.3,4004,3988,0.746740220661986,0.7437562437562437,FGSM,0.3,1,ddos,,42
RF,FGSM_eps0.3,4117,4109,0.989291798491117,0.9890697109545786,FGSM,0.3,1,dos,,42
RF,FGSM_eps0.3,3900,3895,0.9912708600770218,0.9902564102564102,FGSM,0.3,1,injection,,42
RF,FGSM_eps0.3,209,200,0.905,0.8947368421052632,FGSM,0.3,1,mitm,,42
RF,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,,42
RF,FGSM_eps0.3,3980,3980,0.9977386934673368,0.9977386934673368,FGSM,0.3,1,password,,42
RF,FGSM_eps0.3,3903,3903,0.9994875736612862,0.9994875736612862,FGSM,0.3,1,ransomware,,42
RF,FGSM_eps0.3,4041,4041,0.9037366988369216,0.9037366988369216,FGSM,0.3,1,scanning,,42
RF,FGSM_eps0.3,4002,4002,0.9837581209395302,0.9837581209395302,FGSM,0.3,1,xss,,42
MLP,FGSM_eps0.3,4053,4049,1.0,1.0,FGSM,0.3,1,backdoor,,42
MLP,FGSM_eps0.3,4004,2975,0.9926050420168068,0.7387612387612388,FGSM,0.3,1,ddos,,42
MLP,FGSM_eps0.3,4117,4066,0.999508116084604,0.9876123390818558,FGSM,0.3,1,dos,,42
MLP,FGSM_eps0.3,3900,3867,0.9932764416860616,0.9848717948717948,FGSM,0.3,1,injection,,42
MLP,FGSM_eps0.3,209,160,0.925,0.7129186602870813,FGSM,0.3,1,mitm,,42
MLP,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,,42
MLP,FGSM_eps0.3,3980,3970,0.9675062972292192,0.9660804020100504,FGSM,0.3,1,password,,42
MLP,FGSM_eps0.3,3903,3860,1.0,0.988982833717653,FGSM,0.3,1,ransomware,,42
MLP,FGSM_eps0.3,4041,3976,1.0,0.9841623360554318,FGSM,0.3,1,scanning,,42
MLP,FGSM_eps0.3,4002,3943,0.9949277200101444,0.9805097451274364,FGSM,0.3,1,xss,,42
LR,FGSM_eps0.5,4053,4050,0.9960493827160494,0.996052306933136,FGSM,0.5,1,backdoor,,42
LR,FGSM_eps0.5,4004,2956,0.5463464140730717,0.4203296703296703,FGSM,0.5,1,ddos,,42
LR,FGSM_eps0.5,4117,3608,0.0013858093126385,0.1192615982511537,FGSM,0.5,1,dos,,42
LR,FGSM_eps0.5,3900,3740,0.2409090909090909,0.2692307692307692,FGSM,0.5,1,injection,,42
LR,FGSM_eps0.5,209,112,0.2232142857142857,0.5645933014354066,FGSM,0.5,1,mitm,,42
LR,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,,42
