accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.9039778246345566,0.9681119904236216,0.903939892576609,0.934926063291749,0.0959,0.0960601074233909,LR,tuned,clean,0.0,"{'class_weight': None, 'C': 0.01}",,,,,,,,,,,,42
0.8881755075931673,0.9672933736783056,0.8833245366201993,0.923403979098374,0.0962,0.1166754633798006,LR,tuned,FGSM_eps0.15,0.0164419910445639,"{'class_weight': None, 'C': 0.01}",FGSM,0.15,1.0,,,,,,,,,42
0.6573005757066028,0.8972774493999641,0.6221242509857493,0.7347866742450634,0.2294,0.3778757490142507,LR,tuned,FGSM_eps0.3,0.2663176099883911,"{'class_weight': None, 'C': 0.01}",FGSM,0.3,1.0,,,,,,,,,42
0.6039944087753797,0.8568730421964252,0.5775093917849048,0.6899864606710314,0.3107,0.4224906082150951,LR,tuned,FGSM_eps0.5,0.326352199767822,"{'class_weight': None, 'C': 0.01}",FGSM,0.5,1.0,,,,,,,,,42
0.444289132649435,0.7216959627171876,0.4423297836008569,0.5484889316650625,0.5494,0.557670216399143,LR,tuned,FGSM_eps0.75,0.4881897225710156,"{'class_weight': None, 'C': 0.01}",FGSM,0.75,1.0,,,,,,,,,42
0.8429008031462484,0.9469802879910528,0.8412245024682542,0.8909751566070929,0.1517,0.1587754975317457,LR,tuned,PGD_eps0.15_it10,0.0845317349380463,"{'class_weight': None, 'C': 0.01}",PGD,0.15,10.0,,,,,,,,,42
0.846904688573527,0.9497292576419214,0.8440497997454127,0.8937765065588322,0.1439,0.1559502002545872,LR,tuned,PGD_eps0.15_it25,0.0772347129759056,"{'class_weight': None, 'C': 0.01}",PGD,0.15,25.0,,,,,,,,,42
0.7046127603117819,0.897795510417926,0.6916389828929802,0.7813475500683946,0.2536,0.3083610171070198,LR,tuned,PGD_eps0.3_it10,0.2218721125826245,"{'class_weight': None, 'C': 0.01}",PGD,0.3,10.0,,,,,,,,,42
0.7709967068634651,0.9093220031230708,0.7774224595609923,0.8382151106350216,0.2497,0.2225775404390077,LR,tuned,PGD_eps0.3_it25,0.153663910540406,"{'class_weight': None, 'C': 0.01}",PGD,0.3,25.0,,,,,,,,,42
0.5747115544078277,0.7817563828946328,0.6141140674966624,0.687868407782859,0.5522,0.3858859325033376,LR,tuned,PGD_eps0.5_it10,0.3549716885024521,"{'class_weight': None, 'C': 0.01}",PGD,0.5,10.0,,,,,,,,,42
0.5259541803880688,0.7492237293675437,0.5693439721816883,0.6470142012878186,0.6138,0.4306560278183116,LR,tuned,PGD_eps0.5_it25,0.4066431329811177,"{'class_weight': None, 'C': 0.01}",PGD,0.5,25.0,,,,,,,,,42
0.5474187969390414,0.8017312828068883,0.5405942438448881,0.6457618632595916,0.4306,0.4594057561551119,LR,tuned,PGD_eps0.75_it10,0.3831647279016323,"{'class_weight': None, 'C': 0.01}",PGD,0.75,10.0,,,,,,,,,42
0.4437442251652491,0.6843950659006421,0.5029960570027011,0.5798393013725596,0.7471,0.4970039429972989,LR,tuned,PGD_eps0.75_it25,0.4892795375393873,"{'class_weight': None, 'C': 0.01}",PGD,0.75,25.0,,,,,,,,,42
0.9026984766282072,0.967338521918446,0.9029774286690057,0.934050582095544,0.0982,0.0970225713309944,LR,tuned,CW_c0.0_it10,0.0013267312658437,"{'class_weight': None, 'C': 0.01}",CW,,10.0,0.0,,,,,,,,42
0.90267478499846,0.9672131147540984,0.9030705703374832,0.9340419382807232,0.0986,0.0969294296625166,LR,tuned,CW_c0.5_it10,0.0013741145253381,"{'class_weight': None, 'C': 0.01}",CW,,10.0,0.5,,,,,,,,42
0.08,0.1111111111111111,0.12,0.1153846153846153,0.96,0.88,LR,tuned,HopSkipJump_direct,1.0,"{'class_weight': None, 'C': 0.01}",,,,,100.0,92.0,0.624233067035675,556.0,0.0,0.0,0.751044511795044,42
0.9037882915965788,0.9680723692962618,0.9037225620168275,0.9347913354850104,0.096,0.0962774379831724,LR,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,,42
0.7984789973702291,0.9626419955498302,0.7656245148871433,0.8529035382008093,0.0957,0.2343754851128566,LR,as_submitted,FGSM_eps0.15,0.1064228008244687,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,,42
0.6560686109597479,0.8910352753956325,0.6258188705020336,0.7352410132953986,0.2465,0.3741811294979664,LR,as_submitted,FGSM_eps0.3,0.2737804733587623,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,,42
0.5249117486791917,0.8273021001615509,0.4769784842745816,0.6050926564130842,0.3207,0.5230215157254183,LR,as_submitted,FGSM_eps0.5,0.40543485986401,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,,42
0.4006254590253263,0.6659302660647393,0.430500791704182,0.522939412796289,0.6956,0.5694992082958179,LR,as_submitted,FGSM_eps0.75,0.5328958279040015,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,,42
0.8307233054561823,0.9449652038062776,0.8262907882889875,0.8816523942822122,0.155,0.1737092117110124,LR,as_submitted,PGD_eps0.15_it10,0.0963775498116515,{'max_iter': 500},PGD,0.15,10.0,,,,,,,,,42
0.8286858252979222,0.9474419604471196,0.8210438076314074,0.8797258861296385,0.1467,0.1789561923685926,LR,as_submitted,PGD_eps0.15_it25,0.0953825013622687,{'max_iter': 500},PGD,0.15,25.0,,,,,,,,,42
0.6782439764031367,0.8688712871287129,0.6811450215778199,0.7636401608103169,0.3311,0.3188549784221801,LR,as_submitted,PGD_eps0.3_it10,0.2500177687223104,{'max_iter': 500},PGD,0.3,10.0,,,,,,,,,42
0.7414769361984411,0.8811611840927802,0.7642894843056288,0.8185748013167958,0.332,0.2357105156943711,LR,as_submitted,PGD_eps0.3_it25,0.185197469733943,{'max_iter': 500},PGD,0.3,25.0,,,,,,,,,42
0.5381079864483878,0.7526330432017805,0.5879412586544134,0.6601708209865783,0.6224,0.4120587413455866,LR,as_submitted,PGD_eps0.5_it10,0.3921912388353195,{'max_iter': 500},PGD,0.5,10.0,,,,,,,,,42
0.5004146035205762,0.7264066444100643,0.5539445496600329,0.6285603565200543,0.672,0.4460554503399671,LR,as_submitted,PGD_eps0.5_it25,0.4301689213200976,{'max_iter': 500},PGD,0.5,25.0,,,,,,,,,42
0.4600440664313298,0.693547061241266,0.523890837964544,0.5968977166203859,0.7456,0.4761091620354559,LR,as_submitted,PGD_eps0.75_it10,0.4722452557511431,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,,42
0.3798005164775285,0.6278025005297733,0.4599025117203266,0.5308938427352878,0.8782,0.5400974882796734,LR,as_submitted,PGD_eps0.75_it25,0.5501433343599706,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,,42
0.9026037101092184,0.9671477023342422,0.9030395231146574,0.9339948300499332,0.0988,0.0969604768853426,LR,as_submitted,CW_c0.0_it10,0.0012319647468549,{'max_iter': 500},CW,,10.0,0.0,,,,,,,,42
0.9021298775142742,0.9668462357009844,0.9026980036635724,0.9336715852346622,0.0997,0.0973019963364277,LR,as_submitted,CW_c0.5_it10,0.0017294889715463,{'max_iter': 500},CW,,10.0,0.5,,,,,,,,42
0.08,0.1111111111111111,0.12,0.1153846153846153,0.96,0.88,LR,as_submitted,HopSkipJump_direct,1.0,{'max_iter': 500},,,,,100.0,92.0,0.5316653251647949,556.0,0.0,0.0,0.9233863353729248,42
0.9058731550143334,0.9709139426284188,0.9037225620168275,0.9361141037804114,0.0872,0.0962774379831724,SVM,tuned,clean,0.0,"{'class_weight': None, 'C': 0.1}",,,,,,,,,,,,42
0.672534293634059,0.8994221662249642,0.642739606942159,0.7497193350957883,0.2315,0.3572603930578409,SVM,tuned,FGSM_eps0.15,0.2538558127413585,"{'class_weight': None, 'C': 0.1}",FGSM,0.15,1.0,,,,,,,,,42
0.4313061195479637,0.7075428744877826,0.4342264584432923,0.5381714637525011,0.5781,0.5657735415567078,SVM,tuned,FGSM_eps0.3,0.5026889999763083,"{'class_weight': None, 'C': 0.1}",FGSM,0.3,1.0,,,,,,,,,42
0.2765523940391859,0.5445539280958722,0.3174268061721879,0.4010670014122077,0.8551,0.6825731938278121,SVM,tuned,FGSM_eps0.5,0.6592669809756213,"{'class_weight': None, 'C': 0.1}",FGSM,0.5,1.0,,,,,,,,,42
0.2471510815228979,0.5108958837772397,0.3144462727808997,0.3892914112198028,0.9696,0.6855537272191002,SVM,tuned,FGSM_eps0.75,0.688976284678623,"{'class_weight': None, 'C': 0.1}",FGSM,0.75,1.0,,,,,,,,,42
0.8165320192376033,0.9419096130920126,0.8094942407401657,0.8706962765069294,0.1608,0.1905057592598342,SVM,tuned,PGD_eps0.15_it10,0.1146201047170034,"{'class_weight': None, 'C': 0.1}",PGD,0.15,10.0,,,,,,,,,42
0.8109407946172618,0.9416675781107589,0.8019187183706418,0.8661926959321238,0.16,0.1980812816293582,SVM,tuned,PGD_eps0.15_it25,0.1204482456348172,"{'class_weight': None, 'C': 0.1}",PGD,0.15,25.0,,,,,,,,,42
0.5169987443436234,0.7364589167133371,0.5715793722251544,0.643627528099708,0.6588,0.4284206277748455,SVM,tuned,PGD_eps0.3_it10,0.4160013267312658,"{'class_weight': None, 'C': 0.1}",PGD,0.3,10.0,,,,,,,,,42
0.4948233789002345,0.7255698300870286,0.5435747772361762,0.621523278723442,0.6622,0.4564252227638238,SVM,tuned,PGD_eps0.3_it25,0.4395744983297401,"{'class_weight': None, 'C': 0.1}",PGD,0.3,25.0,,,,,,,,,42
0.3981615295316165,0.6395129550672352,0.4843056288614983,0.5511916750587446,0.8793,0.5156943711385017,SVM,tuned,PGD_eps0.5_it10,0.5374446208154658,"{'class_weight': None, 'C': 0.1}",PGD,0.5,10.0,,,,,,,,,42
0.3684759174583619,0.6193628820772967,0.4472973392530038,0.5194519560122589,0.8854,0.5527026607469961,SVM,tuned,PGD_eps0.5_it25,0.5672013077779621,"{'class_weight': None, 'C': 0.1}",PGD,0.5,25.0,,,,,,,,,42
0.3563458030277903,0.6073146847192064,0.4428575863888975,0.5122091353059466,0.9223,0.5571424136111025,SVM,tuned,PGD_eps0.75_it10,0.5793314222085337,"{'class_weight': None, 'C': 0.1}",PGD,0.75,10.0,,,,,,,,,42
0.3532658911606529,0.6062205303456331,0.4350957806824179,0.5065972598778151,0.9103,0.5649042193175821,SVM,tuned,PGD_eps0.75_it25,0.5824587173351655,"{'class_weight': None, 'C': 0.1}",PGD,0.75,25.0,,,,,,,,,42
0.900305622023739,0.9673844099482556,0.8996864230494582,0.9323080882826073,0.0977,0.1003135769505417,SVM,tuned,CW_c0.0_it10,0.0055912246203416,"{'class_weight': None, 'C': 0.1}",CW,,10.0,0.0,,,,,,,,42
0.9002582387642446,0.9671950609043884,0.899810611940762,0.9322868079904784,0.0983,0.1001893880592381,SVM,tuned,CW_c0.5_it10,0.0056622995095832,"{'class_weight': None, 'C': 0.1}",CW,,10.0,0.5,,,,,,,,42
0.08,0.1111111111111111,0.12,0.1153846153846153,0.96,0.88,SVM,tuned,HopSkipJump_direct,1.0,"{'class_weight': None, 'C': 0.1}",,,,,100.0,92.0,0.3474281728267669,556.0,0.0,0.0,0.9011664390563964,42
0.9058494633845864,0.9709129724140232,0.9036915147940016,0.9360969962050556,0.0872,0.0963084852059983,SVM,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,,42
0.6697860645833827,0.8969712771042454,0.640876773572604,0.747600593966173,0.2371,0.3591232264273961,SVM,as_submitted,FGSM_eps0.15,0.2588310549882726,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,,42
0.4219716174275628,0.6942744863950654,0.4333260889813406,0.5336060559718612,0.6146,0.5666739110186594,SVM,as_submitted,FGSM_eps0.3,0.5122367267644341,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,,42
0.2716482266815134,0.5389189763194223,0.3151293116830699,0.3977038967145348,0.8684,0.6848706883169301,SVM,as_submitted,FGSM_eps0.5,0.6642422232225355,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,,42
0.2469852401146675,0.5107198708570853,0.3143220838895961,0.3891451414514145,0.9699,0.685677916110404,SVM,as_submitted,FGSM_eps0.75,0.6891421260868535,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,,42
