,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,asr,asr,train_s,train_s,iters,iters,confidence,confidence,n_samples,n_samples,n_eligible,n_eligible,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.19551043616290362,0.09830359367207933,0.35180586414478426,0.18864013027835003,0.12353172508719093,0.11962096179972931,0.1775029154737384,0.14630925947637366,0.5726533333333333,0.12158872660235243,0.8764682749128091,0.11962096179972925,0.8039351797010117,0.0982497188112436,1.0917068004608155,0.236926941535815,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.3,0.2002748229050676,0.11378646177238501,0.3517721191557005,0.1964798575669548,0.13826880685522674,0.14457008835058263,0.1912452083977944,0.16843879725830468,0.6000099999999999,0.1186665375661186,0.8617311931447732,0.1445700883505826,0.7991542088180246,0.11377746661712684,1.0917068004608155,0.236926941535815,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.5,0.24185442283241326,0.11988470953245348,0.4529847898108708,0.18085362035314853,0.18397549339211602,0.1614510364052932,0.24868198558742932,0.17589914029956166,0.5717233333333334,0.1984102188749939,0.8160245066078838,0.1614510364052932,0.7575588144708475,0.1198511350959728,1.0917068004608155,0.236926941535815,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.75,0.2668483024947286,0.13044130692886535,0.4934315879928786,0.19014781886610083,0.20863630248274287,0.17819960599947163,0.2767678997550471,0.192445734746122,0.5456566666666666,0.21787298844040767,0.7913636975172571,0.17819960599947163,0.7325317665268861,0.1303999252257927,1.0917068004608155,0.236926941535815,12.0,10.068729331193067,,,,,,,,,,,,,,,,
,0.3761488426638868,0.3758916485260726,0.45442230857247967,0.37965429803716394,0.32059592039492063,0.4047064689209031,0.35068001760579315,0.3959901630034058,0.46157750000000003,0.3449683445064757,0.6794040796050793,0.4047064689209032,0.6231842379587291,0.37634590606988216,1.0917068004608155,0.236926941535815,10.0,0.0,0.25,0.2564945880212885,100.0,0.0,100.0,0.0,0.4033947929739952,0.13190424172969864,561.3,1.0852547064066458,0.0,0.0,9.2,12.354036677225068,6.457480692863465,0.7435582232247813
