,,approx_queries,approx_queries,n_samples,n_samples,n_eligible,n_eligible,asr,asr,adv_accuracy,adv_accuracy,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
max_iter,max_eval,,,,,,,,,,,,,,,,,,,,
5,100,500.0,0.0,200.0,0.0,189.0,8.035634920242995,0.9976633165829145,0.004171351564814832,0.05733333333333333,0.03692979181920098,0.6224235445261002,0.330197837485405,228.73333333333332,1.7511900715418265,0.0,0.0,0.0,0.0,11.753392140070597,15.644890303090772
10,200,2000.0,0.0,200.0,0.0,189.0,8.035634920242995,0.9976633165829145,0.004171351564814832,0.05733333333333333,0.03692979181920098,0.4421380370855331,0.1644304908810569,558.8666666666667,3.3565855667130817,0.0,0.0,0.0,0.0,22.039059416453043,29.318708668180406
20,500,10000.0,0.0,200.0,0.0,189.0,8.035634920242995,0.9976633165829145,0.004171351564814832,0.05733333333333333,0.03692979181920098,0.349973197778066,0.12803297009906045,1441.2666666666667,6.850095585012632,0.0,0.0,0.0,0.0,39.83116612434387,52.75447223080662
40,1000,40000.0,0.0,200.0,0.0,189.0,8.035634920242995,0.9976633165829145,0.004171351564814832,0.05733333333333333,0.03692979181920098,0.29011872559785845,0.13387818786696856,3832.6,13.293661217716828,0.0,0.0,0.0,0.0,76.46244880358378,101.3588377764851
