accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.9983652775474424,0.999440576827449,0.998416591635878,0.9989283218140872,0.0018,0.0015834083641218,XGB,clean,0.0,1.209566593170166,,,,,,,,,,,,42
0.1846051789902627,0.3965904833270888,0.1314539414449377,0.197458318759473,0.6442,0.8685460585550623,XGB,FGSM_eps0.15,0.8146129972280793,1.209566593170166,FGSM,0.15,1.0,,,,,,,,,42
0.1216328271221777,0.2617508813160987,0.0829892266136794,0.1260224888616487,0.7539,0.9170107733863206,XGB,FGSM_eps0.3,0.877656423985406,1.209566593170166,FGSM,0.3,1.0,,,,,,,,,42
0.1982515577246558,0.4452054794520548,0.2058430873358378,0.2815226852933059,0.8262,0.7941569126641622,XGB,FGSM_eps0.5,0.8010376933829279,1.209566593170166,FGSM,0.5,1.0,,,,,,,,,42
0.3286976711127958,0.5958721045337557,0.3737775156012294,0.4593898460305649,0.8165,0.6262224843987705,XGB,FGSM_eps0.75,0.6705678883650407,1.209566593170166,FGSM,0.75,1.0,,,,,,,,,42
0.1254708711412258,0.2601468488680399,0.0792014654289173,0.1214328216113292,0.7255,0.9207985345710826,XGB,PGD_eps0.15_it10,0.8737473050771163,1.209566593170166,PGD,0.15,10.0,,,,,,,,,42
0.1249970385462816,0.2584373082429945,0.0784563320810953,0.1203705908971824,0.7251,0.9215436679189046,XGB,PGD_eps0.15_it25,0.8742211376720604,1.209566593170166,PGD,0.15,25.0,,,,,,,,,42
0.1529768532777369,0.3152570653874231,0.0938557546027507,0.1446480692856117,0.6566,0.9061442453972492,XGB,PGD_eps0.3_it10,0.8461702480513634,1.209566593170166,PGD,0.3,10.0,,,,,,,,,42
0.1580942453031344,0.3105137259368948,0.084634729423453,0.1330145408412218,0.6053,0.9153652705765468,XGB,PGD_eps0.3_it25,0.8409817811367244,1.209566593170166,PGD,0.3,25.0,,,,,,,,,42
0.1512710559359378,0.3125194481900218,0.0935452823744916,0.1439904420549581,0.6628,0.9064547176255084,XGB,PGD_eps0.5_it10,0.8476391290956905,1.209566593170166,PGD,0.5,10.0,,,,,,,,,42
0.1680684214267099,0.3407496711968434,0.0965258157657797,0.1504366970701376,0.6015,0.9034741842342202,XGB,PGD_eps0.5_it25,0.830794380345424,1.209566593170166,PGD,0.5,25.0,,,,,,,,,42
0.1967352934208344,0.3875331564986737,0.090719985097333,0.1470225666054491,0.4618,0.909280014902667,XGB,PGD_eps0.75_it10,0.8021511999810467,1.209566593170166,PGD,0.75,10.0,,,,,,,,,42
0.1812646591959061,0.3539723983588213,0.0883914433853891,0.141458809500149,0.5196,0.9116085566146108,XGB,PGD_eps0.75_it25,0.8175507593167334,1.209566593170166,PGD,0.75,25.0,,,,,,,,,42
0.2330071785638134,0.4943287275726954,0.2232605793411779,0.3075968859611601,0.7356,0.7767394206588221,XGB,CW_c0.0_it10,0.7662820725437702,1.209566593170166,CW,,10.0,0.0,,,,,,,,42
0.2189817337534649,0.4729314167203032,0.2053152845477972,0.2863266366470384,0.737,0.7946847154522028,XGB,CW_c0.5_it10,0.7803075173541187,1.209566593170166,CW,,10.0,0.5,,,,,,,,42
0.23,0.0909090909090909,0.06,0.072289156626506,0.6,0.94,XGB,HopSkipJump_direct,0.77,,,,,,100.0,100.0,0.3126832842826843,561.0,0.0,27.0,7.040119409561157,42
0.9988154185126394,0.999502966667702,0.9989443944239188,0.999223602484472,0.0016,0.0010556055760812,LGBM,clean,0.0,0.7744240760803223,,,,,,,,,,,,42
0.1124641664100073,0.2017713182695583,0.0551709149616566,0.0866491125414472,0.703,0.9448290850383432,LGBM,FGSM_eps0.15,0.8869198512165651,0.7744240760803223,FGSM,0.15,1.0,,,,,,,,,42
0.1073704660143571,0.1848778238819732,0.0497997454127728,0.0784639843463372,0.7072,0.9502002545872272,LGBM,FGSM_eps0.3,0.8920609348717098,0.7744240760803223,FGSM,0.3,1.0,,,,,,,,,42
0.1309199459830841,0.2405474367896079,0.0643919401409544,0.1015894785824496,0.6548,0.9356080598590456,LGBM,FGSM_eps0.5,0.8685114549029828,0.7744240760803223,FGSM,0.5,1.0,,,,,,,,,42
0.1548484920277666,0.270717500661901,0.0634915706790027,0.1028594421950054,0.5509,0.9365084293209972,LGBM,FGSM_eps0.75,0.8445592172285532,0.7744240760803223,FGSM,0.75,1.0,,,,,,,,,42
0.17010590158497,0.274616368286445,0.0533391288149275,0.0893279604835564,0.4538,0.9466608711850724,LGBM,PGD_eps0.15_it10,0.8292307327821081,0.7744240760803223,PGD,0.15,10.0,,,,,,,,,42
0.1463668885782653,0.2377881448957189,0.0538048371573162,0.0877535002658429,0.5555,0.9461951628426836,LGBM,PGD_eps0.15_it25,0.85299343741856,0.7744240760803223,PGD,0.15,25.0,,,,,,,,,42
0.1711246416641,0.2802658648520335,0.0549846316247011,0.0919331395348837,0.4548,0.9450153683752988,LGBM,PGD_eps0.3_it10,0.8282356843327252,0.7744240760803223,PGD,0.3,10.0,,,,,,,,,42
0.1867374256675116,0.3146657332866643,0.0558229066410009,0.0948237217519711,0.3916,0.944177093358999,LGBM,PGD_eps0.3_it25,0.812551825440072,0.7744240760803223,PGD,0.3,25.0,,,,,,,,,42
0.2288374517283044,0.4564717896349247,0.0555124344127417,0.0989868792559375,0.2129,0.9444875655872582,LGBM,PGD_eps0.5_it10,0.7703333412305432,0.7744240760803223,PGD,0.5,10.0,,,,,,,,,42
0.2463929493709872,0.5747384155455905,0.0477506287062622,0.0881754335674358,0.1138,0.9522493712937378,LGBM,PGD_eps0.5_it25,0.7527778435878604,0.7744240760803223,PGD,0.5,25.0,,,,,,,,,42
0.2489042621241915,0.5868818681318682,0.0530597038094942,0.0973206913242789,0.1203,0.9469402961905058,LGBM,PGD_eps0.75_it10,0.7502665308346561,0.7744240760803223,PGD,0.75,10.0,,,,,,,,,42
0.2496150110166078,0.6076305220883534,0.0469744481356142,0.0872071241246145,0.0977,0.9530255518643858,LGBM,PGD_eps0.75_it25,0.7495557819422398,0.7744240760803223,PGD,0.75,25.0,,,,,,,,,42
0.3612025871259684,0.6764903781456062,0.3121487782917818,0.4271844660194174,0.4808,0.6878512217082182,LGBM,CW_c0.0_it10,0.6382288137600985,0.7744240760803223,CW,,10.0,0.0,,,,,,,,42
0.3371792745622971,0.6519241815048823,0.2819087832593374,0.3936103344387368,0.4848,0.7180912167406626,LGBM,CW_c0.5_it10,0.6621810514345282,0.7744240760803223,CW,,10.0,0.5,,,,,,,,42
0.0,0.0,0.0,0.0,1.0,1.0,LGBM,HopSkipJump_direct,1.0,,,,,,100.0,100.0,0.4566037654876709,561.5,0.0,0.0,6.727623224258423,42
0.9986021938449146,0.9993166428527056,0.9988512527554412,0.9990838936074408,0.0022,0.0011487472445589,XGB,clean,0.0,1.2499175071716309,,,,,,,,,,,,7
0.1265606861095974,0.1975324675324675,0.0472228259182216,0.0762234082537773,0.6179,0.9527771740817784,XGB,FGSM_eps0.15,0.8730839394441944,1.2499175071716309,FGSM,0.15,1.0,,,,,,,,,7
0.1037930299225283,0.195513167876883,0.0560091899779564,0.0870740418959359,0.7423,0.9439908100220435,XGB,FGSM_eps0.3,0.8958515956312635,1.2499175071716309,FGSM,0.3,1.0,,,,,,,,,7
0.1273425098912554,0.2792784193948649,0.0908441739886367,0.1370941292226959,0.7551,0.9091558260113632,XGB,FGSM_eps0.5,0.8723494989220308,1.2499175071716309,FGSM,0.5,1.0,,,,,,,,,7
0.1589234523442867,0.3610501435083572,0.1327889720264522,0.1941663829304278,0.7569,0.8672110279735478,XGB,FGSM_eps0.75,0.8407448648392523,1.2499175071716309,FGSM,0.75,1.0,,,,,,,,,7
0.1583311616006065,0.3318121894331203,0.1015865130864044,0.1555502733539339,0.6589,0.8984134869135956,XGB,PGD_eps0.15_it10,0.8413134639531853,1.2499175071716309,PGD,0.15,10.0,,,,,,,,,7
0.1404439811414627,0.2327382515095825,0.055046726070353,0.0890350767067567,0.5845,0.944953273929647,XGB,PGD_eps0.15_it25,0.8591532611528347,1.2499175071716309,PGD,0.15,25.0,,,,,,,,,7
0.2042929233101945,0.4393659180977542,0.154894594678506,0.2290423285281425,0.6366,0.845105405321494,XGB,PGD_eps0.3_it10,0.7953517022435973,1.2499175071716309,PGD,0.3,10.0,,,,,,,,,7
0.1348290648913739,0.2488049434534219,0.0662547735105094,0.1046437503064777,0.6443,0.9337452264894904,XGB,PGD_eps0.3_it25,0.8648392522921652,1.2499175071716309,PGD,0.3,25.0,,,,,,,,,7
0.1835627472813855,0.3867431100382217,0.1193765717656555,0.1824393252829114,0.6097,0.8806234282343445,XGB,PGD_eps0.5_it10,0.8161292615319008,1.2499175071716309,PGD,0.5,10.0,,,,,,,,,7
0.1328863512521026,0.1951117900291626,0.0436213480704151,0.0713017000761228,0.5796,0.9563786519295848,XGB,PGD_eps0.5_it25,0.8668293491909308,1.2499175071716309,PGD,0.5,25.0,,,,,,,,,7
0.1551564832144803,0.2901617414568892,0.0740786736626408,0.1180253264740799,0.5837,0.9259213263373592,XGB,PGD_eps0.75_it10,0.8444407590798171,1.2499175071716309,PGD,0.75,10.0,,,,,,,,,7
0.1250681134355232,0.1492049338683311,0.0311714117172218,0.0515691612306744,0.5725,0.968828588282778,XGB,PGD_eps0.75_it25,0.8742922125613021,1.2499175071716309,PGD,0.75,25.0,,,,,,,,,7
0.1742282451609846,0.2855058365758754,0.0546741593964419,0.0917737186335565,0.4407,0.945325840603558,XGB,CW_c0.0_it10,0.8253689971333128,1.2499175071716309,CW,,10.0,0.0,,,,,,,,7
0.1694425359520481,0.2686057848553786,0.0513210593312428,0.0861767849229726,0.4501,0.9486789406687572,XGB,CW_c0.5_it10,0.8301310147125021,1.2499175071716309,CW,,10.0,0.5,,,,,,,,7
0.04,0.0576923076923076,0.06,0.0588235294117647,0.98,0.94,XGB,HopSkipJump_direct,0.96,,,,,,100.0,100.0,0.4738511145114898,562.0,0.0,5.0,5.127239942550659,7
0.9989338766613756,0.9993789591355112,0.999223819429352,0.9993013832611428,0.002,0.0007761805706479,LGBM,clean,0.0,0.841033935546875,,,,,,,,,,,,7
0.1594920514582198,0.2118165784832451,0.0372877146139277,0.0634124448903086,0.4469,0.9627122853860722,LGBM,FGSM_eps0.15,0.8399630410575943,0.841033935546875,FGSM,0.15,1.0,,,,,,,,,7
0.1538771352081309,0.2187449847536511,0.0423173647117265,0.0709157127991675,0.4868,0.9576826352882736,LGBM,FGSM_eps0.3,0.8457201070861664,0.841033935546875,FGSM,0.3,1.0,,,,,,,,,7
0.2139354166173091,0.4145525017618041,0.0730541153093855,0.124218028243368,0.3323,0.9269458846906145,LGBM,FGSM_eps0.5,0.7856381340472411,0.841033935546875,FGSM,0.5,1.0,,,,,,,,,7
