accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s,seed
0.6286100120827312,0.8818773964059685,0.5926914837467788,0.7089275103980986,0.2557,0.4073085162532212,LR,FGSM_direct,0.15,0.3625293183918122,0.5809107422828674,0.1460723876953125,42
0.6286100120827312,0.8818773964059685,0.5926914837467788,0.7089275103980986,0.2557,0.4073085162532212,LR,PGD_direct,0.15,0.3625293183918122,0.5809107422828674,1.3297789096832275,42
0.1126773910777322,0.2711642520509688,0.0964637213201279,0.1423042572194105,0.8351,0.903536278679872,LR,FGSM_direct,0.3,0.8849771375772939,1.1618210077285769,0.1445965766906738,42
0.1126773910777322,0.2711642520509688,0.0964637213201279,0.1423042572194105,0.8351,0.903536278679872,LR,PGD_direct,0.3,0.8849771375772939,1.1618210077285769,1.36091947555542,42
0.111871875666327,0.2704019488428745,0.0964947685429538,0.1422327986637073,0.8386,0.9035052314570462,LR,FGSM_direct,0.5,0.887914899665948,1.9363683462142944,0.1454677581787109,42
0.111871875666327,0.2704019488428745,0.0964947685429538,0.1422327986637073,0.8386,0.9035052314570462,LR,PGD_direct,0.5,0.887914899665948,1.9363683462142944,1.3172423839569092,42
0.1048117700016584,0.263408010862186,0.0963705796516501,0.1411133589434682,0.868,0.9036294203483498,LR,FGSM_direct,0.75,0.8949750053306167,2.9045519828796387,0.1456077098846435,42
0.1048117700016584,0.263408010862186,0.0963705796516501,0.1411133589434682,0.868,0.9036294203483498,LR,PGD_direct,0.75,0.8949750053306167,2.9045519828796387,1.3205437660217283,42
0.2368689142126087,0.4999280989358642,0.2158713403086093,0.3015373940195589,0.6955,0.7841286596913906,SVM,FGSM_direct,0.15,0.75915089198986,0.5809469223022461,0.1728386878967285,42
0.2368689142126087,0.4999280989358642,0.2158713403086093,0.3015373940195589,0.6955,0.7841286596913906,SVM,PGD_direct,0.15,0.75915089198986,0.5809469223022461,1.6128811836242676,42
0.1041247127389893,0.2650683208986503,0.0981713185755534,0.1432779011282794,0.8767,0.9018286814244466,SVM,FGSM_direct,0.3,0.8949986969603639,1.161893367767334,0.1734049320220947,42
0.1041247127389893,0.2650683208986503,0.0981713185755534,0.1432779011282794,0.8767,0.9018286814244466,SVM,PGD_direct,0.3,0.8949986969603639,1.161893367767334,1.600127935409546,42
0.0942453031344026,0.2536812827225131,0.0962774379831724,0.1395809420925888,0.9123,0.9037225620168275,SVM,FGSM_direct,0.5,0.9055414721978724,1.93648898601532,0.1747465133666992,42
