accuracy,precision,recall,f1,fpr,fnr,model
0.9727840584571589,0.9723770148001678,0.9678150408524342,0.9700906645411975,0.02305,0.03218495914756575,LR
0.9708983436533911,0.9677028503327043,0.9685108244041111,0.9681066687862651,0.0271,0.031489175595888916,SVM
0.9997098900301896,0.9998806753773641,0.9994831322187544,0.9996818642753464,0.0001,0.0005168677812456514,RF
0.9972076915405746,0.9984844557002412,0.9953879490288849,0.9969337979094076,0.0012666666666666666,0.004612050971115043,MLP
