attack,epsilon,n_features_total,n_features_frozen,n_features_perturbable,adv_accuracy,asr
FGSM_constrained,0.15,25,8,17,0.20833333333333334,0.7895220588235294
PGD_constrained,0.15,25,8,17,0.20588235294117646,0.7919730392156863
FGSM_constrained,0.3,25,8,17,0.1639093137254902,0.8342524509803921
PGD_constrained,0.3,25,8,17,0.1639093137254902,0.8342524509803921
FGSM_constrained,0.5,25,8,17,0.16084558823529413,0.8379289215686274
PGD_constrained,0.5,25,8,17,0.16084558823529413,0.8379289215686274
FGSM_constrained,0.75,25,8,17,0.16145833333333334,0.8382352941176471
PGD_constrained,0.75,25,8,17,0.16145833333333334,0.8382352941176471
