accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,elapsed_s,n_samples,n_eligible,median_queries_success,query_budget_exhausted,numerical_stagnation
0.325,0.01652892561983471,0.1111111111111111,0.02877697841726619,0.6538461538461539,0.8888888888888888,RF,HopSkipJump_whitebox,0.7237569060773481,41.39823913574219,200,181,571.0,0,0
0.08,0.04395604395604396,0.4444444444444444,0.08,0.9560439560439561,0.5555555555555556,SVM,HopSkipJump_whitebox,1.0,1.620335578918457,200,184,556.0,0,0
0.1,0.0449438202247191,0.4444444444444444,0.08163265306122448,0.9340659340659341,0.5555555555555556,LR,HopSkipJump_whitebox,1.0,1.5239226818084717,200,180,557.0,0,0
