model,n_samples,total_s,per_sample_ms
LR,500,7.653236389160156e-05,0.00015306472778320312
SVM,500,6.175041198730469e-05,0.00012350082397460938
RF,500,0.0051500797271728516,0.010300159454345703
MLP,500,0.002594470977783203,0.005188941955566406
