accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled
0.8826593137254902,0.5318627450980392,0.530562347188264,0.5312117503059975,0.0669001751313485,0.4694376528117359,LR,smote,True,25.0,clean,0.0,,,,,,,,
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,SVM,smote,True,25.0,clean,0.0,,,,,,,,
0.9111519607843136,0.6313465783664459,0.6992665036674817,0.6635730858468677,0.0584938704028021,0.3007334963325183,RF,smote,True,25.0,clean,0.0,,,,,,,,
0.8428308823529411,0.4295392953929539,0.7750611246943765,0.5527462946817786,0.1474605954465849,0.2249388753056234,MLP,smote,True,25.0,clean,0.0,,,,,,,,
0.399203431372549,0.123666343355965,0.6234718826405868,0.2063941723998381,0.6329246935201401,0.3765281173594132,LR,smote,True,25.0,FGSM_eps0.15,0.5162377450980392,FGSM,0.15,1.0,,,,,
0.166360294117647,0.0448818897637795,0.2787286063569682,0.0773143438453713,0.8497373029772329,0.7212713936430318,SVM,smote,True,25.0,FGSM_eps0.15,0.7582720588235294,FGSM,0.15,1.0,,,,,
0.8878676470588235,0.6028708133971292,0.3080684596577017,0.4077669902912621,0.0290718038528896,0.6919315403422983,RF,smote,True,25.0,FGSM_eps0.15,0.0741421568627451,FGSM,0.15,1.0,,,,,
0.1954656862745098,0.0685091475282211,0.4303178484107579,0.1182001343183344,0.8381786339754816,0.5696821515892421,MLP,smote,True,25.0,FGSM_eps0.15,0.8023897058823529,FGSM,0.15,1.0,,,,,
0.2622549019607843,0.0539937527889335,0.295843520782396,0.0913207547169811,0.7425569176882661,0.7041564792176039,LR,smote,True,25.0,FGSM_eps0.3,0.6544117647058824,FGSM,0.3,1.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,FGSM_eps0.3,0.7647058823529411,FGSM,0.3,1.0,,,,,
0.8259803921568627,0.2249134948096885,0.1589242053789731,0.1862464183381088,0.0784588441330998,0.8410757946210269,RF,smote,True,25.0,FGSM_eps0.3,0.1363357843137254,FGSM,0.3,1.0,,,,,
0.1626838235294117,0.0421591804570527,0.2616136919315403,0.0726162198846284,0.8514886164623467,0.7383863080684596,MLP,smote,True,25.0,FGSM_eps0.3,0.8354779411764706,FGSM,0.3,1.0,,,,,
0.1963848039215686,0.0410447761194029,0.2420537897310513,0.0701878766394895,0.8101576182136603,0.7579462102689487,LR,smote,True,25.0,FGSM_eps0.5,0.7221200980392157,FGSM,0.5,1.0,,,,,
0.1602328431372549,0.0398579321231254,0.2469437652811736,0.0686374447842337,0.8521891418563923,0.7530562347188264,SVM,smote,True,25.0,FGSM_eps0.5,0.7653186274509803,FGSM,0.5,1.0,,,,,
0.3342524509803921,0.0472279260780287,0.2249388753056234,0.0780653372931692,0.6500875656742557,0.7750611246943765,RF,smote,True,25.0,FGSM_eps0.5,0.6207107843137255,FGSM,0.5,1.0,,,,,
0.1605392156862745,0.0398736675878405,0.2469437652811736,0.0686607749830047,0.8518388791593695,0.7530562347188264,MLP,smote,True,25.0,FGSM_eps0.5,0.8382352941176471,FGSM,0.5,1.0,,,,,
0.1914828431372549,0.0388751033912324,0.2298288508557457,0.0665015917934205,0.8140105078809107,0.7701711491442543,LR,smote,True,25.0,FGSM_eps0.75,0.7282475490196079,FGSM,0.75,1.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,FGSM_eps0.75,0.7653186274509803,FGSM,0.75,1.0,,,,,
0.1620710784313725,0.0414037854889589,0.2567237163814181,0.0713073005093378,0.8514886164623467,0.7432762836185819,RF,smote,True,25.0,FGSM_eps0.75,0.7944240196078431,FGSM,0.75,1.0,,,,,
0.1614583333333333,0.0399209486166007,0.2469437652811736,0.0687308608370193,0.8507880910683012,0.7530562347188264,MLP,smote,True,25.0,FGSM_eps0.75,0.8382352941176471,FGSM,0.75,1.0,,,,,
0.2475490196078431,0.1037553232675183,0.6552567237163814,0.1791443850267379,0.8108581436077058,0.3447432762836185,LR,smote,True,25.0,PGD_eps0.15_it10,0.6715686274509803,PGD,0.15,10.0,,,,,
0.166360294117647,0.0452399685287175,0.2811735941320293,0.0779396814639105,0.8500875656742557,0.7188264058679706,SVM,smote,True,25.0,PGD_eps0.15_it10,0.7582720588235294,PGD,0.15,10.0,,,,,
0.8903186274509803,0.650887573964497,0.2689486552567237,0.3806228373702422,0.0206654991243432,0.7310513447432763,RF,smote,True,25.0,PGD_eps0.15_it10,0.0716911764705882,PGD,0.15,10.0,,,,,
0.1893382352941176,0.0632565404139008,0.3960880195599022,0.109090909090909,0.8402802101576182,0.6039119804400978,MLP,smote,True,25.0,PGD_eps0.15_it10,0.8085171568627451,PGD,0.15,10.0,,,,,
0.2478553921568627,0.1041021671826625,0.6577017114914425,0.1797527564316739,0.8108581436077058,0.3422982885085575,LR,smote,True,25.0,PGD_eps0.15_it25,0.6709558823529411,PGD,0.15,25.0,,,,,
0.1657475490196078,0.0444881889763779,0.2762836185819071,0.0766361478467277,0.8500875656742557,0.7237163814180929,SVM,smote,True,25.0,PGD_eps0.15_it25,0.7588848039215687,PGD,0.15,25.0,,,,,
0.8921568627450981,0.6727272727272727,0.2713936430317848,0.3867595818815331,0.0189141856392294,0.7286063569682152,RF,smote,True,25.0,PGD_eps0.15_it25,0.0698529411764705,PGD,0.15,25.0,,,,,
0.1896446078431372,0.0636221701795472,0.3985330073349633,0.1097273645237293,0.8402802101576182,0.6014669926650367,MLP,smote,True,25.0,PGD_eps0.15_it25,0.8082107843137255,PGD,0.15,25.0,,,,,
0.1780024509803921,0.0640337423312883,0.4083129584352078,0.1107059993370898,0.8549912434325744,0.5916870415647921,LR,smote,True,25.0,PGD_eps0.3_it10,0.7432598039215687,PGD,0.3,10.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.3_it10,0.7647058823529411,PGD,0.3,10.0,,,,,
0.8532475490196079,0.2891566265060241,0.1173594132029339,0.1669565217391304,0.0413309982486865,0.882640586797066,RF,smote,True,25.0,PGD_eps0.3_it10,0.1087622549019607,PGD,0.3,10.0,,,,,
0.1608455882352941,0.0406151419558359,0.2518337408312958,0.0699490662139219,0.8521891418563923,0.7481662591687042,MLP,smote,True,25.0,PGD_eps0.3_it10,0.8373161764705882,PGD,0.3,10.0,,,,,
0.1755514705882352,0.0621642363775901,0.3960880195599022,0.1074626865671641,0.8560420315236428,0.6039119804400978,LR,smote,True,25.0,PGD_eps0.3_it25,0.7457107843137255,PGD,0.3,25.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.3_it25,0.7647058823529411,PGD,0.3,25.0,,,,,
0.8511029411764706,0.2774566473988439,0.1173594132029339,0.1649484536082474,0.0437828371278458,0.882640586797066,RF,smote,True,25.0,PGD_eps0.3_it25,0.1106004901960784,PGD,0.3,25.0,,,,,
0.1608455882352941,0.0406151419558359,0.2518337408312958,0.0699490662139219,0.8521891418563923,0.7481662591687042,MLP,smote,True,25.0,PGD_eps0.3_it25,0.8373161764705882,PGD,0.3,25.0,,,,,
0.1580882352941176,0.0447644998053717,0.2811735941320293,0.0772330423102753,0.8595446584938704,0.7188264058679706,LR,smote,True,25.0,PGD_eps0.5_it10,0.7631740196078431,PGD,0.5,10.0,,,,,
0.1602328431372549,0.0398579321231254,0.2469437652811736,0.0686374447842337,0.8521891418563923,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.5_it10,0.7653186274509803,PGD,0.5,10.0,,,,,
0.5416666666666666,0.0613397901533494,0.1858190709046454,0.0922330097087378,0.4073555166374781,0.8141809290953546,RF,smote,True,25.0,PGD_eps0.5_it10,0.4157475490196078,PGD,0.5,10.0,,,,,
0.1611519607843137,0.039905175819834,0.2469437652811736,0.0687074829931972,0.851138353765324,0.7530562347188264,MLP,smote,True,25.0,PGD_eps0.5_it10,0.8382352941176471,PGD,0.5,10.0,,,,,
0.1611519607843137,0.0463576158940397,0.2909535452322738,0.0799731182795698,0.8574430823117338,0.7090464547677262,LR,smote,True,25.0,PGD_eps0.5_it25,0.7601102941176471,PGD,0.5,25.0,,,,,
0.1602328431372549,0.0398579321231254,0.2469437652811736,0.0686374447842337,0.8521891418563923,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.5_it25,0.7653186274509803,PGD,0.5,25.0,,,,,
0.5116421568627451,0.056843679880329,0.1858190709046454,0.0870561282932416,0.4416812609457093,0.8141809290953546,RF,smote,True,25.0,PGD_eps0.5_it25,0.4448529411764705,PGD,0.5,25.0,,,,,
0.1611519607843137,0.039905175819834,0.2469437652811736,0.0687074829931972,0.851138353765324,0.7530562347188264,MLP,smote,True,25.0,PGD_eps0.5_it25,0.8382352941176471,PGD,0.5,25.0,,,,,
0.159313725490196,0.0419772459788152,0.2616136919315403,0.0723461798512508,0.8553415061295973,0.7383863080684596,LR,smote,True,25.0,PGD_eps0.75_it10,0.7631740196078431,PGD,0.75,10.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.75_it10,0.7653186274509803,PGD,0.75,10.0,,,,,
0.1617647058823529,0.0406632451638373,0.2518337408312958,0.0700203942895989,0.851138353765324,0.7481662591687042,RF,smote,True,25.0,PGD_eps0.75_it10,0.7944240196078431,PGD,0.75,10.0,,,,,
0.1614583333333333,0.0399209486166007,0.2469437652811736,0.0687308608370193,0.8507880910683012,0.7530562347188264,MLP,smote,True,25.0,PGD_eps0.75_it10,0.8382352941176471,PGD,0.75,10.0,,,,,
0.1583946078431372,0.0422866092404072,0.2640586797066014,0.0728990887613904,0.8567425569176883,0.7359413202933985,LR,smote,True,25.0,PGD_eps0.75_it25,0.7637867647058824,PGD,0.75,25.0,,,,,
0.1608455882352941,0.0398894154818325,0.2469437652811736,0.0686841210472628,0.8514886164623467,0.7530562347188264,SVM,smote,True,25.0,PGD_eps0.75_it25,0.7653186274509803,PGD,0.75,25.0,,,,,
0.1629901960784313,0.040727560300514,0.2518337408312958,0.0701157249829816,0.8497373029772329,0.7481662591687042,RF,smote,True,25.0,PGD_eps0.75_it25,0.7935049019607843,PGD,0.75,25.0,,,,,
0.1614583333333333,0.0399209486166007,0.2469437652811736,0.0687308608370193,0.8507880910683012,0.7530562347188264,MLP,smote,True,25.0,PGD_eps0.75_it25,0.8382352941176471,PGD,0.75,25.0,,,,,
0.5735294117647058,0.1486776268763402,0.508557457212714,0.2300884955752212,0.4171628721541155,0.491442542787286,LR,smote,True,25.0,CW_c0.0_it10,0.3204656862745098,CW,,10.0,0.0,,,,
0.3474264705882353,0.0290093048713738,0.1295843520782396,0.0474060822898032,0.6213660245183887,0.8704156479217604,SVM,smote,True,25.0,CW_c0.0_it10,0.5600490196078431,CW,,10.0,0.0,,,,
0.8799019607843137,0.5562913907284768,0.2053789731051344,0.3,0.0234676007005253,0.7946210268948656,RF,smote,True,25.0,CW_c0.0_it10,0.0787377450980392,CW,,10.0,0.0,,,,
0.1623774509803921,0.0392390011890606,0.2420537897310513,0.0675306957708049,0.8490367775831874,0.7579462102689487,MLP,smote,True,25.0,CW_c0.0_it10,0.8363970588235294,CW,,10.0,0.0,,,,
0.4549632352941176,0.1177455357142857,0.5158924205378973,0.1917310313493866,0.5537653239929947,0.4841075794621027,LR,smote,True,25.0,CW_c0.5_it10,0.4442401960784313,CW,,10.0,0.5,,,,
0.2248774509803921,0.036697247706422,0.2053789731051344,0.0622683469236471,0.7723292469352014,0.7946210268948656,SVM,smote,True,25.0,CW_c0.5_it10,0.694546568627451,CW,,10.0,0.5,,,,
0.8854166666666666,0.6666666666666666,0.1711491442542787,0.2723735408560311,0.0122591943957968,0.8288508557457213,RF,smote,True,25.0,CW_c0.5_it10,0.0768995098039215,CW,,10.0,0.5,,,,
0.1602328431372549,0.0391304347826087,0.2420537897310513,0.0673698536917318,0.8514886164623467,0.7579462102689487,MLP,smote,True,25.0,CW_c0.5_it10,0.8397671568627451,CW,,10.0,0.5,,,,
0.8826593137254902,0.5318627450980392,0.530562347188264,0.5312117503059975,0.06690017513134851,0.46943765281173594,LR,smotenc,True,,clean,0.0,,,,,22834.0,0.0,,True
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,SVM,smotenc,True,,clean,0.0,,,,,22834.0,0.0,,True
0.9111519607843137,0.6313465783664459,0.6992665036674817,0.6635730858468677,0.0584938704028021,0.30073349633251834,RF,smotenc,True,,clean,0.0,,,,,22834.0,0.0,,True
0.8428308823529411,0.42953929539295393,0.7750611246943765,0.5527462946817786,0.14746059544658494,0.22493887530562348,MLP,smotenc,True,,clean,0.0,,,,,22834.0,0.0,,True
0.39920343137254904,0.12366634335596509,0.6234718826405868,0.20639417239983812,0.6329246935201401,0.3765281173594132,LR,smotenc,True,,FGSM_eps0.15,0.5162377450980392,FGSM,0.15,1.0,,22834.0,0.0,,True
0.16636029411764705,0.04488188976377953,0.2787286063569682,0.07731434384537131,0.8497373029772329,0.7212713936430318,SVM,smotenc,True,,FGSM_eps0.15,0.7582720588235294,FGSM,0.15,1.0,,22834.0,0.0,,True
0.8878676470588235,0.6028708133971292,0.3080684596577017,0.4077669902912621,0.02907180385288967,0.6919315403422983,RF,smotenc,True,,FGSM_eps0.15,0.0741421568627451,FGSM,0.15,1.0,,22834.0,0.0,,True
0.1954656862745098,0.0685091475282211,0.43031784841075793,0.11820013431833445,0.8381786339754816,0.5696821515892421,MLP,smotenc,True,,FGSM_eps0.15,0.8023897058823529,FGSM,0.15,1.0,,22834.0,0.0,,True
0.2622549019607843,0.053993752788933515,0.29584352078239606,0.09132075471698113,0.7425569176882661,0.7041564792176039,LR,smotenc,True,,FGSM_eps0.3,0.6544117647058824,FGSM,0.3,1.0,,22834.0,0.0,,True
0.16084558823529413,0.039889415481832544,0.2469437652811736,0.06868412104726283,0.8514886164623467,0.7530562347188264,SVM,smotenc,True,,FGSM_eps0.3,0.7647058823529411,FGSM,0.3,1.0,,22834.0,0.0,,True
0.8259803921568627,0.22491349480968859,0.15892420537897312,0.18624641833810887,0.07845884413309982,0.8410757946210269,RF,smotenc,True,,FGSM_eps0.3,0.13633578431372548,FGSM,0.3,1.0,,22834.0,0.0,,True
0.16268382352941177,0.042159180457052796,0.2616136919315403,0.07261621988462844,0.8514886164623467,0.7383863080684596,MLP,smotenc,True,,FGSM_eps0.3,0.8354779411764706,FGSM,0.3,1.0,,22834.0,0.0,,True
0.19638480392156862,0.041044776119402986,0.24205378973105135,0.07018787663948954,0.8101576182136603,0.7579462102689487,LR,smotenc,True,,FGSM_eps0.5,0.7221200980392157,FGSM,0.5,1.0,,22834.0,0.0,,True
