model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.15,192,191,0.07329842931937172,0.078125,FGSM,0.15,1,Data Alteration,
LR,FGSM_eps0.15,217,26,0.7307692307692307,0.6405529953917051,FGSM,0.15,1,Spoofing,
LR,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
SVM,FGSM_eps0.15,192,190,0.8842105263157894,0.8854166666666666,FGSM,0.15,1,Data Alteration,
SVM,FGSM_eps0.15,217,23,0.7391304347826086,0.576036866359447,FGSM,0.15,1,Spoofing,
SVM,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
RF,FGSM_eps0.15,192,192,0.375,0.375,FGSM,0.15,1,Data Alteration,
RF,FGSM_eps0.15,217,94,0.9680851063829787,0.9723502304147466,FGSM,0.15,1,Spoofing,
RF,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
MLP,FGSM_eps0.15,192,192,0.5625,0.5625,FGSM,0.15,1,Data Alteration,
MLP,FGSM_eps0.15,217,125,1.0,0.576036866359447,FGSM,0.15,1,Spoofing,
MLP,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
LR,FGSM_eps0.3,192,191,0.7801047120418848,0.78125,FGSM,0.3,1,Data Alteration,
LR,FGSM_eps0.3,217,26,0.7307692307692307,0.6359447004608295,FGSM,0.3,1,Spoofing,
LR,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
SVM,FGSM_eps0.3,192,190,0.9526315789473684,0.953125,FGSM,0.3,1,Data Alteration,
SVM,FGSM_eps0.3,217,23,0.7391304347826086,0.576036866359447,FGSM,0.3,1,Spoofing,
SVM,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
RF,FGSM_eps0.3,192,192,0.703125,0.703125,FGSM,0.3,1,Data Alteration,
RF,FGSM_eps0.3,217,94,0.9574468085106383,0.9631336405529954,FGSM,0.3,1,Spoofing,
RF,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
MLP,FGSM_eps0.3,192,192,0.921875,0.921875,FGSM,0.3,1,Data Alteration,
MLP,FGSM_eps0.3,217,125,1.0,0.576036866359447,FGSM,0.3,1,Spoofing,
MLP,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
LR,FGSM_eps0.5,192,191,0.9214659685863874,0.921875,FGSM,0.5,1,Data Alteration,
LR,FGSM_eps0.5,217,26,0.7307692307692307,0.6129032258064516,FGSM,0.5,1,Spoofing,
LR,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
SVM,FGSM_eps0.5,192,190,0.9526315789473684,0.953125,FGSM,0.5,1,Data Alteration,
SVM,FGSM_eps0.5,217,23,0.7391304347826086,0.576036866359447,FGSM,0.5,1,Spoofing,
SVM,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
RF,FGSM_eps0.5,192,192,0.8802083333333334,0.8802083333333334,FGSM,0.5,1,Data Alteration,
RF,FGSM_eps0.5,217,94,0.7659574468085106,0.6820276497695853,FGSM,0.5,1,Spoofing,
RF,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
MLP,FGSM_eps0.5,192,192,0.953125,0.953125,FGSM,0.5,1,Data Alteration,
MLP,FGSM_eps0.5,217,125,1.0,0.576036866359447,FGSM,0.5,1,Spoofing,
MLP,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
LR,FGSM_eps0.75,192,191,0.9476439790575916,0.9479166666666666,FGSM,0.75,1,Data Alteration,
LR,FGSM_eps0.75,217,26,0.7307692307692307,0.6129032258064516,FGSM,0.75,1,Spoofing,
LR,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
SVM,FGSM_eps0.75,192,190,0.9526315789473684,0.953125,FGSM,0.75,1,Data Alteration,
SVM,FGSM_eps0.75,217,23,0.7391304347826086,0.576036866359447,FGSM,0.75,1,Spoofing,
SVM,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
RF,FGSM_eps0.75,192,192,0.9322916666666666,0.9322916666666666,FGSM,0.75,1,Data Alteration,
RF,FGSM_eps0.75,217,94,0.7446808510638298,0.576036866359447,FGSM,0.75,1,Spoofing,
RF,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
MLP,FGSM_eps0.75,192,192,0.953125,0.953125,FGSM,0.75,1,Data Alteration,
MLP,FGSM_eps0.75,217,125,1.0,0.576036866359447,FGSM,0.75,1,Spoofing,
MLP,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
LR,PGD_eps0.15_it10,192,191,0.06806282722513089,0.07291666666666667,PGD,0.15,10,Data Alteration,
LR,PGD_eps0.15_it10,217,26,0.6923076923076923,0.5852534562211982,PGD,0.15,10,Spoofing,
LR,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,
SVM,PGD_eps0.15_it10,192,190,0.8789473684210526,0.8802083333333334,PGD,0.15,10,Data Alteration,
SVM,PGD_eps0.15_it10,217,23,0.7391304347826086,0.576036866359447,PGD,0.15,10,Spoofing,
SVM,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,
RF,PGD_eps0.15_it10,192,192,0.4583333333333333,0.4583333333333333,PGD,0.15,10,Data Alteration,
RF,PGD_eps0.15_it10,217,94,0.9680851063829787,0.9723502304147466,PGD,0.15,10,Spoofing,
RF,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,
MLP,PGD_eps0.15_it10,192,192,0.6354166666666666,0.6354166666666666,PGD,0.15,10,Data Alteration,
MLP,PGD_eps0.15_it10,217,125,1.0,0.576036866359447,PGD,0.15,10,Spoofing,
MLP,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,
LR,PGD_eps0.15_it25,192,191,0.05759162303664921,0.0625,PGD,0.15,25,Data Alteration,
LR,PGD_eps0.15_it25,217,26,0.6923076923076923,0.5898617511520737,PGD,0.15,25,Spoofing,
LR,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
SVM,PGD_eps0.15_it25,192,190,0.8894736842105263,0.890625,PGD,0.15,25,Data Alteration,
SVM,PGD_eps0.15_it25,217,23,0.7391304347826086,0.576036866359447,PGD,0.15,25,Spoofing,
SVM,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
RF,PGD_eps0.15_it25,192,192,0.453125,0.453125,PGD,0.15,25,Data Alteration,
RF,PGD_eps0.15_it25,217,94,0.9680851063829787,0.9723502304147466,PGD,0.15,25,Spoofing,
RF,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
MLP,PGD_eps0.15_it25,192,192,0.6302083333333334,0.6302083333333334,PGD,0.15,25,Data Alteration,
MLP,PGD_eps0.15_it25,217,125,1.0,0.576036866359447,PGD,0.15,25,Spoofing,
MLP,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
LR,PGD_eps0.3_it10,192,191,0.6335078534031413,0.6354166666666666,PGD,0.3,10,Data Alteration,
LR,PGD_eps0.3_it10,217,26,0.6923076923076923,0.5529953917050692,PGD,0.3,10,Spoofing,
LR,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
SVM,PGD_eps0.3_it10,192,190,0.9526315789473684,0.953125,PGD,0.3,10,Data Alteration,
SVM,PGD_eps0.3_it10,217,23,0.7391304347826086,0.576036866359447,PGD,0.3,10,Spoofing,
SVM,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
RF,PGD_eps0.3_it10,192,192,0.7864583333333334,0.7864583333333334,PGD,0.3,10,Data Alteration,
RF,PGD_eps0.3_it10,217,94,0.9680851063829787,0.967741935483871,PGD,0.3,10,Spoofing,
RF,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
MLP,PGD_eps0.3_it10,192,192,0.9427083333333334,0.9427083333333334,PGD,0.3,10,Data Alteration,
MLP,PGD_eps0.3_it10,217,125,1.0,0.576036866359447,PGD,0.3,10,Spoofing,
MLP,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
LR,PGD_eps0.3_it25,192,191,0.6649214659685864,0.6666666666666666,PGD,0.3,25,Data Alteration,
LR,PGD_eps0.3_it25,217,26,0.6538461538461539,0.5483870967741935,PGD,0.3,25,Spoofing,
LR,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,
SVM,PGD_eps0.3_it25,192,190,0.9526315789473684,0.953125,PGD,0.3,25,Data Alteration,
SVM,PGD_eps0.3_it25,217,23,0.7391304347826086,0.576036866359447,PGD,0.3,25,Spoofing,
