accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr
0.6782439764031367,0.8688712871287129,0.6811450215778199,0.7636401608103169,0.3311,0.31885497842218014,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,LR,0.3,0.2500177687223104
0.5118339690587316,0.7312843817268596,0.5695613027414698,0.6403700148355005,0.6741,0.43043869725853023,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,SVM,0.3,0.4211424103864105
0.21876850908574,0.3925364758698092,0.043435064733459594,0.0782154138596148,0.2165,0.9565649352665404,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,RF,0.3,0.780449667132602
0.5381079864483878,0.7526330432017805,0.5879412586544134,0.6601708209865783,0.6224,0.4120587413455866,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,LR,0.5,0.3921912388353195
0.395294842332204,0.6375571011152722,0.4809835760191251,0.5483117434699512,0.8807,0.5190164239808749,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,SVM,0.5,0.5402876163851311
0.2551351607477078,0.7363245236631838,0.03719457294545003,0.07081215273673011,0.0429,0.96280542705455,submitted,"[32, 12]",12,0.9645810135279206,64.19872546195984,RF,0.5,0.743940865692151
0.891966168352721,0.94962110124565,0.9065168120711602,0.9275684605121037,0.1549,0.09348318792883976,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,LR,0.3,0.020398493212348077
0.8365277547442489,0.8757832219747588,0.9156446955819801,0.8952704753809726,0.4183,0.0843553044180198,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,SVM,0.3,0.08848823710583051
0.1505366154137743,0.19195674214261574,0.035269645130243096,0.0595903165735568,0.4782,0.9647303548697569,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,RF,0.3,0.8487052524343149
0.9085503091757682,0.9448576719078555,0.934707690397094,0.9397552753152704,0.1757,0.06529230960290602,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,LR,0.5,0.026202942500414602
0.7533701343315407,0.8420953516838768,0.8329969884193859,0.8375214609021383,0.5031,0.16700301158061412,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,SVM,0.5,0.19401075599990522
0.13530289748631807,0.16632954722265442,0.033189481200906576,0.055336991406977946,0.5358,0.9668105187990934,longer,"[32, 12]",50,0.9677320002842995,270.0661242008209,RF,0.5,0.8639626619915184
0.8161055699021535,0.8678785325187348,0.8953087646310037,0.8813802799682132,0.439,0.10469123536899624,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,LR,0.3,0.11601791087208889
0.452628586320453,0.6938306297100524,0.5059455431711634,0.5851766733697213,0.7191,0.49405445682883664,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,SVM,0.3,0.4827643393589045
0.1879930820441138,0.32811719660396205,0.061194076189884816,0.10315051287418882,0.4036,0.9388059238101152,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,RF,0.3,0.8114620104717003
0.5017413347864199,0.6939547473625763,0.6208513148498866,0.6553707496927489,0.8819,0.3791486851501133,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,LR,0.5,0.43258546755431304
0.3240067284228482,0.5843506195502524,0.3953242882424167,0.47160132595048054,0.9057,0.6046757117575833,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,SVM,0.5,0.6127366201521003
0.1824729323130138,0.282633371169126,0.046384550901921826,0.07969062541672223,0.3792,0.9536154490980782,wider,"[128, 64]",12,0.9671634011703665,63.70917892456055,RF,0.5,0.8168163187945698
0.8890520978938141,0.9598089001737271,0.8919556645658046,0.9246391271463286,0.1203,0.10804433543419541,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,LR,0.3,0.016205074747091854
0.5181833258309839,0.8376948458300147,0.4571703561116458,0.5915198746660775,0.2853,0.5428296438883542,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,SVM,0.3,0.38849534459475465
0.16252458006586273,0.12241462241462242,0.015803036418392376,0.027992410702010063,0.3649,0.9841969635816076,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,RF,0.3,0.8368594375607098
0.5865099860219385,0.8989833441488211,0.5161290322580645,0.655766158458413,0.1868,0.4838709677419355,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,LR,0.5,0.319031486175934
0.3642114241038641,0.7306998711893516,0.26418081902573815,0.38806038217722444,0.3136,0.7358191809742618,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,SVM,0.5,0.5439124357364543
0.16873178705963182,0.11931216931216931,0.014002297494489118,0.025063213759759926,0.3329,0.9859977025055109,wider_longer,"[128, 64]",50,0.9811651543509678,266.2190589904785,RF,0.5,0.8305811556776991
0.8461465564216163,0.8940996168582376,0.9056474898320345,0.8998365055372182,0.3455,0.09435251016796548,deep_long,"[256, 128, 64]",50,0.9696747139235709,308.3209478855133,LR,0.3,0.06211945319718543
