model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,181,1.0,0.095,0.5572666525840759,227.0,0,0,0.9411201477050781
LR,10,200,2000,200,181,1.0,0.095,0.4889109134674072,556.0,0,0,1.9542980194091797
LR,20,500,10000,200,181,1.0,0.095,0.453738808631897,1436.0,0,0,3.536367654800415
LR,40,1000,40000,200,181,1.0,0.095,0.4308578372001648,3823.0,0,0,7.633371829986572
SVM,5,100,500,200,182,1.0,0.09,0.3521297574043274,228.0,0,0,1.2145636081695557
SVM,10,200,2000,200,182,1.0,0.09,0.31109869480133057,557.0,0,0,2.130314350128174
SVM,20,500,10000,200,182,1.0,0.09,0.2891767621040344,1437.0,0,0,4.175494909286499
SVM,40,1000,40000,200,182,1.0,0.09,0.2750818133354187,3824.0,0,0,7.9031126499176025
RF,5,100,500,200,199,0.9949748743718593,0.01,1.1665372848510742,232.0,0,0,36.85600781440735
RF,10,200,2000,200,199,0.9949748743718593,0.01,0.6159563660621643,564.0,0,0,65.17672491073608
RF,20,500,10000,200,199,0.9949748743718593,0.01,0.32494446635246277,1450.0,0,0,112.52500605583191
RF,40,1000,40000,200,199,0.9949748743718593,0.01,0.19232411682605743,3848.5,0,0,226.65320539474487
