accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence
0.9258497049037651,0.963043573846898,0.870822813748683,0.9146144129284156,0.028016666666666665,0.12917718625131702,LR,random,441209,110303,0.45604380660544136,clean,0.0,,,,
0.9230845942540095,0.9679310730670247,0.8598294336321889,0.9106834547521793,0.023883333333333333,0.14017056636781106,SVM,random,441209,110303,0.45604380660544136,clean,0.0,,,,
0.999764285649529,0.9998608100853036,0.9996222889290897,0.9997415352804342,0.00011666666666666667,0.0003777110709102837,RF,random,441209,110303,0.45604380660544136,clean,0.0,,,,
0.9979510983382138,0.998844460382922,0.9966602389519512,0.997751154274797,0.0009666666666666667,0.003339761048048824,MLP,random,441209,110303,0.45604380660544136,clean,0.0,,,,
0.5864845017814565,0.5518789675079073,0.49601415422539413,0.5224574407940197,0.33766666666666667,0.5039858457746059,LR,random,441209,110303,0.45604380660544136,FGSM_eps0.15,0.3411149288777277,FGSM,0.15,1.0,
0.4214209948958777,0.31906291834002676,0.2369043595809395,0.2719131119299967,0.42388333333333333,0.7630956404190605,SVM,random,441209,110303,0.45604380660544136,FGSM_eps0.15,0.5024432699019973,FGSM,0.15,1.0,
0.5433759734549377,0.4215686274509804,0.0034192791682404627,0.006783538088383191,0.003933333333333333,0.9965807208317595,RF,random,441209,110303,0.45604380660544136,FGSM_eps0.15,0.4564427078139307,FGSM,0.15,1.0,
0.4245396770713398,0.05154568977257252,0.015048804246267618,0.02329625013463817,0.23215,0.9849511957537324,MLP,random,441209,110303,0.45604380660544136,FGSM_eps0.15,0.5749344986083788,FGSM,0.15,1.0,
0.33949212623410063,0.06892465308306893,0.03584279267638113,0.04716068112264916,0.4059333333333333,0.9641572073236189,LR,random,441209,110303,0.45604380660544136,FGSM_eps0.3,0.5883883484583375,FGSM,0.3,1.0,
0.04467693535080641,0.02209379013502725,0.02530664175098901,0.02359133069560141,0.9390833333333334,0.974693358249011,SVM,random,441209,110303,0.45604380660544136,FGSM_eps0.3,0.8792235931932948,FGSM,0.3,1.0,
