accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.4950998612911707,0.43802755353158995,0.3786056497624396,0.4061546991960078,0.40723333333333334,0.6213943502375604,LR,FGSM_eps0.15,0.4806940881027715,FGSM,0.15,1,
0.6157402790495272,0.5764226700640878,0.5936226467606306,0.5848962363011351,0.3657166666666667,0.4063773532393694,SVM,FGSM_eps0.15,0.3586575161147022,FGSM,0.15,1,
0.5705737831246657,0.7110408280621047,0.09832415561696121,0.17275886760159975,0.0335,0.9016758443830388,RF,FGSM_eps0.15,0.4292811618904291,FGSM,0.15,1,
0.2876893647498255,0.1495276117737496,0.11987356618889529,0.13306852035749753,0.5716166666666667,0.8801264338111047,MLP,FGSM_eps0.15,0.7122199758846087,FGSM,0.15,1,
0.43447594353734714,0.3559706120891179,0.296662226904956,0.3236215776633234,0.44998333333333335,0.7033377730950441,LR,FGSM_eps0.3,0.5415355883339529,FGSM,0.3,1,
0.44130259376444886,0.3682238204967065,0.31449416535793095,0.33924474084875517,0.45238333333333336,0.685505834642069,SVM,FGSM_eps0.3,0.5339020697533159,FGSM,0.3,1,
0.5326509705085084,0.22325787838437638,0.009999403614098562,0.01914148717558414,0.029166666666666667,0.9900005963859014,RF,FGSM_eps0.3,0.467213040443143,FGSM,0.3,1,
0.23792643899077995,0.06147370609020993,0.04703496809335427,0.05329368967575543,0.6020333333333333,0.9529650319066457,MLP,FGSM_eps0.3,0.7619919675802109,FGSM,0.3,1,
0.38328059980236256,0.2982767647795306,0.26048148221776035,0.2781008574581883,0.5137666666666667,0.7395185177822396,LR,FGSM_eps0.5,0.59346527293002,FGSM,0.5,1,
0.33981849995013735,0.26909903812629465,0.26083931375862274,0.26490480709050895,0.5939666666666666,0.7391606862413772,SVM,FGSM_eps0.5,0.6358122625857864,FGSM,0.5,1,
0.43110341513830086,0.019159456118665017,0.004930123451881598,0.00784226919853906,0.2116,0.9950698765481184,RF,FGSM_eps0.5,0.5687605958133505,FGSM,0.5,1,
0.32040832978250816,0.07297727902466057,0.04188616981094567,0.05322387117145563,0.44608333333333333,0.9581138301890544,MLP,FGSM_eps0.5,0.6792743624380116,FGSM,0.5,1,
0.3352945976084059,0.2609373052474137,0.24970677693179333,0.25519854532156316,0.59295,0.7502932230682067,LR,FGSM_eps0.75,0.6415238026164293,FGSM,0.75,1,
0.22430033634624624,0.13609247600371555,0.13106574160586842,0.13353181836594158,0.6975333333333333,0.8689342583941315,SVM,FGSM_eps0.75,0.7514210855552433,FGSM,0.75,1,
0.5264770677134801,0.07682177348551361,0.0034789177583841916,0.006656396797322227,0.03505,0.9965210822416158,RF,FGSM_eps0.75,0.4733869432381712,FGSM,0.75,1,
0.3059662928478826,0.0738889069246502,0.0452458103890424,0.05612408453135403,0.47545,0.9547541896109576,MLP,FGSM_eps0.75,0.693634805943628,FGSM,0.75,1,
0.43617127367342684,0.32882195409911597,0.2270043536170805,0.2685875573327061,0.3884666666666667,0.7729956463829195,LR,PGD_eps0.15_it10,0.5390787195271207,PGD,0.15,10,
0.4469144084929694,0.34522845575477157,0.2373218297119456,0.28128129307399596,0.3773666666666667,0.7626781702880544,SVM,PGD_eps0.15_it10,0.527293002003572,PGD,0.15,10,
0.5956501636401549,0.8801333333333333,0.13122477784625172,0.2283964500112451,0.014983333333333333,0.8687752221537482,RF,PGD_eps0.15_it10,0.4042047813749399,PGD,0.15,10,
0.28849623310336076,0.08120801379228346,0.054310876090889214,0.06509023765560784,0.5151666666666667,0.9456891239091108,MLP,PGD_eps0.15_it10,0.7114403053407432,PGD,0.15,10,
0.4136877510131184,0.29854471020385276,0.21165735642009423,0.24770258008980295,0.4169333333333333,0.7883426435799058,LR,PGD_eps0.15_it25,0.561607571870212,PGD,0.15,25,
0.4332973717849922,0.3235311126532501,0.22243206170606128,0.2636210491594708,0.3899166666666667,0.7775679382939388,SVM,PGD_eps0.15_it25,0.5409644343308886,PGD,0.15,25,
0.5992221426434458,0.8757396449704142,0.1412241814603503,0.24322519900710435,0.0168,0.8587758185396497,RF,PGD_eps0.15_it25,0.40065093424476217,PGD,0.15,25,
0.24531517728438937,0.07291585634642811,0.055901238494721985,0.06328487194490705,0.5958833333333333,0.944098761505278,MLP,PGD_eps0.15_it25,0.7546032292866015,PGD,0.15,25,
0.3702165852243366,0.22927614849974573,0.16132238633878695,0.18938819328564593,0.45465,0.8386776136612131,LR,PGD_eps0.3_it10,0.605205660770786,PGD,0.3,10,
