model,attack,n_samples,n_eligible,asr,asr_ci_lo,asr_ci_hi,mean_l2_perturbation,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
RF,HopSkipJump_whitebox,500,500,0.82,0.7839253300173655,0.851195092087241,0.9675935506820679,565.0,0,0,99.05902814865112
SVM,HopSkipJump_whitebox,500,450,1.0,0.9915356811370294,1.0,0.2823109030723572,556.0,0,0,3.5874040126800537
LR,HopSkipJump_whitebox,500,480,1.0,0.9920605009127221,1.0,0.15439975261688232,556.0,0,0,3.619750499725342
