attack,epsilon,n_features_total,n_features_frozen,n_features_perturbable,adv_accuracy,asr
FGSM_constrained,0.15,20,6,14,0.34340861082654145,0.6560746307897337
PGD_constrained,0.15,20,6,14,0.3809869178535489,0.6182606094122554
FGSM_constrained,0.3,20,6,14,0.1794783460105346,0.8201046209078628
PGD_constrained,0.3,20,6,14,0.11555442735011741,0.8841101329972892
FGSM_constrained,0.5,20,6,14,0.10670607327089925,0.8928859595840548
PGD_constrained,0.5,20,6,14,0.058357433614679564,0.9413071267327271
FGSM_constrained,0.75,20,6,14,0.07424095446180068,0.9254054740124928
PGD_constrained,0.75,20,6,14,0.05748710370524827,0.9421774566421585
