accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.9997733515860856,0.9998210593287736,0.9996819275192336,0.9997514885833856,0.00015,0.0003180724807665,XGB,clean,0.0,2.0214576721191406,,,,,,,,,,,,42
0.5449897101620083,0.5068823955566288,0.0834542671411247,0.1433131347614577,0.0680666666666666,0.9165457328588752,XGB,FGSM_eps0.15,0.4548561689165299,2.0214576721191406,FGSM,0.15,1.0,,,,,,,,,42
0.5069490403706155,0.2400662251655629,0.0374729141403097,0.0648267560828819,0.09945,0.9625270858596904,XGB,FGSM_eps0.3,0.4929240365175924,2.0214576721191406,FGSM,0.3,1.0,,,,,,,,,42
0.4641578198235769,0.028497964431112,0.0052879549927439,0.0089206365175981,0.1511333333333333,0.994712045007256,XGB,FGSM_eps0.5,0.5357333889377442,2.0214576721191406,FGSM,0.5,1.0,,,,,,,,,42
0.4260083587935052,0.2232856899778798,0.1043476532214778,0.1422281231794719,0.3043166666666667,0.8956523467785221,XGB,FGSM_eps0.75,0.5739009818409291,2.0214576721191406,FGSM,0.75,1.0,,,,,,,,,42
0.5132226684677661,0.3388170406998859,0.0708307655607021,0.1171673325769907,0.1158833333333333,0.929169234439298,XGB,PGD_eps0.15_it10,0.4866594743569984,2.0214576721191406,PGD,0.15,10.0,,,,,,,,,42
0.5349627843304352,0.4371196754563894,0.0685446196051925,0.1185062982248114,0.074,0.9314553803948076,XGB,PGD_eps0.15_it25,0.4649012266212161,2.0214576721191406,PGD,0.15,25.0,,,,,,,,,42
0.434349020425555,0.2526595744680851,0.1227560980458422,0.1652328646160844,0.3044166666666666,0.8772439019541578,XGB,PGD_eps0.3_it10,0.5655149905260963,2.0214576721191406,PGD,0.3,10.0,,,,,,,,,42
0.3541336137729708,0.0880941139439723,0.0445102677772697,0.0591397139423394,0.3862833333333333,0.9554897322227304,XGB,PGD_eps0.3_it25,0.6457213312421239,2.0214576721191406,PGD,0.3,25.0,,,,,,,,,42
0.3466088864310127,0.2419018259426132,0.2027910860187265,0.2206265612665318,0.5328166666666667,0.7972089139812735,XGB,PGD_eps0.5_it10,0.6532641904571952,2.0214576721191406,PGD,0.5,10.0,,,,,,,,,42
0.2859577708675194,0.0523782559456398,0.0330994175297695,0.0405647391309644,0.50205,0.9669005824702304,XGB,PGD_eps0.5_it25,0.7139062400841318,2.0214576721191406,PGD,0.5,25.0,,,,,,,,,42
0.3434720723824375,0.2626540162280513,0.2432459296662227,0.2525776919980596,0.5725,0.7567540703337773,XGB,PGD_eps0.75_it10,0.6564282023154402,2.0214576721191406,PGD,0.75,10.0,,,,,,,,,42
0.3909594480657824,0.3229691171534072,0.3060254855575214,0.3142690906121449,0.5378333333333334,0.6939745144424786,XGB,PGD_eps0.75_it25,0.6089498925686518,2.0214576721191406,PGD,0.75,25.0,,,,,,,,,42
0.4118201680824637,0.192055778575956,0.0903524640677494,0.1228909798831927,0.3186666666666666,0.9096475359322506,XGB,CW_c0.0_it10,0.5880529088057441,2.0214576721191406,CW,,10.0,0.0,,,,,,,,42
0.4132525860584027,0.1956512560692421,0.0921217422420134,0.1252635562523652,0.3175166666666666,0.9078782577579866,XGB,CW_c0.5_it10,0.5866295567663617,2.0214576721191406,CW,,10.0,0.5,,,,,,,,42
0.11,0.180327868852459,0.22,0.1981981981981982,1.0,0.78,XGB,HopSkipJump_direct,0.89,,,,,,100.0,100.0,0.6469325423240662,563.0,0.0,13.0,5.751512765884399,42
0.9997733515860856,0.9998409353004336,0.9996620479891856,0.9997514836426532,0.0001333333333333,0.0003379520108144,LGBM,clean,0.0,1.0816702842712402,,,,,,,,,,,,42
0.5450622376544609,0.5276018099547511,0.0231795320358626,0.0444080513396682,0.0174,0.9768204679641374,LGBM,FGSM_eps0.15,0.4548017732971904,1.0816702842712402,FGSM,0.15,1.0,,,,,,,,,42
0.5211825607644398,0.1388729154686601,0.0096018130131403,0.0179617336977743,0.0499166666666666,0.9903981869868596,LGBM,FGSM_eps0.3,0.4786905161237682,1.0816702842712402,FGSM,0.3,1.0,,,,,,,,,42
0.4463341885533485,0.0403005464480874,0.0093831381826133,0.0152221236797548,0.1873333333333333,0.9906168618173866,LGBM,FGSM_eps0.5,0.5535570202079726,1.0816702842712402,FGSM,0.5,1.0,,,,,,,,,42
0.451946003281869,0.0310507346825616,0.0066795220960976,0.0109940448923499,0.17475,0.9933204779039024,LGBM,FGSM_eps0.75,0.5479361395428954,1.0816702842712402,FGSM,0.75,1.0,,,,,,,,,42
0.5458237763252133,0.5458593054318789,0.0243723038387372,0.0466612114407505,0.017,0.9756276961612628,LGBM,PGD_eps0.15_it10,0.4540402346264381,1.0816702842712402,PGD,0.15,10.0,,,,,,,,,42
0.5283537165806914,0.2907853148553367,0.0237759179372999,0.0439576595119082,0.0486166666666666,0.9762240820627,LGBM,PGD_eps0.15_it25,0.4715012284344034,1.0816702842712402,PGD,0.15,25.0,,,,,,,,,42
0.4847556276801175,0.1025079133187241,0.0167385643003399,0.0287779619597723,0.1228666666666666,0.98326143569966,LGBM,PGD_eps0.3_it10,0.5151083832715339,1.0816702842712402,PGD,0.3,10.0,,,,,,,,,42
0.4709482063044523,0.0784211077374096,0.0148897680058843,0.0250275670798944,0.1467,0.9851102319941156,LGBM,PGD_eps0.3_it25,0.5289248705837557,1.0816702842712402,PGD,0.3,25.0,,,,,,,,,42
0.5040751384821809,0.4029646622843781,0.1815796274576069,0.25034945868165,0.22555,0.8184203725423931,LGBM,PGD_eps0.5_it10,0.4958070043425836,1.0816702842712402,PGD,0.5,10.0,,,,,,,,,42
0.4489723760913121,0.2549239766081871,0.1083235592310597,0.1520410725745696,0.2654333333333333,0.8916764407689403,LGBM,PGD_eps0.5_it25,0.5509278986065655,1.0816702842712402,PGD,0.5,25.0,,,,,,,,,42
0.4363344605314452,0.335166208447888,0.2399260481482217,0.2796598387246269,0.399,0.7600739518517782,LGBM,PGD_eps0.75_it10,0.5635476822933193,1.0816702842712402,PGD,0.75,10.0,,,,,,,,,42
0.5363408066870348,0.4813895781637717,0.2159712144404906,0.2981707400749269,0.1950666666666666,0.7840287855595094,LGBM,PGD_eps0.75_it25,0.4635685339473994,1.0816702842712402,PGD,0.75,25.0,,,,,,,,,42
