accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s,seed
0.3227564073506613,0.2629830389928309,0.2690893187285053,0.2660011397802975,0.63225,0.7309106812714947,LR,FGSM_direct,0.15,0.6749861744467512,0.5792088508605957,0.3905477523803711,42
0.3227564073506613,0.2629830389928309,0.2690893187285053,0.2660011397802975,0.63225,0.7309106812714947,LR,PGD_direct,0.15,0.6749861744467512,0.5792121887207031,3.448050022125244,42
0.0860176060487928,0.1120310915849949,0.1449814126394052,0.1263940520446096,0.9634166666666668,0.8550185873605948,LR,FGSM_direct,0.3,0.9126043715946076,1.158409833908081,0.3711047172546386,42
0.0860176060487928,0.1120310915849949,0.1449814126394052,0.1263940520446096,0.9634166666666668,0.8550185873605948,LR,PGD_direct,0.3,0.9126043715946076,1.1584292650222778,3.4458556175231934,42
0.0811129343716852,0.1088312364957016,0.1411844224002544,0.122914503288335,0.96925,0.8588155775997456,LR,FGSM_direct,0.5,0.918814538135862,1.9306671619415283,0.371248722076416,42
0.0811129343716852,0.1088312364957016,0.1411844224002544,0.122914503288335,0.96925,0.8588155775997456,LR,PGD_direct,0.5,0.918814538135862,1.930699110031128,3.438417196273804,42
0.0794357361087187,0.1068414106381019,0.1384012881935471,0.1205906551768934,0.97,0.8615987118064529,LR,FGSM_direct,0.75,0.9205461320181682,2.8959736824035645,0.379601240158081,42
0.0794357361087187,0.1068414106381019,0.1384012881935471,0.1205906551768934,0.97,0.8615987118064529,LR,PGD_direct,0.75,0.9205461320181682,2.896038293838501,3.450486898422241,42
0.2355148998667307,0.2263968861582011,0.2798242649543764,0.2502911706393307,0.8016333333333333,0.7201757350456235,SVM,FGSM_direct,0.15,0.763143341522896,0.580946683883667,0.4486644268035888,42
0.2355148998667307,0.2263968861582011,0.2798242649543764,0.2502911706393307,0.8016333333333333,0.7201757350456235,SVM,PGD_direct,0.15,0.763143341522896,0.580946683883667,4.09447979927063,42
