,,approx_queries,approx_queries,n_samples,n_samples,n_eligible,n_eligible,asr,asr,adv_accuracy,adv_accuracy,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
max_iter,max_eval,,,,,,,,,,,,,,,,,,,,
5,100,500.0,0.0,200.0,0.0,190.2,10.079682534683325,0.9573333333333333,0.06630197871068694,0.09166666666666666,0.049557566334036025,0.8604916642109554,0.7814276740634681,229.26666666666668,2.21896586810377,0.0,0.0,0.0,0.0,10.163828659057618,13.477502876131924
10,200,2000.0,0.0,200.0,0.0,190.2,10.079682534683325,0.9573333333333333,0.06630197871068694,0.09166666666666666,0.049557566334036025,0.6190144141515096,0.48231867756273905,559.3333333333334,3.7733400639347647,0.0,0.0,0.0,0.0,17.639911794662474,23.705009067611424
20,500,10000.0,0.0,200.0,0.0,190.2,10.079682534683325,0.9573333333333333,0.06630197871068694,0.09166666666666666,0.049557566334036025,0.4831929047902425,0.3172144459025203,1441.4333333333334,6.878711119582401,0.0,0.0,0.0,0.0,31.375457032521567,42.023257148216636
40,1000,40000.0,0.0,200.0,0.0,190.2,10.079682534683325,0.9573333333333333,0.06630197871068694,0.09166666666666666,0.049557566334036025,0.3917471349239349,0.20974412103296405,3831.2,11.0466543092726,0.0,0.0,0.0,0.0,58.20534865061442,76.20282929642045
