,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,asr,asr,iters,iters,confidence,confidence,n_samples,n_samples,n_eligible,n_eligible,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.45523875143921744,0.22706220025658386,0.45420018522240485,0.29582554727963606,0.2534032651023685,0.2758828235632645,0.2617108101897294,0.26261890023476686,0.3755457407407407,0.33656348727216523,0.7465967348976315,0.2758828235632645,0.5043314022888468,0.2376800536572844,12.0,9.954954725939523,,,,,,,,,,,,,,,,
0.3,0.309106834003709,0.23351443832742955,0.2764182073121436,0.2973751896798916,0.15053244007978314,0.21674830246668966,0.14731636912777252,0.1948766116933561,0.557947037037037,0.39528105835878286,0.8494675599202168,0.21674830246668958,0.6508276696413012,0.22639760738666093,12.0,9.954954725939523,,,,,,,,,,,,,,,,
0.5,0.26729523826792256,0.23977845649352536,0.22581422896039088,0.27351103781786507,0.11886987080514301,0.18197510137489847,0.11812293089592699,0.17073819049221056,0.6082674074074075,0.41529355630482523,0.881130129194857,0.18197510137489845,0.6927748514949226,0.2252392245789354,12.0,9.954954725939523,,,,,,,,,,,,,,,,
0.75,0.244708565396126,0.23183692623432064,0.1999024677500395,0.23779934823583415,0.09259112003481122,0.1426806418634904,0.09159038211422332,0.13051392672792708,0.6277587037037037,0.4210559190656253,0.9074088799651888,0.14268064186349036,0.7153615243667192,0.21351646289114076,12.0,9.954954725939523,,,,,,,,,,,,,,,,
,0.5416057216636597,0.3543215165715914,0.5808812032857382,0.3908480820052616,0.48674621129289836,0.3816659838235278,0.48754668211794516,0.3681817534674596,0.41152555555555553,0.4112697375403345,0.5132537887071016,0.3816659838235278,0.4389159685895518,0.38817523337162313,10.0,0.0,0.25,0.25210974204480535,100.0,0.0,95.46666666666667,4.85466951418467,0.5814661311606566,0.4808083195815091,559.1833333333333,3.9967299852144786,0.0,0.0,0.0,0.0,13.582034516334534,27.288995531951063
