,n,n,n_detected_clean,n_detected_clean,asr,asr,fnr_under_attack,fnr_under_attack,iters,iters,confidence,confidence
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,
0.15,4447.701612903225,11688.201192312756,1917.0987903225807,2592.340564471481,0.7493757456226942,0.3866148365144456,0.7065456268300883,0.39235146986650166,12.0,9.902823057376931,,
0.3,4447.701612903225,11688.201192312756,1917.0987903225807,2592.340564471481,0.8277016770276122,0.3329955184520154,0.7630071578764949,0.3652493742659873,12.0,9.902823057376931,,
0.5,4447.701612903225,11688.201192312756,1917.0987903225807,2592.340564471481,0.8596028435701976,0.303624616203731,0.7871804000350882,0.350870084261509,12.0,9.902823057376931,,
0.75,4447.701612903225,11688.201192312756,1917.0987903225807,2592.340564471481,0.8730599535395328,0.2895482278805745,0.7961910018531406,0.3453018770006012,12.0,9.902823057376931,,
,4447.701612903225,11690.16675210001,1917.0987903225807,2592.776508401996,0.6232577406957512,0.4369542382380714,0.630497929007131,0.42409692631346124,10.0,0.0,0.25,0.250126103412811
