model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
SVM,FGSM_eps0.15,20,0,,1.0,FGSM,0.15,1,Web Attack - XSS,,42
SVM,FGSM_eps0.15,2,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,,42
RF,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,,42
RF,FGSM_eps0.15,6081,6081,1.0,1.0,FGSM,0.15,1,Botnet Ares,,42
RF,FGSM_eps0.15,60,60,1.0,1.0,FGSM,0.15,1,Botnet Ares - Attempted,,42
RF,FGSM_eps0.15,6017,6017,1.0,1.0,FGSM,0.15,1,DDoS-HOIC,,42
RF,FGSM_eps0.15,6088,6088,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,,42
RF,FGSM_eps0.15,502,502,0.7948207171314741,0.7948207171314741,FGSM,0.15,1,DDoS-LOIC-UDP,,42
RF,FGSM_eps0.15,55,54,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,,42
RF,FGSM_eps0.15,4496,4496,1.0,1.0,FGSM,0.15,1,DoS GoldenEye,,42
RF,FGSM_eps0.15,861,861,1.0,1.0,FGSM,0.15,1,DoS GoldenEye - Attempted,,42
RF,FGSM_eps0.15,6050,6050,1.0,1.0,FGSM,0.15,1,DoS Hulk,,42
RF,FGSM_eps0.15,10,10,1.0,1.0,FGSM,0.15,1,DoS Hulk - Attempted,,42
RF,FGSM_eps0.15,1592,1592,1.0,1.0,FGSM,0.15,1,DoS Slowloris,,42
RF,FGSM_eps0.15,465,465,1.0,1.0,FGSM,0.15,1,DoS Slowloris - Attempted,,42
RF,FGSM_eps0.15,5846,5846,1.0,1.0,FGSM,0.15,1,FTP-BruteForce - Attempted,,42
RF,FGSM_eps0.15,45,45,0.9777777777777776,0.9777777777777776,FGSM,0.15,1,Infiltration - Communication Victim Attacker,,42
RF,FGSM_eps0.15,14,7,1.0,1.0,FGSM,0.15,1,Infiltration - Dropbox Download,,42
RF,FGSM_eps0.15,4,0,,1.0,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,,42
RF,FGSM_eps0.15,5997,5991,0.9924887330996496,0.9923294980823744,FGSM,0.15,1,Infiltration - NMAP Portscan,,42
RF,FGSM_eps0.15,6041,6041,1.0,1.0,FGSM,0.15,1,SSH-BruteForce,,42
RF,FGSM_eps0.15,25,25,1.0,1.0,FGSM,0.15,1,Web Attack - Brute Force,,42
RF,FGSM_eps0.15,23,22,1.0,1.0,FGSM,0.15,1,Web Attack - Brute Force - Attempted,,42
RF,FGSM_eps0.15,7,7,0.7142857142857143,0.7142857142857143,FGSM,0.15,1,Web Attack - SQL,,42
RF,FGSM_eps0.15,2,2,1.0,1.0,FGSM,0.15,1,Web Attack - SQL - Attempted,,42
RF,FGSM_eps0.15,20,20,0.0,0.0,FGSM,0.15,1,Web Attack - XSS,,42
RF,FGSM_eps0.15,2,2,1.0,1.0,FGSM,0.15,1,Web Attack - XSS - Attempted,,42
MLP,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,,42
MLP,FGSM_eps0.15,6081,6081,0.9935865811544152,0.9935865811544152,FGSM,0.15,1,Botnet Ares,,42
MLP,FGSM_eps0.15,60,60,1.0,1.0,FGSM,0.15,1,Botnet Ares - Attempted,,42
MLP,FGSM_eps0.15,6017,6017,1.0,1.0,FGSM,0.15,1,DDoS-HOIC,,42
MLP,FGSM_eps0.15,6088,6088,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,,42
MLP,FGSM_eps0.15,502,502,0.0039840637450199,0.0039840637450199,FGSM,0.15,1,DDoS-LOIC-UDP,,42
MLP,FGSM_eps0.15,55,47,1.0,0.8545454545454545,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,,42
MLP,FGSM_eps0.15,4496,4496,1.0,1.0,FGSM,0.15,1,DoS GoldenEye,,42
MLP,FGSM_eps0.15,861,861,1.0,1.0,FGSM,0.15,1,DoS GoldenEye - Attempted,,42
MLP,FGSM_eps0.15,6050,6050,1.0,1.0,FGSM,0.15,1,DoS Hulk,,42
MLP,FGSM_eps0.15,10,10,1.0,1.0,FGSM,0.15,1,DoS Hulk - Attempted,,42
MLP,FGSM_eps0.15,1592,1591,1.0,0.9993718592964824,FGSM,0.15,1,DoS Slowloris,,42
MLP,FGSM_eps0.15,465,465,1.0,1.0,FGSM,0.15,1,DoS Slowloris - Attempted,,42
MLP,FGSM_eps0.15,5846,5846,1.0,1.0,FGSM,0.15,1,FTP-BruteForce - Attempted,,42
MLP,FGSM_eps0.15,45,44,0.7045454545454546,0.6888888888888889,FGSM,0.15,1,Infiltration - Communication Victim Attacker,,42
MLP,FGSM_eps0.15,14,0,,0.4285714285714285,FGSM,0.15,1,Infiltration - Dropbox Download,,42
MLP,FGSM_eps0.15,4,0,,0.75,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,,42
MLP,FGSM_eps0.15,5997,5867,0.989091528890404,0.9746539936634984,FGSM,0.15,1,Infiltration - NMAP Portscan,,42
MLP,FGSM_eps0.15,6041,6041,1.0,1.0,FGSM,0.15,1,SSH-BruteForce,,42
MLP,FGSM_eps0.15,25,24,0.0,0.0,FGSM,0.15,1,Web Attack - Brute Force,,42
MLP,FGSM_eps0.15,23,21,1.0,0.9130434782608696,FGSM,0.15,1,Web Attack - Brute Force - Attempted,,42
MLP,FGSM_eps0.15,7,4,1.0,0.5714285714285714,FGSM,0.15,1,Web Attack - SQL,,42
MLP,FGSM_eps0.15,2,0,,0.0,FGSM,0.15,1,Web Attack - SQL - Attempted,,42
MLP,FGSM_eps0.15,20,20,1.0,1.0,FGSM,0.15,1,Web Attack - XSS,,42
MLP,FGSM_eps0.15,2,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,,42
LR,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,,42
LR,FGSM_eps0.3,6081,6078,1.0,1.0,FGSM,0.3,1,Botnet Ares,,42
LR,FGSM_eps0.3,60,60,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,,42
LR,FGSM_eps0.3,6017,6017,1.0,1.0,FGSM,0.3,1,DDoS-HOIC,,42
LR,FGSM_eps0.3,6088,157,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,,42
LR,FGSM_eps0.3,502,497,0.028169014084507,0.0338645418326693,FGSM,0.3,1,DDoS-LOIC-UDP,,42
LR,FGSM_eps0.3,55,0,,1.0,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,,42
LR,FGSM_eps0.3,4496,4496,0.9719750889679716,0.9719750889679716,FGSM,0.3,1,DoS GoldenEye,,42
LR,FGSM_eps0.3,861,861,0.9849012775842044,0.9849012775842044,FGSM,0.3,1,DoS GoldenEye - Attempted,,42
LR,FGSM_eps0.3,6050,6050,0.9575206611570248,0.9575206611570248,FGSM,0.3,1,DoS Hulk,,42
LR,FGSM_eps0.3,10,10,1.0,1.0,FGSM,0.3,1,DoS Hulk - Attempted,,42
LR,FGSM_eps0.3,1592,1559,0.9884541372674792,0.9886934673366834,FGSM,0.3,1,DoS Slowloris,,42
LR,FGSM_eps0.3,465,458,1.0,1.0,FGSM,0.3,1,DoS Slowloris - Attempted,,42
LR,FGSM_eps0.3,5846,5846,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,,42
LR,FGSM_eps0.3,45,44,0.2272727272727272,0.2444444444444444,FGSM,0.3,1,Infiltration - Communication Victim Attacker,,42
LR,FGSM_eps0.3,14,0,,0.2142857142857142,FGSM,0.3,1,Infiltration - Dropbox Download,,42
LR,FGSM_eps0.3,4,0,,0.75,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,,42
LR,FGSM_eps0.3,5997,5628,0.8718905472636815,0.8585959646489911,FGSM,0.3,1,Infiltration - NMAP Portscan,,42
LR,FGSM_eps0.3,6041,6041,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,,42
LR,FGSM_eps0.3,25,0,,0.96,FGSM,0.3,1,Web Attack - Brute Force,,42
LR,FGSM_eps0.3,23,0,,0.9130434782608696,FGSM,0.3,1,Web Attack - Brute Force - Attempted,,42
LR,FGSM_eps0.3,7,3,1.0,0.5714285714285714,FGSM,0.3,1,Web Attack - SQL,,42
LR,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - SQL - Attempted,,42
LR,FGSM_eps0.3,20,0,,1.0,FGSM,0.3,1,Web Attack - XSS,,42
LR,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,,42
SVM,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,,42
SVM,FGSM_eps0.3,6081,6081,1.0,1.0,FGSM,0.3,1,Botnet Ares,,42
SVM,FGSM_eps0.3,60,60,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,,42
SVM,FGSM_eps0.3,6017,6017,1.0,1.0,FGSM,0.3,1,DDoS-HOIC,,42
SVM,FGSM_eps0.3,6088,0,,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,,42
SVM,FGSM_eps0.3,502,498,0.002008032128514,0.0059760956175298,FGSM,0.3,1,DDoS-LOIC-UDP,,42
SVM,FGSM_eps0.3,55,0,,1.0,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,,42
SVM,FGSM_eps0.3,4496,4496,1.0,1.0,FGSM,0.3,1,DoS GoldenEye,,42
SVM,FGSM_eps0.3,861,861,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,,42
SVM,FGSM_eps0.3,6050,6050,1.0,1.0,FGSM,0.3,1,DoS Hulk,,42
SVM,FGSM_eps0.3,10,10,1.0,1.0,FGSM,0.3,1,DoS Hulk - Attempted,,42
SVM,FGSM_eps0.3,1592,1559,0.9993585631815266,0.9993718592964824,FGSM,0.3,1,DoS Slowloris,,42
SVM,FGSM_eps0.3,465,458,1.0,1.0,FGSM,0.3,1,DoS Slowloris - Attempted,,42
SVM,FGSM_eps0.3,5846,5846,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,,42
SVM,FGSM_eps0.3,45,45,0.2666666666666666,0.2666666666666666,FGSM,0.3,1,Infiltration - Communication Victim Attacker,,42
SVM,FGSM_eps0.3,14,0,,0.0,FGSM,0.3,1,Infiltration - Dropbox Download,,42
SVM,FGSM_eps0.3,4,0,,0.5,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,,42
SVM,FGSM_eps0.3,5997,5230,0.869980879541109,0.8809404702351176,FGSM,0.3,1,Infiltration - NMAP Portscan,,42
SVM,FGSM_eps0.3,6041,6041,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,,42
SVM,FGSM_eps0.3,25,0,,0.96,FGSM,0.3,1,Web Attack - Brute Force,,42
SVM,FGSM_eps0.3,23,0,,0.9130434782608696,FGSM,0.3,1,Web Attack - Brute Force - Attempted,,42
SVM,FGSM_eps0.3,7,0,,0.5714285714285714,FGSM,0.3,1,Web Attack - SQL,,42
SVM,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - SQL - Attempted,,42
SVM,FGSM_eps0.3,20,0,,1.0,FGSM,0.3,1,Web Attack - XSS,,42
SVM,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,,42
RF,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,,42
RF,FGSM_eps0.3,6081,6081,1.0,1.0,FGSM,0.3,1,Botnet Ares,,42
RF,FGSM_eps0.3,60,60,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,,42
RF,FGSM_eps0.3,6017,6017,1.0,1.0,FGSM,0.3,1,DDoS-HOIC,,42
RF,FGSM_eps0.3,6088,6088,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,,42
RF,FGSM_eps0.3,502,502,0.7928286852589641,0.7928286852589641,FGSM,0.3,1,DDoS-LOIC-UDP,,42
RF,FGSM_eps0.3,55,54,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,,42
RF,FGSM_eps0.3,4496,4496,1.0,1.0,FGSM,0.3,1,DoS GoldenEye,,42
RF,FGSM_eps0.3,861,861,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,,42
RF,FGSM_eps0.3,6050,6050,1.0,1.0,FGSM,0.3,1,DoS Hulk,,42
RF,FGSM_eps0.3,10,10,1.0,1.0,FGSM,0.3,1,DoS Hulk - Attempted,,42
RF,FGSM_eps0.3,1592,1592,1.0,1.0,FGSM,0.3,1,DoS Slowloris,,42
RF,FGSM_eps0.3,465,465,1.0,1.0,FGSM,0.3,1,DoS Slowloris - Attempted,,42
RF,FGSM_eps0.3,5846,5846,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,,42
RF,FGSM_eps0.3,45,45,1.0,1.0,FGSM,0.3,1,Infiltration - Communication Victim Attacker,,42
RF,FGSM_eps0.3,14,7,1.0,0.9285714285714286,FGSM,0.3,1,Infiltration - Dropbox Download,,42
RF,FGSM_eps0.3,4,0,,1.0,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,,42
RF,FGSM_eps0.3,5997,5991,0.9899849774661992,0.9899949974987494,FGSM,0.3,1,Infiltration - NMAP Portscan,,42
RF,FGSM_eps0.3,6041,6041,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,,42
RF,FGSM_eps0.3,25,25,1.0,1.0,FGSM,0.3,1,Web Attack - Brute Force,,42
RF,FGSM_eps0.3,23,22,1.0,1.0,FGSM,0.3,1,Web Attack - Brute Force - Attempted,,42
