accuracy,precision,recall,f1,fpr,fnr,model,config,search_budget,best_params,cv_f1_macro,fit_s,seed
0.9323137176686036,0.9546197440196972,0.8940818639047373,0.9233596123840028,0.0356333333333333,0.1059181360952627,LR,tuned,12,"{'class_weight': 'balanced', 'C': 100.0}",0.9328216811718152,6.408778190612793,42
0.9258497049037652,0.963043573846898,0.870822813748683,0.9146144129284156,0.0280166666666666,0.129177186251317,LR,as_submitted,0,{'max_iter': 500},,0.8943593502044678,42
0.9262304742391412,0.9672650709219858,0.8676023298809216,0.914727057418023,0.0246166666666666,0.1323976701190783,SVM,tuned,12,"{'class_weight': 'balanced', 'C': 1.0}",0.9257694537652272,14.420801877975464,42
0.9230845942540096,0.9679310730670247,0.8598294336321889,0.9106834547521792,0.0238833333333333,0.140170566367811,SVM,as_submitted,0,{'max_iter': 500},,3.671571493148804,42
0.999764285649529,0.9998608100853036,0.9996222889290896,0.9997415352804342,0.0001166666666666,0.0003777110709102,RF,tuned,12,"{'n_estimators': 50, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9997007667335444,188.34153842926025,42
0.999764285649529,0.9998608100853036,0.9996222889290896,0.9997415352804342,0.0001166666666666,0.0003777110709102,RF,as_submitted,0,{'n_estimators': 50},,8.868587493896484,42
0.9197664614743026,0.9582974018794914,0.8615589527463571,0.90735700527594,0.0314333333333333,0.1384410472536429,LR,tuned,12,"{'class_weight': 'balanced', 'C': 0.01}",0.919857355778124,4.636857509613037,7
0.9195307471238316,0.960842770373996,0.8585372641790748,0.9068136482939632,0.0293333333333333,0.1414627358209252,LR,as_submitted,0,{'max_iter': 500},,1.092287540435791,7
0.9221689346617952,0.9653949129852744,0.8601673856430034,0.909748430978838,0.02585,0.1398326143569966,SVM,tuned,12,"{'class_weight': 'balanced', 'C': 0.01}",0.921266301598092,15.784931898117064,7
0.9206821210665168,0.9710056220529562,0.8514999105421148,0.9073346396229413,0.0213166666666666,0.1485000894578852,SVM,as_submitted,0,{'max_iter': 500},,4.27426290512085,7
0.9997280219033028,0.9998806801232972,0.9995228912788502,0.9997017536883128,0.0001,0.0004771087211498,RF,tuned,12,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40}",0.9997487356803116,284.8041861057281,7
0.9997280219033028,0.9998806801232972,0.9995228912788502,0.9997017536883128,0.0001,0.0004771087211498,RF,as_submitted,0,{'n_estimators': 50},,9.645015001296995,7
