accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.0950382129225859,0.026252846290733,0.027274715225732,0.0267540267540267,0.84815,0.972725284774268,LR,as_submitted,FGSM_eps0.5,0.8328785255160784,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,,42
0.0418120993989284,0.0180634832242795,0.0206349521897302,0.0192637820483079,0.9404333333333332,0.9793650478102698,LR,as_submitted,FGSM_eps0.75,0.8863675511998768,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,,42
0.6736262839632648,0.6230238599026338,0.7199769397451444,0.6680008115535717,0.3652333333333333,0.2800230602548555,LR,as_submitted,PGD_eps0.15_it10,0.2528943002456869,{'max_iter': 500},PGD,0.15,10.0,,,,,,,,,42
0.6206268188535217,0.5812657352065036,0.6012563862990279,0.5910920888055035,0.3631333333333333,0.3987436137009721,LR,as_submitted,PGD_eps0.15_it25,0.3059028312919866,{'max_iter': 500},PGD,0.15,25.0,,,,,,,,,42
0.4017116488218815,0.2963184131270121,0.226885076436793,0.2569945619743523,0.4517166666666666,0.773114923563207,LR,as_submitted,PGD_eps0.3_it10,0.5252441003417858,{'max_iter': 500},PGD,0.3,10.0,,,,,,,,,42
0.3600627362809715,0.2609033900702532,0.2200067590402163,0.238716148445336,0.5225166666666666,0.7799932409597837,LR,as_submitted,PGD_eps0.3_it25,0.5665666391666591,{'max_iter': 500},PGD,0.3,25.0,,,,,,,,,42
0.1958242296220411,0.0381506783411911,0.0315289346559847,0.0345251700680272,0.6664333333333333,0.9684710653440152,LR,as_submitted,PGD_eps0.5_it10,0.7308958051911553,{'max_iter': 500},PGD,0.5,10.0,,,,,,,,,42
0.2315258877818373,0.0538091045626391,0.0413096634395562,0.0467381158556471,0.609,0.9586903365604436,LR,as_submitted,PGD_eps0.5_it25,0.6952122789044722,{'max_iter': 500},PGD,0.5,25.0,,,,,,,,,42
0.1539486686672166,0.0226793600071011,0.0203168797089636,0.0214332151919971,0.7340166666666667,0.9796831202910364,LR,as_submitted,PGD_eps0.75_it10,0.7728620255115455,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,,42
0.153150866250238,0.0221271312329556,0.0198397709878138,0.0209211160723644,0.7350833333333333,0.980160229012186,LR,as_submitted,PGD_eps0.75_it25,0.7737686191672031,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,,42
