attack,epsilon,adv_accuracy,asr
PGD_nonadaptive,0.15,0.9246323529411765,0.007965686274509803
PGD_adaptive,0.15,0.9264705882352942,0.009191176470588236
PGD_nonadaptive,0.3,0.9129901960784313,0.02144607843137255
PGD_adaptive,0.3,0.9120710784313726,0.026041666666666668
PGD_nonadaptive,0.5,0.8425245098039216,0.09283088235294118
PGD_adaptive,0.5,0.8167892156862745,0.12193627450980392
