accuracy,precision,recall,f1,fpr,fnr,model,seed
0.9037882915965788,0.9680723692962618,0.9037225620168275,0.9347913354850104,0.096,0.0962774379831724,LR,42
0.9058494633845864,0.9709129724140232,0.9036915147940016,0.9360969962050556,0.0872,0.0963084852059983,SVM,42
0.9987680352531452,0.9995650147584278,0.9988202055326152,0.9991924713482624,0.0014,0.0011797944673848,RF,42
0.9645810135279206,0.9950996195757302,0.958303579744792,0.9763550381957076,0.0152,0.0416964202552081,MLP,42
0.9028169347769434,0.967375037413948,0.9031016175603092,0.934134044124731,0.0981,0.0968983824396907,LR,7
0.9044279655997536,0.9694737894491284,0.903194759228787,0.9351613732801852,0.0916,0.096805240771213,SVM,7
0.9986969603639034,0.999161698956781,0.9991306777608744,0.9991461881180432,0.0027,0.0008693222391257,RF,7
0.961240493733564,0.9967181153533712,0.9523425129622156,0.9740251492442524,0.0101,0.0476574870377844,MLP,7
0.9035987585586012,0.967752659574468,0.9037846564624794,0.9346754643677052,0.097,0.0962153435375205,LR,123
0.90471226515672,0.969642440601153,0.9034120897885684,0.9353563277508116,0.0911,0.0965879102114316,SVM,123
0.9987443436233978,0.9994098279182456,0.9989443944239188,0.9991770569693958,0.0019,0.0010556055760812,RF,123
0.9657182117557866,0.993518577937496,0.9613462075817318,0.9771676528599604,0.0202,0.0386537924182681,MLP,123
0.9038119832263262,0.9671723039134332,0.9046539787016052,0.9348690965092402,0.0989,0.0953460212983948,LR,31
0.905375630789642,0.9698584512905912,0.9040951286907386,0.9358228621011024,0.0905,0.0959048713092613,SVM,31
0.9987206519936508,0.9992237230243752,0.9990996305380484,0.9991616729282454,0.0025,0.0009003694619516,RF,31
0.9654812954583146,0.9965445973002648,0.9580862491850104,0.9769370795409577,0.0107,0.0419137508149895,MLP,31
0.9062048378307944,0.969237924390406,0.90583377316899,0.9364638667330006,0.0926,0.0941662268310099,LR,99
0.9073894193181548,0.971478075436492,0.9052128287124716,0.937175551662622,0.0856,0.0947871712875283,SVM,99
0.9986732687341562,0.999378746932563,0.9988822999782668,0.999130461786901,0.002,0.001117700021733,RF,99
0.965978819683006,0.9946950454940038,0.960538979788258,0.977318675764468,0.0165,0.039461020211742,MLP,99
