model,n_samples_mean,n_samples_std,per_sample_ms_mean,per_sample_ms_std,total_s_mean,total_s_std
LR,500.0,0.0,0.00016460418701165998,8.323506406994814e-06,8.230209350585937e-05,4.161753203505488e-06
MLP,500.0,0.0,0.0209237098693847,0.005290691195072255,0.01046185493469232,0.0026453455975361407
RF,500.0,0.0,0.00841665267944328,7.682851433228935e-05,0.00420832633972162,3.84142571661587e-05
SVM,500.0,0.0,0.0001282691955566,1.99475294716023e-06,6.413459777832031e-05,9.973764735866494e-07
