model,defense_attack,eval_attack,family,accuracy_mean,accuracy_std,adv_train_s_mean,adv_train_s_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,ratio_mean,ratio_std,recall_mean,recall_std,retrain_s_mean,retrain_s_std
LR,FGSM,CW_c0.0_it10,CW,0.9034021180316995,0.0024896647838912435,,,0.0,0.0,,,0.9346087431665403,0.0017143492254022745,0.09534912602067742,0.0023102532220409936,0.10062,0.005077357142801316,10.0,0.0,0.9666212660145941,0.0016582978838154874,0.4,0.10540925533894598,0.9046508739793225,0.0023102532220410344,0.49416227340698243,0.0703269380792107
LR,FGSM,CW_c0.5_it10,CW,0.9032789215570138,0.00269696945108608,,,0.5,0.0,,,0.9345182441066624,0.0018509140486556324,0.09553540935763292,0.002376299349366408,0.10054,0.005515271726961622,10.0,0.0,0.9666401917338634,0.0018073910529010492,0.4,0.10540925533894598,0.9044645906423672,0.0023762993493663936,0.49416227340698243,0.0703269380792107
LR,FGSM,Clean,Clean,0.9046530360823521,0.0021533839411278575,,,,,0.0,0.0,0.9354360321265116,0.0015039998372488649,0.0948182185103542,0.0022051543637646247,0.09705,0.0030667572450391294,0.0,0.0,0.9677844551165331,0.0010256891392961508,0.4,0.10540925533894598,0.9051817814896458,0.0022051543637645766,0.49416227340698243,0.0703269380792107
LR,FGSM,FGSM_eps0.15,FGSM,0.906012935629842,0.005118542963063852,,,,,0.15,0.0,0.9369867143152255,0.0041708192204886795,0.08359154273650217,0.015258531358093234,0.12747000000000003,0.029665020553582035,1.0,0.0,0.9587966227881548,0.008624327974276862,0.4,0.10540925533894598,0.9164084572634978,0.015258531358093236,0.49416227340698243,0.0703269380792107
LR,FGSM,FGSM_eps0.3,FGSM,0.8148546518515009,0.08941466084605446,,,,,0.3,0.0,0.8681446437341069,0.068806498381159,0.18434909497345459,0.09783875581470602,0.18771,0.13407580318610812,1.0,0.0,0.9334346760481171,0.05044050443253813,0.4,0.10540925533894598,0.8156509050265454,0.09783875581470595,0.49416227340698243,0.0703269380792107
LR,FGSM,FGSM_eps0.5,FGSM,0.7075718448672084,0.1699358324066407,,,,,0.5,0.0,0.7695084202414257,0.16472845494473987,0.29996895277717406,0.20812409173420127,0.26814,0.1437174094456819,1.0,0.0,0.8829379440459311,0.09003383479637951,0.4,0.10540925533894598,0.7000310472228259,0.20812409173420127,0.49416227340698243,0.0703269380792107
LR,FGSM,FGSM_eps0.75,FGSM,0.641476936198441,0.21638673892687454,,,,,0.75,0.0,0.7063458997071197,0.23220828437086244,0.3542829643888354,0.2568237850827952,0.37218,0.18736854829156596,1.0,0.0,0.813920795823516,0.1566536139163676,0.4,0.10540925533894598,0.6457170356111646,0.2568237850827952,0.49416227340698243,0.0703269380792107
LR,FGSM,PGD_eps0.15_it10,PGD,0.8957923665568954,0.022153297538737515,,,,,0.15,0.0,0.9294514638413498,0.016007690109164446,0.09794777857120676,0.02728031212011682,0.12437000000000001,0.022173309781506823,10.0,0.0,0.958938883460724,0.0074071812102230045,0.4,0.10540925533894598,0.9020522214287933,0.02728031212011679,0.49416227340698243,0.0703269380792107
LR,FGSM,PGD_eps0.15_it25,PGD,0.9047430642753914,0.008422773669038812,,,,,0.15,0.0,0.9360588977568783,0.005975874492547163,0.0858579900027942,0.011904442567667983,0.12553,0.021092602705424693,25.0,0.0,0.9591731563896989,0.006467132378117992,0.4,0.10540925533894598,0.9141420099972057,0.011904442567667999,0.49416227340698243,0.0703269380792107
LR,FGSM,PGD_eps0.3_it10,PGD,0.7965504987088062,0.07853892761593377,,,,,0.3,0.0,0.8501058378855599,0.0676078869013244,0.22294079294607094,0.10420898070745162,0.14067000000000002,0.050215536551062666,10.0,0.0,0.9464546468896803,0.018748045151301067,0.4,0.10540925533894598,0.7770592070539291,0.10420898070745162,0.49416227340698243,0.0703269380792107
