model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
RF,PGD_eps0.15_it10,PGD,0.24127555734558975,0.10720087969250142,0.7581416285626288,0.10729879033216026,,,0.15,0.0,0.22170813549710822,0.1608933004337218,0.8488372815051693,0.12443309259149501,0.46848,0.13768294011968224,10.0,0.0,0.4545826046647292,0.18406568580118987,0.1511627184948306,0.12443309259149504
RF,PGD_eps0.15_it25,PGD,0.2046246061266554,0.09843725190936936,0.7948162714113104,0.09856700701346778,,,0.15,0.0,0.13420871998434217,0.1545701122177408,0.9126889999689528,0.10708006529933763,0.41752,0.13748547923326304,25.0,0.0,0.3199274375719228,0.26491688007692415,0.08731100003104716,0.1070800652993376
RF,PGD_eps0.3_it10,PGD,0.25388898102300456,0.11588538387463296,0.7454760832997701,0.11593360780506105,,,0.3,0.0,0.20459684808923573,0.1788185428322208,0.8629265112235711,0.13501905524433733,0.36985999999999997,0.150650051443735,10.0,0.0,0.4694294528004194,0.20444133231171013,0.1370734887764289,0.13501905524433738
RF,PGD_eps0.3_it25,PGD,0.2049610272690658,0.08643162005650103,0.7943708687720628,0.08655028468516227,,,0.3,0.0,0.11660260357527692,0.13232494495759112,0.9272315191406129,0.08700909112767109,0.36926000000000003,0.1393061664105362,25.0,0.0,0.32412146905190903,0.27490556127769306,0.0727684808593871,0.08700909112767109
RF,PGD_eps0.5_it10,PGD,0.2645170461276031,0.08667589947315688,0.7347864199578289,0.08679266575733124,,,0.5,0.0,0.1988797395022242,0.15016075720889147,0.8721351175137384,0.10487966386512859,0.29534000000000005,0.18184057028067194,10.0,0.0,0.5673780725018936,0.22674898646488686,0.12786488248626157,0.1048796638651286
RF,PGD_eps0.5_it25,PGD,0.2341443767916795,0.08389420693686223,0.765196995901348,0.08396326016496748,,,0.5,0.0,0.1419262900255031,0.1458989647268415,0.9100499860287498,0.10050861058118331,0.30141999999999997,0.17273533801744217,25.0,0.0,0.45657038117649024,0.32062468717511367,0.08995001397125023,0.10050861058118336
RF,PGD_eps0.75_it10,PGD,0.25010779691534973,0.08390919630881348,0.7491909308441327,0.08400134291983055,,,0.75,0.0,0.1850092798890317,0.1492805089176674,0.8801390915582601,0.10487622184679657,0.33038,0.1871773009742367,10.0,0.0,0.5274621967787162,0.2638807330140777,0.11986090844173984,0.10487622184679667
RF,PGD_eps0.75_it25,PGD,0.23819564547845246,0.0984493394957314,0.761069913999384,0.09859692924879737,,,0.75,0.0,0.15864561892917944,0.17203158502833657,0.8958117296407837,0.12278810688874987,0.33018000000000003,0.15440755162879824,25.0,0.0,0.4226391691796927,0.29719979853371786,0.1041882703592163,0.12278810688874991
SVM,CW_c0.0_it10,CW,0.8867824397640314,0.03603479516877566,0.0196877443199317,0.03730799102656877,0.0,0.0,,,0.9227069653106044,0.0254853349853084,0.11226054829395504,0.03174790240104855,0.1163,0.04991532830704413,10.0,0.0,0.9606649549873781,0.01788203369884595,0.8877394517060448,0.031747902401048585
SVM,CW_c0.5_it10,CW,0.8783340045961762,0.05502051279770186,0.0293491909308441,0.05811623756405896,0.5,0.0,,,0.916231225510699,0.040089523553893246,0.12146294513955722,0.053279021824878786,0.12232000000000001,0.060850776494634815,10.0,0.0,0.9578666025829428,0.02335236988415862,0.8785370548604426,0.05327902182487878
