model,eval_attack,family,accuracy_mean,accuracy_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,n_mean,n_std,n0_mean,n0_std,precision_mean,precision_std,recall_mean,recall_std,sigma_mean,sigma_std,smooth_s_per_sample_mean,smooth_s_per_sample_std
RF,CW_c0.0_it10,CW,0.24533333333333332,0.02843957671642678,0.0,0.0,,,0.037935095808051066,0.06915097438808848,0.9790141280510388,0.03929058122459614,0.036255884376405055,0.04840826958169851,10.0,0.0,200.0,0.0,50.0,0.0,0.3432222222222222,0.42680822924384265,0.020985871948961173,0.03929058122459613,0.2833333333333333,0.1707825127659933,,
RF,CW_c0.5_it10,CW,0.23866666666666667,0.02408813183370798,0.5,0.0,,,0.02705000106880462,0.05584381982504299,0.9850482391135787,0.03171322736502257,0.044973158034442205,0.06089359413354404,10.0,0.0,200.0,0.0,50.0,0.0,0.19261294261294262,0.3095639951949773,0.014951760886421273,0.031713227365022585,0.2833333333333333,0.1707825127659933,,
RF,Clean,,0.30366666666666664,0.08382521498133283,,,,,0.14041307429366776,0.17435446688383596,0.9147369774801299,0.11175459066091284,0.0,0.0,,,200.0,0.0,50.0,0.0,0.6666666666666666,0.4879500364742666,0.08526302251987,0.11175459066091277,0.2833333333333333,0.1707825127659933,0.0053408705393472805,2.7170692754842076e-05
RF,FGSM_eps0.15,FGSM,0.20533333333333334,0.04377159331064361,,,0.15,0.0,0.02799711055482684,0.03935013657169535,0.9838706240240389,0.022958682621324257,0.18793007065936518,0.20310238893403668,1.0,0.0,200.0,0.0,50.0,0.0,0.150524198024198,0.20493809271159613,0.0161293759759611,0.0229586826213242,0.2833333333333333,0.1707825127659933,,
RF,FGSM_eps0.3,FGSM,0.197,0.04798809376144403,,,0.3,0.0,0.08044931942667045,0.09808121585771086,0.9493042586464447,0.06523890967543276,0.3334201499381513,0.17725815547054413,1.0,0.0,200.0,0.0,50.0,0.0,0.2358826975493642,0.2356910850201923,0.050695741353555264,0.0652389096754328,0.2833333333333333,0.1707825127659933,,
RF,FGSM_eps0.5,FGSM,0.224,0.09699410880490188,,,0.5,0.0,0.1654418143578239,0.16682687985783318,0.8873842144089855,0.12179207980635923,0.41567963977335765,0.11617660529063108,1.0,0.0,200.0,0.0,50.0,0.0,0.3447326379500481,0.27034376755058587,0.11261578559101441,0.12179207980635927,0.2833333333333333,0.1707825127659933,,
RF,FGSM_eps0.75,FGSM,0.23766666666666666,0.10706918101773975,,,0.75,0.0,0.21485293334937214,0.16633645876204972,0.8515041712400464,0.12713442060880353,0.4724403408385957,0.07882842348459956,1.0,0.0,200.0,0.0,50.0,0.0,0.4210893866446194,0.24344075223970502,0.14849582875995357,0.12713442060880353,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.15_it10,PGD,0.21266666666666667,0.04757950739351474,,,0.15,0.0,0.03128401582235454,0.0662301391080281,0.9816499761755016,0.04014302916535542,0.1680178960849044,0.18895478403258373,10.0,0.0,200.0,0.0,50.0,0.0,0.22377585377585377,0.3377739919942753,0.018350023824498306,0.04014302916535541,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.15_it25,PGD,0.21066666666666667,0.047691967977048395,,,0.15,0.0,0.03166010055988523,0.060874363027245956,0.9816477412024727,0.03658350303688721,0.17541380856969843,0.19787610898273866,25.0,0.0,200.0,0.0,50.0,0.0,0.22474193381056123,0.33377275937491047,0.01835225879752724,0.03658350303688722,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.3_it10,PGD,0.18866666666666668,0.040287656150429486,,,0.3,0.0,0.02107691690337176,0.019177583421859812,0.9883760286938743,0.010483199370463487,0.24644817812687256,0.1617986491686541,10.0,0.0,200.0,0.0,50.0,0.0,0.15102295383228445,0.21259311946586118,0.011623971306125667,0.010483199370463487,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.3_it25,PGD,0.18533333333333332,0.04019891019607846,,,0.3,0.0,0.021917186438622668,0.030122512654178597,0.9875418693407154,0.017749840980777535,0.26670973059929814,0.15714697223350835,25.0,0.0,200.0,0.0,50.0,0.0,0.11335854439302714,0.12919333829080154,0.012458130659284526,0.01774984098077747,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.5_it10,PGD,0.19666666666666668,0.05005948842080171,,,0.5,0.0,0.04084287385639992,0.06097874744804375,0.975627838549267,0.039102844667027264,0.2571000913963012,0.15363417447717542,10.0,0.0,200.0,0.0,50.0,0.0,0.2536435179282304,0.26600248183108244,0.024372161450732864,0.03910284466702727,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.5_it25,PGD,0.19899999999999998,0.05061055790473538,,,0.5,0.0,0.045231825018007495,0.05865817179697567,0.9735224811904708,0.03747549929883437,0.25317968296013893,0.15018404023258594,25.0,0.0,200.0,0.0,50.0,0.0,0.2701346801346801,0.257467976867151,0.026477518809529196,0.0374754992988344,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.75_it10,PGD,0.195,0.047283340466958194,,,0.75,0.0,0.04641437694960026,0.06392493362129405,0.9720339481629239,0.042439289615196746,0.27261334996585945,0.14463308628910057,10.0,0.0,200.0,0.0,50.0,0.0,0.20335863016535283,0.150035114008819,0.027966051837076077,0.04243928961519675,0.2833333333333333,0.1707825127659933,,
RF,PGD_eps0.75_it25,PGD,0.19899999999999998,0.0634766548763064,,,0.75,0.0,0.0617008265675595,0.09377062511134396,0.9618119966788624,0.06479088684979767,0.2902804267193018,0.13186397168066655,25.0,0.0,200.0,0.0,50.0,0.0,0.2186310416220461,0.18307142946121444,0.03818800332113752,0.06479088684979768,0.2833333333333333,0.1707825127659933,,
SVM,CW_c0.0_it10,CW,0.8813333333333334,0.041553178779326454,0.0,0.0,,,0.918953763408004,0.02771267283583716,0.1188372651753618,0.040595282279129,0.11763514819326476,0.06751943210408447,10.0,0.0,200.0,0.0,50.0,0.0,0.9608985512214978,0.019265124652219648,0.8811627348246381,0.040595282279128946,0.2833333333333333,0.1707825127659933,,
SVM,CW_c0.5_it10,CW,0.8696666666666667,0.055948530769253435,0.5,0.0,,,0.9103746414577769,0.038766799058508376,0.13059909097820363,0.0566340588311173,0.12752134978064752,0.07308443339617635,10.0,0.0,200.0,0.0,50.0,0.0,0.9568310185946455,0.02228010919512948,0.8694009090217963,0.05663405883111728,0.2833333333333333,0.1707825127659933,,
SVM,Clean,,0.9026666666666667,0.024485175301063495,,,,,0.9337381665451534,0.017320474946146053,0.09608909560128719,0.03527569138069438,0.10176643395056678,0.04040002015443723,,,200.0,0.0,50.0,0.0,0.9665561055759794,0.011504752939871844,0.9039109043987128,0.035275691380694356,0.2833333333333333,0.1707825127659933,0.00015273197491959335,9.820798006568966e-07
SVM,FGSM_eps0.15,FGSM,0.6526666666666667,0.3067972030666574,,,0.15,0.0,0.7058580366794235,0.2967644027328436,0.3576638345477588,0.30267131420079435,0.3197134763051511,0.3439226266848686,1.0,0.0,200.0,0.0,50.0,0.0,0.8055204331312711,0.26631945252389416,0.6423361654522411,0.3026713142007944,0.2833333333333333,0.1707825127659933,,
SVM,FGSM_eps0.3,FGSM,0.522,0.29943279713484955,,,0.3,0.0,0.585563767638654,0.3080501765498809,0.49021281717797804,0.28852111745474446,0.43995074775652293,0.33978994615105923,1.0,0.0,200.0,0.0,50.0,0.0,0.7015662653050776,0.31819548178432944,0.509787182822022,0.2885211174547444,0.2833333333333333,0.1707825127659933,,
SVM,FGSM_eps0.5,FGSM,0.421,0.3100933039310219,,,0.5,0.0,0.4796108815264846,0.32267918544385893,0.5818902590783536,0.31624692596865644,0.5682889985918874,0.335797988023616,1.0,0.0,200.0,0.0,50.0,0.0,0.6027647272674024,0.30378152861719004,0.4181097409216464,0.31624692596865644,0.2833333333333333,0.1707825127659933,,
SVM,FGSM_eps0.75,FGSM,0.3983333333333333,0.313885025963026,,,0.75,0.0,0.45060288125406506,0.33780125912423914,0.6027342654707194,0.3271060490905231,0.5952143882202169,0.34390055574754663,1.0,0.0,200.0,0.0,50.0,0.0,0.5633016495666223,0.3110783084999499,0.3972657345292806,0.32710604909052304,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.15_it10,PGD,0.6886666666666666,0.3293416954789545,,,0.15,0.0,0.7347907433786988,0.325250454709761,0.30815378773133545,0.32511413916859183,0.3215266644267732,0.35279090600214497,10.0,0.0,200.0,0.0,50.0,0.0,0.797925003984399,0.2998378701077797,0.6918462122686645,0.3251141391685919,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.15_it25,PGD,0.6826666666666666,0.32729882952666334,,,0.15,0.0,0.7291035532780076,0.32373274151956655,0.31894782817565503,0.32219715567010876,0.3140959632853802,0.3563150204469062,25.0,0.0,200.0,0.0,50.0,0.0,0.7995055181136361,0.30299650298983244,0.681052171824345,0.32219715567010876,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.3_it10,PGD,0.5640000000000001,0.3127196371009845,,,0.3,0.0,0.6305078851039727,0.3190244969846226,0.4214136584292717,0.31414569147137217,0.4799951775861952,0.3211271474255248,10.0,0.0,200.0,0.0,50.0,0.0,0.707293003107013,0.31368886442613847,0.5785863415707283,0.3141456914713722,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.3_it25,PGD,0.5573333333333333,0.3177929844291421,,,0.3,0.0,0.6229534130891285,0.3216643427295278,0.4258314512955772,0.3239869332326663,0.4960505883195006,0.31539367565460114,25.0,0.0,200.0,0.0,50.0,0.0,0.6993788180930917,0.3107396225895789,0.5741685487044227,0.32398693323266636,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.5_it10,PGD,0.49366666666666664,0.3002110368835008,,,0.5,0.0,0.5799796293857488,0.3075527016722815,0.46051006791668203,0.31137025012899194,0.656134360470591,0.31399381878600763,10.0,0.0,200.0,0.0,50.0,0.0,0.6434655226069632,0.29250674419406003,0.539489932083318,0.3113702501289919,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.5_it25,PGD,0.497,0.30998156627220824,,,0.5,0.0,0.5793868550043361,0.313629814271205,0.4625022562742498,0.31858292427554047,0.6333441906799016,0.31030552626049557,25.0,0.0,200.0,0.0,50.0,0.0,0.6451937296596719,0.2965993888929,0.5374977437257501,0.31858292427554047,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.75_it10,PGD,0.44966666666666666,0.290285983783152,,,0.75,0.0,0.5490252933674246,0.29734200617599066,0.49190123668290203,0.2959243431478366,0.7405041958112081,0.32257299479717083,10.0,0.0,200.0,0.0,50.0,0.0,0.609678302271419,0.28383612690486815,0.5080987633170979,0.29592434314783667,0.2833333333333333,0.1707825127659933,,
SVM,PGD_eps0.75_it25,PGD,0.452,0.2899864528855492,,,0.75,0.0,0.545873423247892,0.2969937579716876,0.4993618110007541,0.29778159822606964,0.7041937250299758,0.31039254046665504,25.0,0.0,200.0,0.0,50.0,0.0,0.6160458288712719,0.2831890421447278,0.5006381889992458,0.29778159822606964,0.2833333333333333,0.1707825127659933,,
