model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,185,1.0,0.075,0.5445317625999451,227.0,0,0,1.1777968406677246
LR,10,200,2000,200,185,1.0,0.075,0.4794009029865265,556.0,0,0,2.0343892574310303
LR,20,500,10000,200,185,1.0,0.075,0.44601112604141235,1436.0,0,0,3.869028329849243
LR,40,1000,40000,200,185,1.0,0.075,0.4231288433074951,3823.0,0,0,7.641712188720703
SVM,5,100,500,200,186,1.0,0.07,0.5872137546539307,228.0,0,0,1.2103395462036133
SVM,10,200,2000,200,186,1.0,0.07,0.5146471858024597,557.0,0,0,2.066523313522339
SVM,20,500,10000,200,186,1.0,0.07,0.4781649112701416,1437.0,0,0,3.919271230697632
SVM,40,1000,40000,200,186,1.0,0.07,0.4543472230434418,3824.0,0,0,6.946682453155518
RF,5,100,500,200,199,0.9949748743718593,0.01,0.7173876762390137,230.0,0,0,26.97995924949646
RF,10,200,2000,200,199,0.9949748743718593,0.01,0.42694413661956787,563.0,0,0,63.48262619972229
RF,20,500,10000,200,199,0.9949748743718593,0.01,0.20160068571567535,1451.0,0,0,98.03740620613098
RF,40,1000,40000,200,199,0.9949748743718593,0.01,0.10628116875886917,3849.5,0,0,210.24485301971436
