accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.8772299746499562,0.9263068235591028,0.9116396038374367,0.9189146898666833,0.2336,0.08836039616256326,MLP,FGSM,0.3,FGSM_eps0.15,80.90899682044983,FGSM,0.15,1,,
0.814802530266057,0.8568794990343536,0.9091558260113632,0.8822439479987346,0.4891,0.09084417398863671,MLP,FGSM,0.3,FGSM_eps0.3,80.90899682044983,FGSM,0.3,1,,
0.7801890592053827,0.8240397931209903,0.9052438759352975,0.862735234939046,0.6226,0.09475612406470241,MLP,FGSM,0.3,FGSM_eps0.5,80.90899682044983,FGSM,0.5,1,,
0.7677746452178446,0.8169037988289537,0.8966437952125182,0.854918445279891,0.6473,0.10335620478748175,MLP,FGSM,0.3,FGSM_eps0.75,80.90899682044983,FGSM,0.75,1,,
0.8601009263427232,0.9358141692623766,0.8768046198267565,0.905348870758331,0.1937,0.12319538017324351,MLP,FGSM,0.3,PGD_eps0.15_it10,80.90899682044983,PGD,0.15,10,,
0.8517851643014523,0.9311272799760789,0.870129466919184,0.8995955575528022,0.2073,0.12987053308081592,MLP,FGSM,0.3,PGD_eps0.15_it25,80.90899682044983,PGD,0.15,25,,
0.8245871733516549,0.8911843557798454,0.8772392809463193,0.8841568357480364,0.345,0.12276071905368065,MLP,FGSM,0.3,PGD_eps0.3_it10,80.90899682044983,PGD,0.3,10,,
0.8420715961050961,0.9004232638344568,0.8916451923375454,0.8960127293148633,0.3176,0.10835480766245459,MLP,FGSM,0.3,PGD_eps0.3_it25,80.90899682044983,PGD,0.3,25,,
0.6925063375109574,0.8740371897611453,0.6975690024527306,0.7758957092290426,0.3238,0.3024309975472694,MLP,FGSM,0.3,PGD_eps0.5_it10,80.90899682044983,PGD,0.5,10,,
0.6672747518301784,0.8694926976119768,0.6635722934583501,0.7527029406585667,0.3208,0.33642770654164983,MLP,FGSM,0.3,PGD_eps0.5_it25,80.90899682044983,PGD,0.5,25,,
