model,n_samples,total_s,per_sample_ms
LR,500,7.700920104980469e-05,0.00015401840209960938
SVM,500,6.29425048828125e-05,0.000125885009765625
RF,500,0.004231929779052734,0.008463859558105469
MLP,500,0.006190061569213867,0.012380123138427734
