accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence,seed
0.5864845017814565,0.5518789675079073,0.4960141542253941,0.5224574407940197,0.3376666666666666,0.5039858457746059,LR,FGSM_eps0.15,0.3411149288777277,FGSM,0.15,1,,42
0.4214209948958777,0.3190629183400267,0.2369043595809395,0.2719131119299967,0.4238833333333333,0.7630956404190605,SVM,FGSM_eps0.15,0.5024432699019973,FGSM,0.15,1,,42
0.5433759734549377,0.4215686274509804,0.0034192791682404,0.0067835380883831,0.0039333333333333,0.9965807208317596,RF,FGSM_eps0.15,0.4564427078139307,FGSM,0.15,1,,42
0.4245396770713398,0.0515456897725725,0.0150488042462676,0.0232962501346381,0.23215,0.9849511957537324,MLP,FGSM_eps0.15,0.5749344986083788,FGSM,0.15,1,,42
0.3394921262341006,0.0689246530830689,0.0358427926763811,0.0471606811226491,0.4059333333333333,0.9641572073236188,LR,FGSM_eps0.3,0.5883883484583375,FGSM,0.3,1,,42
0.0446769353508064,0.0220937901350272,0.025306641750989,0.0235913306956014,0.9390833333333334,0.974693358249011,SVM,FGSM_eps0.3,0.8792235931932948,FGSM,0.3,1,,42
0.5307652557047405,0.0924369747899159,0.003280122457905,0.0063354323452618,0.027,0.9967198775420948,RF,FGSM_eps0.3,0.4690624915006844,FGSM,0.3,1,,42
0.2791492525135309,0.0205508683234299,0.0124445858099914,0.015501956317171,0.49725,0.9875554141900086,MLP,FGSM_eps0.3,0.720361186912414,FGSM,0.3,1,,42
0.0950382129225859,0.026252846290733,0.027274715225732,0.0267540267540267,0.84815,0.972725284774268,LR,FGSM_eps0.5,0.8328785255160784,FGSM,0.5,1,,42
0.0161645648803749,0.0182705833678113,0.0219470011728922,0.0199407557257423,0.9886833333333334,0.9780529988271076,SVM,FGSM_eps0.5,0.9083977770323564,FGSM,0.5,1,,42
0.538752345811084,0.167824074074074,0.0028825318569469,0.0056677155197686,0.0119833333333333,0.9971174681430532,RF,FGSM_eps0.5,0.4610844673308976,FGSM,0.5,1,,42
0.1835126877782109,0.0147439339940438,0.0120072361489374,0.0132356002585762,0.6727,0.9879927638510626,MLP,FGSM_eps0.5,0.815870828535942,FGSM,0.5,1,,42
0.0418120993989284,0.0180634832242795,0.0206349521897302,0.0192637820483079,0.9404333333333332,0.9793650478102698,LR,FGSM_eps0.75,0.8863675511998768,FGSM,0.75,1,,42
0.0106978051367596,0.0129020504157143,0.0154861539073216,0.0140764900931505,0.9933166666666666,0.9845138460926784,SVM,FGSM_eps0.75,0.9139279983318676,FGSM,0.75,1,,42
0.5421339401466868,0.2635294117647059,0.0022265073653658,0.0044157073016874,0.0052166666666666,0.997773492634634,RF,FGSM_eps0.75,0.4576756751856251,FGSM,0.75,1,,42
0.2708992502470467,0.0357880459911839,0.0230801343856231,0.0280624577008604,0.5213333333333333,0.9769198656143768,MLP,FGSM_eps0.75,0.728484266067106,FGSM,0.75,1,,42
0.6736262839632648,0.6230238599026338,0.7199769397451444,0.6680008115535717,0.3652333333333333,0.2800230602548555,LR,PGD_eps0.15_it10,0.2528943002456869,PGD,0.15,10,,42
0.415664125182452,0.2864,0.188597101564519,0.2274296399290406,0.3939666666666667,0.811402898435481,SVM,PGD_eps0.15_it10,0.5082092055519796,PGD,0.15,10,,42
0.5448174573674334,0.640117994100295,0.0043138580203963,0.0085699616918763,0.0020333333333333,0.9956861419796036,RF,PGD_eps0.15_it10,0.4550012239014351,PGD,0.15,10,,42
0.4144855534300971,0.0457408232075831,0.014293382104447,0.0217806185816848,0.25,0.9857066178955528,MLP,PGD_eps0.15_it10,0.5850067541227346,PGD,0.15,10,,42
0.6206268188535217,0.5812657352065036,0.6012563862990279,0.5910920888055035,0.3631333333333333,0.3987436137009721,LR,PGD_eps0.15_it25,0.3059028312919866,PGD,0.15,25,,42
0.4263709962557682,0.3125505838825297,0.2149573584080472,0.2547262040777865,0.3963833333333333,0.7850426415919528,SVM,PGD_eps0.15_it25,0.4975114004152199,PGD,0.15,25,,42
0.5448355892405465,0.6750902527075813,0.0037174721189591,0.0073942269671807,0.0015,0.9962825278810408,RF,PGD_eps0.15_it25,0.454983092028322,PGD,0.15,25,,42
0.414893520575143,0.0457562220804084,0.0142536230443512,0.0217361647946887,0.2492166666666666,0.9857463769556488,MLP,PGD_eps0.15_it25,0.584571589168019,PGD,0.15,25,,42
0.4017116488218815,0.2963184131270121,0.226885076436793,0.2569945619743523,0.4517166666666666,0.773114923563207,LR,PGD_eps0.3_it10,0.5252441003417858,PGD,0.3,10,,42
0.108591788074667,0.0262420583244544,0.0264397749637198,0.0263405456255879,0.8225333333333333,0.97356022503628,SVM,PGD_eps0.3_it10,0.8156804438682538,PGD,0.3,10,,42
0.5191517909757668,0.4078539673986259,0.120370554440093,0.1858815944987643,0.1465166666666666,0.879629445559907,RF,PGD_eps0.3_it10,0.4806850221662149,PGD,0.3,10,,42
0.1323626737260092,0.013668694832462,0.0126831401705663,0.0131574877035234,0.7673,0.9873168598294336,MLP,PGD_eps0.3_it10,0.8672746888117276,PGD,0.3,10,,42
0.3600627362809715,0.2609033900702532,0.2200067590402163,0.238716148445336,0.5225166666666666,0.7799932409597837,LR,PGD_eps0.3_it25,0.5665666391666591,PGD,0.3,25,,42
0.1122090967607408,0.0263937784672912,0.0263801363735761,0.0263869556571883,0.8158333333333333,0.9736198636264238,SVM,PGD_eps0.3_it25,0.8120722011187366,PGD,0.3,25,,42
0.4347479216340444,0.0125445127873098,0.0030813271574259,0.0049474137793453,0.20335,0.996918672842574,RF,PGD_eps0.3_it25,0.5650888915079372,PGD,0.3,25,,42
0.1139225587699337,0.0130979265037979,0.0126831401705663,0.0128871966307454,0.8012,0.9873168598294336,MLP,PGD_eps0.3_it25,0.8857148037678032,PGD,0.3,25,,42
