model,eval_attack,family,accuracy_mean,accuracy_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,n_mean,n_std,n0_mean,n0_std,precision_mean,precision_std,recall_mean,recall_std,sigma_mean,sigma_std,smooth_s_per_sample_mean,smooth_s_per_sample_std
LR,CW_c0.0_it10,CW,0.5243333333333333,0.2398650414196243,0.0,0.0,,,0.5589732520998674,0.19410584465787278,0.3603603649223917,0.18702931395843386,0.5677515763020065,0.2893655081159279,10.0,0.0,200.0,0.0,50.0,0.0,0.501417471926583,0.1958612371615309,0.6396396350776083,0.18702931395843395,0.2833333333333333,0.1707825127659933,,
LR,CW_c0.5_it10,CW,0.5166666666666667,0.24231522169823885,0.5,0.0,,,0.5530008707944719,0.1957696623584563,0.36649373097005383,0.18750535952453734,0.5765151916625068,0.2931592483832054,10.0,0.0,200.0,0.0,50.0,0.0,0.4956431158723357,0.19827960501413763,0.6335062690299461,0.18750535952453742,0.2833333333333333,0.1707825127659933,,
LR,Clean,,0.9323333333333333,0.03337378497877521,,,,,0.9222553774998818,0.04050464411383314,0.0954644998138865,0.046280782503807946,0.04520586731349659,0.026713267315740852,,,200.0,0.0,50.0,0.0,0.9410182140879819,0.03723903967051338,0.9045355001861135,0.04628078250380796,0.2833333333333333,0.1707825127659933,0.00016447353363032,1.5035077222639556e-05
LR,FGSM_eps0.15,FGSM,0.39166666666666666,0.2666302058407236,,,0.15,0.0,0.32136301115485827,0.2820447213454558,0.6802205352067424,0.2962857237001816,0.5468806183893975,0.2653014047733855,1.0,0.0,200.0,0.0,50.0,0.0,0.33014620798903754,0.2778660968354899,0.31977946479325764,0.2962857237001816,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.3,FGSM,0.21433333333333332,0.20366171765477978,,,0.3,0.0,0.13774795848921917,0.20490886655000506,0.8497988778124032,0.23070558501469243,0.7213260212814806,0.23228592903146497,1.0,0.0,200.0,0.0,50.0,0.0,0.13056208892038107,0.18338435961390687,0.15020112218759685,0.23070558501469238,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.5,FGSM,0.12000000000000001,0.14522150568798586,,,0.5,0.0,0.08488790416910491,0.1597097860696305,0.898045145319135,0.19343913196232665,0.8613903116732126,0.1133014864748643,1.0,0.0,200.0,0.0,50.0,0.0,0.07279444255621166,0.13600588281278797,0.10195485468086489,0.19343913196232665,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.75,FGSM,0.051333333333333335,0.03130875429074264,,,0.75,0.0,0.03376851560243179,0.054355396067108847,0.9582077469451513,0.06934725705241263,0.9382988295124478,0.025489685229397274,1.0,0.0,200.0,0.0,50.0,0.0,0.028430270966809966,0.04464197729974216,0.04179225305484865,0.06934725705241263,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it10,PGD,0.42433333333333334,0.27793798554627935,,,0.15,0.0,0.3849265994470182,0.3045653699685548,0.5865362977071075,0.3388297568543441,0.5664327342913381,0.2387500291018594,10.0,0.0,200.0,0.0,50.0,0.0,0.36404016072006534,0.28239134087035456,0.41346370229289253,0.338829756854344,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it25,PGD,0.427,0.23612799192689668,,,0.15,0.0,0.3624076019417003,0.28160111512601976,0.6237781022456286,0.29964394947990824,0.5313963614443029,0.1921134796574561,25.0,0.0,200.0,0.0,50.0,0.0,0.3527742356032971,0.2715316536697788,0.37622189775437137,0.29964394947990824,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.3_it10,PGD,0.19566666666666668,0.19138467869214412,,,0.3,0.0,0.1625249009551348,0.1571287422350578,0.8342270453509187,0.1634435617027413,0.7735770979932308,0.23564023968588899,10.0,0.0,200.0,0.0,50.0,0.0,0.16606787885304763,0.16199705678387732,0.1657729546490812,0.1634435617027413,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.3_it25,PGD,0.19466666666666665,0.17629588224129936,,,0.3,0.0,0.16691816401170462,0.1464446204877346,0.8253578657500319,0.15675758149375138,0.7811809935055659,0.22741649813810486,25.0,0.0,200.0,0.0,50.0,0.0,0.1686774035566295,0.15281038117168697,0.17464213424996813,0.15675758149375144,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.5_it10,PGD,0.11566666666666665,0.08690854525358965,,,0.5,0.0,0.09739218873935655,0.11421681413285496,0.8783476374437915,0.14435908971982633,0.8781296185404219,0.141309266339313,10.0,0.0,200.0,0.0,50.0,0.0,0.08152945841666671,0.09424983926082342,0.12165236255620847,0.14435908971982636,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.5_it25,PGD,0.11633333333333334,0.09274517058406151,,,0.5,0.0,0.08495655423082524,0.09996337776972708,0.8961039359246933,0.12494972284624094,0.8612999419169309,0.16868535126809997,25.0,0.0,200.0,0.0,50.0,0.0,0.07253046855876474,0.08280603187978826,0.1038960640753066,0.12494972284624092,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.75_it10,PGD,0.082,0.05284073104285042,,,0.75,0.0,0.07593762466971209,0.08831564612212044,0.9030525363021358,0.11380036498082295,0.9195449580973807,0.12387750328366706,10.0,0.0,200.0,0.0,50.0,0.0,0.06252185873322072,0.07217395375849266,0.09694746369786418,0.11380036498082294,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.75_it25,PGD,0.08066666666666666,0.049492664199089244,,,0.75,0.0,0.07272555557514447,0.08395270083662983,0.9084664313501772,0.10672820253627158,0.918966672783294,0.10641125040860355,25.0,0.0,200.0,0.0,50.0,0.0,0.06040965092924532,0.06916976483536491,0.09153356864982279,0.10672820253627158,0.2833333333333333,0.1707825127659933,,
MLP,CW_c0.0_it10,CW,0.436,0.09214119599831551,0.0,0.0,,,0.260459099997317,0.0921818953301893,0.7687329120232159,0.1047912897689447,0.3973769488127644,0.19401226965008653,10.0,0.0,200.0,0.0,50.0,0.0,0.33847842441011866,0.1274530001723779,0.23126708797678405,0.10479128976894472,0.2833333333333333,0.1707825127659933,,
MLP,CW_c0.5_it10,CW,0.3496666666666667,0.13488707799312655,0.5,0.0,,,0.211752390638204,0.0932448815379968,0.8039947969499546,0.09750129417938327,0.5254941589821056,0.24350215820368856,10.0,0.0,200.0,0.0,50.0,0.0,0.2631033352193382,0.1478306043051292,0.19600520305004535,0.09750129417938329,0.2833333333333333,0.1707825127659933,,
MLP,Clean,,0.9209999999999999,0.09223804607024774,,,,,0.8899148942353803,0.14305186896504207,0.15721699302577627,0.20792842666791012,0.016101546633781685,0.03480314231972431,,,200.0,0.0,50.0,0.0,0.9788177505042138,0.04067780814294699,0.8427830069742238,0.20792842666791014,0.2833333333333333,0.1707825127659933,0.00232740012804662,0.00016762148106649804
MLP,FGSM_eps0.15,FGSM,0.3376666666666666,0.07532943521309456,,,0.15,0.0,0.03900725743854127,0.0407068337314768,0.965654162318396,0.03748340811125996,0.4068649219913139,0.17757445077829218,1.0,0.0,200.0,0.0,50.0,0.0,0.046697164052884155,0.04533456663860908,0.034345837681604006,0.037483408111259955,0.2833333333333333,0.1707825127659933,,
MLP,FGSM_eps0.3,FGSM,0.14933333333333335,0.07812230947748047,,,0.3,0.0,0.018411109533043455,0.019906476456783565,0.9802143988298521,0.022102288011448427,0.7336007179274467,0.17737880902897313,1.0,0.0,200.0,0.0,50.0,0.0,0.01732362664643816,0.018139730702826144,0.01978560117014798,0.02210228801144839,0.2833333333333333,0.1707825127659933,,
MLP,FGSM_eps0.5,FGSM,0.08933333333333333,0.053514573004084826,,,0.5,0.0,0.008506603941587188,0.004417093151552242,0.9907280721484033,0.004828248403741344,0.8396108115858598,0.11503349463662764,1.0,0.0,200.0,0.0,50.0,0.0,0.00789244082233204,0.00413227250124916,0.009271927851596619,0.0048282484037413045,0.2833333333333333,0.1707825127659933,,
