accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s,seed
0.7223556929548607,0.7167849116467633,0.6467208715185973,0.6799527636405438,0.2142333333333333,0.3532791284814027,MLP,FGSM,0.5,PGD_eps0.5_it25,132.57350492477417,PGD,0.5,25,,,42
0.6845960671967217,0.6561072312677361,0.6480726795618551,0.652065206520652,0.2847833333333333,0.3519273204381448,MLP,FGSM,0.5,PGD_eps0.75_it10,132.57350492477417,PGD,0.75,10,,,42
0.601397967417024,0.5666975451597962,0.5350973102995845,0.5504442694859971,0.3430166666666667,0.4649026897004155,MLP,FGSM,0.5,PGD_eps0.75_it25,132.57350492477417,PGD,0.75,25,,,42
0.9850049409354232,0.9797258652992802,0.9875554141900086,0.9836250594012356,0.0171333333333333,0.0124445858099914,MLP,FGSM,0.5,CW_c0.0_it10,132.57350492477417,CW,,10,0.0,,42
0.9838626329292948,0.9774288131924356,0.9874162574796732,0.9823971518987342,0.0191166666666666,0.0125837425203268,MLP,FGSM,0.5,CW_c0.5_it10,132.57350492477417,CW,,10,0.5,,42
0.995294778927137,0.9975016988447856,0.9921674651611236,0.9948274315556574,0.0020833333333333,0.0078325348388764,MLP,FGSM,0.5,Clean,132.57350492477417,Clean,0.0,0,,,42
0.9276447603419672,0.9717330242097284,0.8665487147883824,0.9161316085371108,0.0211333333333333,0.1334512852116176,LR,FGSM,0.5,Clean,,Clean,0.0,0,,0.5119235515594482,42
0.8365139660752654,0.8099665731740116,0.8381607458799674,0.8238225035903749,0.1648666666666666,0.1618392541200326,LR,FGSM,0.5,FGSM_eps0.15,,FGSM,0.15,1,,0.5119235515594482,42
0.7360361912187339,0.7141528695898276,0.7022841580025048,0.7081687882128896,0.2356666666666666,0.2977158419974952,LR,FGSM,0.5,FGSM_eps0.3,,FGSM,0.3,1,,0.5119235515594482,42
0.655086443705067,0.6327427878367842,0.5807804703496809,0.6056491318994558,0.2826166666666667,0.419219529650319,LR,FGSM,0.5,FGSM_eps0.5,,FGSM,0.5,1,,0.5119235515594482,42
0.528127068166777,0.478265199422397,0.3818857722203447,0.424675855818015,0.3492666666666666,0.6181142277796553,LR,FGSM,0.5,FGSM_eps0.75,,FGSM,0.75,1,,0.5119235515594482,42
0.8488345738556522,0.8259697962507028,0.8469872572212392,0.8363465049172605,0.1496166666666666,0.1530127427787607,LR,FGSM,0.5,PGD_eps0.15_it10,,PGD,0.15,10,,0.5119235515594482,42
0.8609375991586811,0.8513122462923516,0.8421565314195972,0.8467096387348224,0.1233166666666666,0.1578434685804027,LR,FGSM,0.5,PGD_eps0.15_it25,,PGD,0.15,25,,0.5119235515594482,42
0.8176114883548045,0.7728365601894535,0.8498697890781862,0.8095247112289339,0.2094333333333333,0.1501302109218138,LR,FGSM,0.5,PGD_eps0.3_it10,,PGD,0.3,10,,0.5119235515594482,42
0.8092164311034151,0.7617130896796007,0.8464505099099457,0.8018493060394343,0.222,0.1535494900900542,LR,FGSM,0.5,PGD_eps0.3_it25,,PGD,0.3,25,,0.5119235515594482,42
0.7962249440178417,0.7501078593514058,0.8295131503091266,0.7878147095751008,0.2316833333333333,0.1704868496908733,LR,FGSM,0.5,PGD_eps0.5_it10,,PGD,0.5,10,,0.5119235515594482,42
0.7964606583683127,0.7506208832739445,0.8291553187682643,0.7879360341554185,0.23095,0.1708446812317356,LR,FGSM,0.5,PGD_eps0.5_it25,,PGD,0.5,25,,0.5119235515594482,42
0.7826260391829778,0.7308812179891953,0.828360137566348,0.7765736383543773,0.2557166666666666,0.171639862433652,LR,FGSM,0.5,PGD_eps0.75_it10,,PGD,0.75,10,,0.5119235515594482,42
0.7326636628196875,0.7058486125121145,0.7094407888197523,0.7076401419761654,0.2478666666666666,0.2905592111802477,LR,FGSM,0.5,PGD_eps0.75_it25,,PGD,0.75,25,,0.5119235515594482,42
0.8971650816387587,0.9145915804707784,0.8542830447488221,0.8834092240643855,0.0668833333333333,0.1457169552511778,LR,FGSM,0.5,CW_c0.0_it10,,CW,,10,0.0,0.5119235515594482,42
0.8946447512760306,0.9100971120817608,0.8532691887163787,0.8807674549838403,0.0706666666666666,0.1467308112836212,LR,FGSM,0.5,CW_c0.5_it10,,CW,,10,0.5,0.5119235515594482,42
0.9252604190275876,0.9713971890340948,0.8614794346261654,0.9131424236677412,0.0212666666666666,0.1385205653738345,SVM,FGSM,0.5,Clean,,Clean,0.0,0,,2.6534132957458496,42
0.8462145181908017,0.8374084119337732,0.8224757966721666,0.8298749360639461,0.1338833333333333,0.1775242033278333,SVM,FGSM,0.5,FGSM_eps0.15,,FGSM,0.15,1,,2.6534132957458496,42
0.7304697061729962,0.7110181139352165,0.6890245114605491,0.6998485613326603,0.2347833333333333,0.3109754885394509,SVM,FGSM,0.5,FGSM_eps0.3,,FGSM,0.3,1,,2.6534132957458496,42
0.6426117150032185,0.6222421927656706,0.5505834642069062,0.5842236824064211,0.2802333333333333,0.4494165357930939,SVM,FGSM,0.5,FGSM_eps0.5,,FGSM,0.5,1,,2.6534132957458496,42
0.4910927173331641,0.4196189793498938,0.3025664473291851,0.351606717952272,0.35085,0.6974335526708149,SVM,FGSM,0.5,FGSM_eps0.75,,FGSM,0.75,1,,2.6534132957458496,42
0.8637480394912196,0.8656549322054982,0.8300498976204203,0.8474786120949491,0.108,0.1699501023795797,SVM,FGSM,0.5,PGD_eps0.15_it10,,PGD,0.15,10,,2.6534132957458496,42
0.8620527093551399,0.8649042161532542,0.8266306184521798,0.8453344175645456,0.10825,0.1733693815478202,SVM,FGSM,0.5,PGD_eps0.15_it25,,PGD,0.15,25,,2.6534132957458496,42
0.816487312221789,0.7875274988043998,0.8184004930123452,0.8026672385891712,0.1851166666666666,0.1815995069876548,SVM,FGSM,0.5,PGD_eps0.3_it10,,PGD,0.3,10,,2.6534132957458496,42
0.8182007742309819,0.7867516020172146,0.8249607379281554,0.8054032547622976,0.1874666666666666,0.1750392620718446,SVM,FGSM,0.5,PGD_eps0.3_it25,,PGD,0.3,25,,2.6534132957458496,42
0.8066235732482344,0.7664575937609212,0.8283800170963959,0.7962166809974205,0.2116166666666666,0.1716199829036041,SVM,FGSM,0.5,PGD_eps0.5_it10,,PGD,0.5,10,,2.6534132957458496,42
0.8063425292149805,0.7659132671811834,0.8285986919269228,0.7960237961097372,0.2123166666666666,0.1714013080730771,SVM,FGSM,0.5,PGD_eps0.5_it25,,PGD,0.5,25,,2.6534132957458496,42
0.7991713733987289,0.7553934643369078,0.8276245949545753,0.7898611216513622,0.2246833333333333,0.1723754050454247,SVM,FGSM,0.5,PGD_eps0.75_it10,,PGD,0.75,10,,2.6534132957458496,42
0.742382346808337,0.7213804543523558,0.7089040415084588,0.715087831876153,0.22955,0.2910959584915412,SVM,FGSM,0.5,PGD_eps0.75_it25,,PGD,0.75,25,,2.6534132957458496,42
0.9017705774094992,0.9307040900955956,0.8477227998330119,0.8872774939919477,0.0529166666666666,0.152277200166988,SVM,FGSM,0.5,CW_c0.0_it10,,CW,,10,0.0,2.6534132957458496,42
0.9040279956120868,0.935579390669211,0.847941474663539,0.889607274699147,0.04895,0.152058525336461,SVM,FGSM,0.5,CW_c0.5_it10,,CW,,10,0.5,2.6534132957458496,42
0.999809615332312,0.999900580609242,0.9996819275192336,0.9997912421094488,8.333333333333333e-05,0.0003180724807665,RF,FGSM,0.5,Clean,,Clean,0.0,0,,22.273268461227417,42
0.7165444276220955,0.9986902079949704,0.3789436017732541,0.5494163424124514,0.0004166666666666,0.621056398226746,RF,FGSM,0.5,FGSM_eps0.15,,FGSM,0.15,1,,22.273268461227417,42
0.705565578452082,0.9991040430059356,0.3546905751148043,0.5235251830225496,0.0002666666666666,0.6453094248851957,RF,FGSM,0.5,FGSM_eps0.3,,FGSM,0.3,1,,22.273268461227417,42
0.5109380524555089,0.1276073619631902,0.0124048267498956,0.022611563060533,0.0711,0.9875951732501044,RF,FGSM,0.5,FGSM_eps0.5,,FGSM,0.5,1,,22.273268461227417,42
0.5294144311578107,0.0969849246231155,0.0038367492992465,0.0073814850936071,0.02995,0.9961632507007534,RF,FGSM,0.5,FGSM_eps0.75,,FGSM,0.75,1,,22.273268461227417,42
0.7085664034523086,0.9989009177336924,0.361350217680854,0.5307153284671533,0.0003333333333333,0.6386497823191459,RF,FGSM,0.5,PGD_eps0.15_it10,,PGD,0.15,10,,22.273268461227417,42
0.7081856341169325,0.997856318364206,0.3608929884897521,0.5300747488904461,0.00065,0.6391070115102478,RF,FGSM,0.5,PGD_eps0.15_it25,,PGD,0.15,25,,22.273268461227417,42
0.7147312403107803,0.9704310474002298,0.3862393893008369,0.5525567373869518,0.0098666666666666,0.6137606106991631,RF,FGSM,0.5,PGD_eps0.3_it10,,PGD,0.3,10,,22.273268461227417,42
0.6621034785998567,0.9585503166783956,0.2707790787825775,0.4222714801667881,0.0098166666666666,0.7292209212174224,RF,FGSM,0.5,PGD_eps0.3_it25,,PGD,0.3,25,,22.273268461227417,42
0.520321296791565,0.2074074074074074,0.0183686857642685,0.0337484933708316,0.05885,0.9816313142357316,RF,FGSM,0.5,PGD_eps0.5_it10,,PGD,0.5,10,,22.273268461227417,42
0.5052809080442056,0.1114754098360655,0.0121662723893207,0.0219382359794239,0.0813,0.9878337276106792,RF,FGSM,0.5,PGD_eps0.5_it25,,PGD,0.5,25,,22.273268461227417,42
0.5109924480748483,0.0983208130799823,0.0088463908713198,0.0162322858341388,0.0680166666666666,0.9911536091286802,RF,FGSM,0.5,PGD_eps0.75_it10,,PGD,0.75,10,,22.273268461227417,42
0.4510756733724377,0.0367188206565976,0.0080710891994513,0.0132333767926988,0.1775166666666666,0.9919289108005488,RF,FGSM,0.5,PGD_eps0.75_it25,,PGD,0.75,25,,22.273268461227417,42
