model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
LR,PGD_eps0.5_it10,PGD,0.1271570129552233,0.09772677675134851,0.816315059427214,0.1261111705894932,,,0.5,0.0,0.12203776737136467,0.1362583702393556,0.8547164185038666,0.17162983050688557,0.8880399999999999,0.14151999691837813,10.0,0.0,0.10649169680617043,0.11334679561669876,0.14528358149613338,0.17162983050688566
LR,PGD_eps0.5_it25,PGD,0.11753080151945092,0.10090201831374111,0.8259811609838354,0.12588218807495768,,,0.5,0.0,0.09891966390392697,0.09866265151197084,0.8886984871677633,0.11544338480826538,0.8772466666666666,0.16444979536151588,25.0,0.0,0.09010680368408189,0.08590180530955509,0.11130151283223662,0.11544338480826549
LR,PGD_eps0.75_it10,PGD,0.0849170013508245,0.06329394063665321,0.8586294117113769,0.09024845242136426,,,0.75,0.0,0.09035115761356474,0.10036781399106351,0.8924040315686937,0.12454407106414564,0.9340966666666667,0.11200698539724105,10.0,0.0,0.07829577671426009,0.08373490250226819,0.10759596843130623,0.12454407106414558
LR,PGD_eps0.75_it25,PGD,0.08603392473459467,0.061986232601935934,0.8575832026327479,0.08937957536416384,,,0.75,0.0,0.08836695158871975,0.0967614887462955,0.8956125877184263,0.11906199403265016,0.9293533333333333,0.1092792983851725,25.0,0.0,0.07701677830000633,0.08124732385740704,0.10438741228157364,0.11906199403265025
MLP,CW_c0.0_it10,CW,0.008413189124502481,0.002177797609124172,0.9914762064495072,0.0022677022736705913,0.0,0.0,,,0.00891236969740708,0.00587713114671272,0.9902033675923901,0.00651779429063896,0.9927466666666666,0.0022220298527848175,10.0,0.0,0.00817475622117904,0.005350734527588482,0.00979663240760984,0.006517794290638934
MLP,CW_c0.5_it10,CW,0.004395166042628,0.0013451448750881542,0.995501482280627,0.0014485142512311194,0.5,0.0,,,0.00499416504858974,0.0036005129606130407,0.9945132497067769,0.003975806610689216,0.99652,0.0018412480670579165,10.0,0.0,0.00458279659121746,0.003289895774957483,0.005486750293223019,0.003975806610689212
MLP,FGSM_eps0.15,FGSM,0.3013118410197365,0.07002274972670554,0.6983164555814438,0.07013976424894691,,,0.15,0.0,0.039836636038408535,0.02271010184027413,0.9671550404548436,0.020994263348015414,0.47361000000000003,0.13881426319606596,1.0,0.0,0.0533051668399005,0.02346812114222429,0.03284495954515632,0.020994263348015324
MLP,FGSM_eps0.3,FGSM,0.1599122417341323,0.07197506795941176,0.8397160548670481,0.07203905838024809,,,0.3,0.0,0.03061739071507768,0.018881354863441804,0.9697274516430433,0.02070046405156816,0.7314,0.14537619207498256,1.0,0.0,0.03144486487514194,0.0167705710354819,0.0302725483569568,0.020700464051568203
MLP,FGSM_eps0.5,FGSM,0.11715003218407474,0.05745311283606051,0.8825000226648413,0.05757876215661862,,,0.5,0.0,0.0195302637376944,0.008967746241678025,0.9802596266624256,0.010392393917905156,0.8011833333333334,0.11325813252624879,1.0,0.0,0.01949423164024032,0.007667416143738877,0.01974037333757424,0.01039239391790511
MLP,FGSM_eps0.75,FGSM,0.12454602322692943,0.09264447440374084,0.8751656799905714,0.09278467574376588,,,0.75,0.0,0.0228988184298773,0.010980932737059454,0.9773134803093255,0.011886474559892123,0.7900566666666667,0.17399153140311172,1.0,0.0,0.023807765631478302,0.01160519973462225,0.02268651969067446,0.011886474559892137
MLP,PGD_eps0.15_it10,PGD,0.2478645186440985,0.12197807563957958,0.751879821945006,0.12221124535700732,,,0.15,0.0,0.036639361225215175,0.019626241629429827,0.9674333538755144,0.021162445564004272,0.5716333333333333,0.2343228853171054,10.0,0.0,0.04592585507973522,0.018308230354882007,0.03256664612448556,0.021162445564004317
MLP,PGD_eps0.15_it25,PGD,0.25423605885606004,0.11751485777459407,0.7454720179868181,0.11778609192001098,,,0.15,0.0,0.037548398507012,0.020454931623484215,0.9668926306582113,0.02171779564231032,0.5603733333333334,0.22608101933942967,25.0,0.0,0.04730602781888814,0.01901184575040876,0.03310736934178872,0.021717795642310377
MLP,PGD_eps0.3_it10,PGD,0.05848073035184896,0.046871535376471374,0.9413542696028212,0.0469965565466738,,,0.3,0.0,0.01473807780083384,0.004429120220123224,0.984545653340755,0.004779024138654787,0.9054466666666666,0.0867451618887826,10.0,0.0,0.014132721024420761,0.004186862753895321,0.015454346659244939,0.004779024138654849
MLP,PGD_eps0.3_it25,PGD,0.0515906185688512,0.04014142339069169,0.948244381385819,0.040250644095604395,,,0.3,0.0,0.014517522577082961,0.004394808881475883,0.9846490268970042,0.004868829305207698,0.9180266666666667,0.07477921818407991,25.0,0.0,0.01380350885546042,0.004034689003188986,0.0153509731029958,0.0048688293052076646
MLP,PGD_eps0.5_it10,PGD,0.03694369146804708,0.036268731015565124,0.9628985612358685,0.0363371081463004,,,0.5,0.0,0.01350154124986196,0.004325387086035603,0.9854839671590163,0.0050181423252388955,0.9442533333333334,0.06856668732782051,10.0,0.0,0.01264610903986948,0.0038016308078994477,0.014516032840983578,0.005018142325238876
