accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.48,0.48,0.116504854368932,0.1875,0.134020618556701,0.883495145631068,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.42,0.0,0.0,0.0,0.134020618556701,1.0,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.545,1.0,0.116504854368932,0.208695652173913,0.0,0.883495145631068,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.475,0.375,0.029126213592233,0.054054054054054,0.0515463917525773,0.970873786407767,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.5,0.8,0.0388349514563106,0.074074074074074,0.0103092783505154,0.9611650485436892,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.515,0.875,0.0679611650485436,0.1261261261261261,0.0103092783505154,0.9320388349514565,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
1.0,1.0,1.0,1.0,0.0,0.0,MLP,0.1,Clean,0.0022811806201934,50,200,,,,,42
0.405,0.0,0.0,0.0,0.1649484536082474,1.0,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.255,0.0,0.0,0.0,0.4742268041237113,1.0,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.17,0.0,0.0,0.0,0.6494845360824743,1.0,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.235,0.0192307692307692,0.0097087378640776,0.0129032258064516,0.5257731958762887,0.9902912621359224,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
