model,n_samples_mean,n_samples_std,per_sample_ms_mean,per_sample_ms_std,total_s_mean,total_s_std
LR,500.0,0.0,0.0001893043518066,1.9550323486338415e-05,9.465217590329063e-05,9.775161743132717e-06
MLP,500.0,0.0,0.017992877960205038,0.0037863163103927892,0.00899643898010248,0.0018931581551964011
RF,500.0,0.0,0.00815763473510738,0.00015217285037004,0.00407881736755366,7.608642518502989e-05
SVM,500.0,0.0,0.00013370513916008002,2.710012862832959e-06,6.685256958007812e-05,1.3550064314253627e-06
