attack,epsilon,n_features_total,n_features_frozen,n_features_perturbable,adv_accuracy,asr
FGSM_constrained,0.15,25,8,17,0.19761029411764705,0.8014705882352942
PGD_constrained,0.15,25,8,17,0.18658088235294118,0.8125
FGSM_constrained,0.3,25,8,17,0.1479779411764706,0.8511029411764706
PGD_constrained,0.3,25,8,17,0.140625,0.8584558823529411
FGSM_constrained,0.5,25,8,17,0.13848039215686275,0.8612132352941176
PGD_constrained,0.5,25,8,17,0.13786764705882354,0.8618259803921569
FGSM_constrained,0.75,25,8,17,0.13786764705882354,0.8618259803921569
PGD_constrained,0.75,25,8,17,0.13786764705882354,0.8618259803921569
