accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.6531071572413466,0.843548324011421,0.6695954546865783,0.7465729714760454,0.4,0.3304045453134217,LR,as_submitted,PGD_eps0.75_it10,0.2788741737544126,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,
0.6170721883958398,0.7955717653993516,0.6704647769257039,0.7276801509611982,0.5549,0.329535223074296,LR,as_submitted,PGD_eps0.75_it25,0.31718353905565166,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,
0.9031012343339099,0.9690408673894912,0.9018286814244466,0.9342274540074618,0.0928,0.09817131857555342,LR,as_submitted,CW_c0.0_it10,0.0027008457911819753,{'max_iter': 500},CW,,10.0,0.0,,,,,,,
0.9031960008528986,0.9695461982836344,0.9014561147505356,0.9342621790333998,0.0912,0.09854388524946443,LR,as_submitted,CW_c0.5_it10,0.0030562202373901302,{'max_iter': 500},CW,,10.0,0.5,,,,,,,
0.07,0.061224489795918366,0.06,0.06060606060606061,0.92,0.94,LR,as_submitted,HopSkipJump_direct,1.0,{'max_iter': 500},,,,,100.0,93.0,0.6387931108474731,556.0,0.0,0.0,0.7388114929199219
0.905375630789642,0.9698584512905912,0.9040951286907386,0.9358228621011023,0.0905,0.09590487130926138,SVM,tuned,clean,0.0,"{'class_weight': None, 'C': 1.0}",,,,,,,,,,,
0.900755762988936,0.9674674674674675,0.9002142258374989,0.9326299876163978,0.0975,0.09978577416250116,SVM,tuned,FGSM_eps0.15,0.008528986708995712,"{'class_weight': None, 'C': 1.0}",FGSM,0.15,1.0,,,,,,,,
0.7835058873699922,0.9256170903590009,0.7788816790338104,0.8459333693013218,0.2016,0.22111832096618958,SVM,tuned,FGSM_eps0.3,0.1496126418536331,"{'class_weight': None, 'C': 1.0}",FGSM,0.3,1.0,,,,,,,,
0.7278068658343008,0.8642756680731364,0.7631407370610699,0.8105657141914954,0.386,0.23685926293893012,SVM,tuned,FGSM_eps0.5,0.20606979554123528,"{'class_weight': None, 'C': 1.0}",FGSM,0.5,1.0,,,,,,,,
0.7109621170840342,0.8549331251995601,0.7481759756589773,0.7979998675408968,0.4089,0.2518240243410227,SVM,tuned,FGSM_eps0.75,0.22412281740860954,"{'class_weight': None, 'C': 1.0}",FGSM,0.75,1.0,,,,,,,,
0.9041910493022816,0.9697141522964544,0.9026359092179205,0.9349734684032802,0.0908,0.09736409078207954,SVM,tuned,PGD_eps0.15_it10,0.0015399559335686703,"{'class_weight': None, 'C': 1.0}",PGD,0.15,10.0,,,,,,,,
0.9025800184794712,0.9697081146143302,0.9004626036201062,0.9338034064200392,0.0906,0.09953739637989382,SVM,tuned,PGD_eps0.15_it25,0.003364211424103864,"{'class_weight': None, 'C': 1.0}",PGD,0.15,25.0,,,,,,,,
0.7905186097751664,0.8716244155348453,0.8507870470986371,0.8610796882855707,0.4036,0.14921295290136297,SVM,tuned,PGD_eps0.3_it10,0.12921414864128503,"{'class_weight': None, 'C': 1.0}",PGD,0.3,10.0,,,,,,,,
0.8446776753772892,0.8789105196301439,0.9237169735167189,0.9007568876778687,0.4099,0.07628302648328107,SVM,tuned,PGD_eps0.3_it25,0.08021985832405411,"{'class_weight': None, 'C': 1.0}",PGD,0.3,25.0,,,,,,,,
0.7229737733658699,0.7972127252709046,0.8542643360551399,0.8247530836443205,0.6999,0.14573566394486012,SVM,tuned,PGD_eps0.5_it10,0.20914970740837263,"{'class_weight': None, 'C': 1.0}",PGD,0.5,10.0,,,,,,,,
0.7369281432869768,0.807428987618354,0.8604737806203235,0.8331078846905342,0.661,0.1395262193796765,SVM,tuned,PGD_eps0.5_it25,0.2091023241488782,"{'class_weight': None, 'C': 1.0}",PGD,0.5,25.0,,,,,,,,
0.6749034566087802,0.7760489771539495,0.8067931323543109,0.7911224769385332,0.7499,0.1932068676456891,SVM,tuned,PGD_eps0.75_it10,0.2597313369186666,"{'class_weight': None, 'C': 1.0}",PGD,0.75,10.0,,,,,,,,
0.5961050960695586,0.7436911306136882,0.7182464528547922,0.7307473624360351,0.7973,0.28175354714520784,SVM,tuned,PGD_eps0.75_it25,0.36288469283802033,"{'class_weight': None, 'C': 1.0}",PGD,0.75,25.0,,,,,,,,
0.9025089435902296,0.9695166789223879,0.900555745288584,0.9337647077760072,0.0912,0.09944425471141606,SVM,tuned,CW_c0.0_it10,0.002914070458906868,"{'class_weight': None, 'C': 1.0}",CW,,10.0,0.0,,,,,,,
0.9022720272927575,0.9695064865587802,0.9002452730603248,0.9335930582610236,0.0912,0.09975472693967524,SVM,tuned,CW_c0.5_it10,0.0031746783861261816,"{'class_weight': None, 'C': 1.0}",CW,,10.0,0.5,,,,,,,
0.07,0.061224489795918366,0.06,0.06060606060606061,0.92,0.94,SVM,tuned,HopSkipJump_direct,1.0,"{'class_weight': None, 'C': 1.0}",,,,,100.0,93.0,0.4234065115451813,557.0,0.0,0.0,0.7524292469024658
0.905375630789642,0.9698584512905912,0.9040951286907386,0.9358228621011023,0.0905,0.09590487130926138,SVM,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,
0.900755762988936,0.9674674674674675,0.9002142258374989,0.9326299876163978,0.0975,0.09978577416250116,SVM,as_submitted,FGSM_eps0.15,0.008528986708995712,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,
0.7835058873699922,0.9256170903590009,0.7788816790338104,0.8459333693013218,0.2016,0.22111832096618958,SVM,as_submitted,FGSM_eps0.3,0.1496126418536331,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,
0.7278068658343008,0.8642756680731364,0.7631407370610699,0.8105657141914954,0.386,0.23685926293893012,SVM,as_submitted,FGSM_eps0.5,0.20606979554123528,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,
0.7109621170840342,0.8549331251995601,0.7481759756589773,0.7979998675408968,0.4089,0.2518240243410227,SVM,as_submitted,FGSM_eps0.75,0.22412281740860954,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,
0.9041910493022816,0.9697141522964544,0.9026359092179205,0.9349734684032802,0.0908,0.09736409078207954,SVM,as_submitted,PGD_eps0.15_it10,0.0015399559335686703,{'max_iter': 500},PGD,0.15,10.0,,,,,,,,
0.9025800184794712,0.9697081146143302,0.9004626036201062,0.9338034064200392,0.0906,0.09953739637989382,SVM,as_submitted,PGD_eps0.15_it25,0.003364211424103864,{'max_iter': 500},PGD,0.15,25.0,,,,,,,,
0.7905186097751664,0.8716244155348453,0.8507870470986371,0.8610796882855707,0.4036,0.14921295290136297,SVM,as_submitted,PGD_eps0.3_it10,0.12921414864128503,{'max_iter': 500},PGD,0.3,10.0,,,,,,,,
0.8446776753772892,0.8789105196301439,0.9237169735167189,0.9007568876778687,0.4099,0.07628302648328107,SVM,as_submitted,PGD_eps0.3_it25,0.08021985832405411,{'max_iter': 500},PGD,0.3,25.0,,,,,,,,
0.7229737733658699,0.7972127252709046,0.8542643360551399,0.8247530836443205,0.6999,0.14573566394486012,SVM,as_submitted,PGD_eps0.5_it10,0.20914970740837263,{'max_iter': 500},PGD,0.5,10.0,,,,,,,,
0.7369281432869768,0.807428987618354,0.8604737806203235,0.8331078846905342,0.661,0.1395262193796765,SVM,as_submitted,PGD_eps0.5_it25,0.2091023241488782,{'max_iter': 500},PGD,0.5,25.0,,,,,,,,
0.6749034566087802,0.7760489771539495,0.8067931323543109,0.7911224769385332,0.7499,0.1932068676456891,SVM,as_submitted,PGD_eps0.75_it10,0.2597313369186666,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,
0.5961050960695586,0.7436911306136882,0.7182464528547922,0.7307473624360351,0.7973,0.28175354714520784,SVM,as_submitted,PGD_eps0.75_it25,0.36288469283802033,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,
0.9025089435902296,0.9695166789223879,0.900555745288584,0.9337647077760072,0.0912,0.09944425471141606,SVM,as_submitted,CW_c0.0_it10,0.002914070458906868,{'max_iter': 500},CW,,10.0,0.0,,,,,,,
0.9022720272927575,0.9695064865587802,0.9002452730603248,0.9335930582610236,0.0912,0.09975472693967524,SVM,as_submitted,CW_c0.5_it10,0.0031746783861261816,{'max_iter': 500},CW,,10.0,0.5,,,,,,,
0.07,0.061224489795918366,0.06,0.06060606060606061,0.92,0.94,SVM,as_submitted,HopSkipJump_direct,1.0,{'max_iter': 500},,,,,100.0,93.0,0.4234065115451813,557.0,0.0,0.0,0.7360355854034424
0.9987917268828923,0.9993168126203341,0.9990996305380484,0.999208209777833,0.0022,0.0009003694619516285,RF,tuned,clean,0.0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",,,,,,,,,,,
0.18365751380037432,0.35104691227140206,0.08224409326585737,0.13326625581687837,0.4897,0.9177559067341426,RF,tuned,FGSM_eps0.15,0.8156791205667038,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",FGSM,0.15,1.0,,,,,,,,
0.239380226965813,0.505100039231071,0.15989319755347883,0.24289588491923123,0.5046,0.8401068024465211,RF,tuned,FGSM_eps0.3,0.7599564074012651,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",FGSM,0.3,1.0,,,,,,,,
0.26070269373830224,0.5459875412238915,0.1850414480424726,0.2764057971014493,0.4956,0.8149585519575274,RF,tuned,FGSM_eps0.5,0.7386102489990286,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",FGSM,0.5,1.0,,,,,,,,
0.277120993153119,0.5653949903660886,0.22776242665093607,0.3247167138810198,0.5639,0.772237573349064,RF,tuned,FGSM_eps0.75,0.7222156412139591,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",FGSM,0.75,1.0,,,,,,,,
0.39418133573408515,0.7480568011958146,0.31075165326461546,0.43909715062844107,0.3371,0.6892483467353845,RF,tuned,PGD_eps0.15_it10,0.6050842237437514,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.15,10.0,,,,,,,,
0.3421308251794641,0.6883855094595741,0.2519171660095004,0.3688517137921629,0.3673,0.7480828339904996,RF,tuned,PGD_eps0.15_it25,0.6572768840768557,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.15,25.0,,,,,,,,
0.37191120377170744,0.7332569182904863,0.2780589276289236,0.40321455102086756,0.3258,0.7219410723710764,RF,tuned,PGD_eps0.3_it10,0.6273306640763818,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.3,10.0,,,,,,,,
0.2403042005259542,0.5089700163091205,0.1259585830047502,0.2019412643106023,0.3914,0.8740414169952497,RF,tuned,PGD_eps0.3_it25,0.7589613589518823,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.3,25.0,,,,,,,,
0.27972707242531214,0.621650733809075,0.14334502778726443,0.2329700272479564,0.281,0.8566549722127356,RF,tuned,PGD_eps0.5_it10,0.7195147954227772,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.5,10.0,,,,,,,,
0.2580729228363619,0.5798604900733322,0.10065509640162687,0.17153439153439154,0.2349,0.8993449035983732,RF,tuned,PGD_eps0.5_it25,0.7411926366414746,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.5,25.0,,,,,,,,
0.2697765879314838,0.6050916805576603,0.12397156074389146,0.20578231292517007,0.2606,0.8760284392561085,RF,tuned,PGD_eps0.75_it10,0.7295126631760999,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.75,10.0,,,,,,,,
0.2400672842284821,0.5106861642294713,0.09866807414076811,0.16538301415487094,0.3045,0.9013319258592319,RF,tuned,PGD_eps0.75_it25,0.7591982752493543,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",PGD,0.75,25.0,,,,,,,,
0.22554431519344215,0.4456029011786038,0.061038840075755225,0.10737008820075913,0.2446,0.9389611599242448,RF,tuned,CW_c0.0_it10,0.7736501693951527,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",CW,,10.0,0.0,,,,,,,
0.22300931081049066,0.43508073435080735,0.06106988729858114,0.1071059079771304,0.2554,0.9389301127014189,RF,tuned,CW_c0.5_it10,0.7762325570375986,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",CW,,10.0,0.5,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,RF,tuned,HopSkipJump_direct,1.0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",,,,,100.0,100.0,0.5086573958396912,563.5,0.0,0.0,182.30099177360535
0.9987206519936507,0.9992237230243751,0.9990996305380484,0.9991616729282454,0.0025,0.0009003694619516285,RF,as_submitted,clean,0.0,{'n_estimators': 50},,,,,,,,,,,
0.24227060579497264,0.512736699729486,0.14123381663510198,0.22146491078600813,0.4323,0.858766183364898,RF,as_submitted,FGSM_eps0.15,0.7570660285721055,{'n_estimators': 50},FGSM,0.15,1.0,,,,,,,,
0.2801298301310147,0.593865788390284,0.17914247570554814,0.2752534287418008,0.3946,0.8208575242944519,RF,as_submitted,FGSM_eps0.3,0.7191594209765689,{'n_estimators': 50},FGSM,0.3,1.0,,,,,,,,
0.32173233196711604,0.6461224489795918,0.24573876866714273,0.35605839087698776,0.4335,0.7542612313328573,RF,as_submitted,FGSM_eps0.5,0.6775569191404677,{'n_estimators': 50},FGSM,0.5,1.0,,,,,,,,
0.352602525527731,0.689513312116743,0.27579248036263154,0.3939945001330613,0.4,0.7242075196373684,RF,as_submitted,FGSM_eps0.75,0.646734108839347,{'n_estimators': 50},FGSM,0.75,1.0,,,,,,,,
0.43275130896254355,0.7727332717434341,0.3635629792915024,0.4944788125752169,0.3444,0.6364370207084976,RF,as_submitted,PGD_eps0.15_it10,0.5664905588855458,{'n_estimators': 50},PGD,0.15,10.0,,,,,,,,
0.3757729394205027,0.7510494303092606,0.27219100251482503,0.3995715783236862,0.2906,0.7278089974851749,RF,as_submitted,PGD_eps0.15_it25,0.6234689284275865,{'n_estimators': 50},PGD,0.15,25.0,,,,,,,,
0.460067758061077,0.8277998190297209,0.3692446210686454,0.5106922019924425,0.2474,0.6307553789313546,RF,as_submitted,PGD_eps0.3_it10,0.5392214930465067,{'n_estimators': 50},PGD,0.3,10.0,,,,,,,,
0.34393138904025206,0.7331956633970057,0.2204663292868453,0.33899842459540747,0.2584,0.7795336707131547,RF,as_submitted,PGD_eps0.3_it25,0.6552630955483427,{'n_estimators': 50},PGD,0.3,25.0,,,,,,,,
0.3827382785661826,0.7961127682093717,0.2568847216616474,0.38843246795925074,0.2119,0.7431152783383527,RF,as_submitted,PGD_eps0.5_it10,0.6164798976521595,{'n_estimators': 50},PGD,0.5,10.0,,,,,,,,
0.2734961738017958,0.6177547284929835,0.1257412524449688,0.20895137366180833,0.2506,0.8742587475550312,RF,as_submitted,PGD_eps0.5_it25,0.7257456940462934,{'n_estimators': 50},PGD,0.5,25.0,,,,,,,,
0.35383449027458597,0.7455957002090177,0.2325747461889534,0.35455319954562664,0.2556,0.7674252538110466,RF,as_submitted,PGD_eps0.75_it10,0.6454310692032504,{'n_estimators': 50},PGD,0.75,10.0,,,,,,,,
0.2918098035963894,0.6562795089707271,0.15104473904809215,0.24557064257230832,0.2548,0.8489552609519079,RF,as_submitted,PGD_eps0.75_it25,0.7073846809922054,{'n_estimators': 50},PGD,0.75,25.0,,,,,,,,
0.3269681821412495,0.7380087664370695,0.18296128411313609,0.2932278449519829,0.2092,0.8170387158868639,RF,as_submitted,CW_c0.0_it10,0.6721315359283565,{'n_estimators': 50},CW,,10.0,0.0,,,,,,,
0.30455590040038855,0.6655456337701496,0.17818001179794468,0.28110305642633227,0.2884,0.8218199882020554,RF,as_submitted,CW_c0.5_it10,0.6945912009287118,{'n_estimators': 50},CW,,10.0,0.5,,,,,,,
0.0,0.0,0.0,0.0,1.0,1.0,RF,as_submitted,HopSkipJump_direct,1.0,{'n_estimators': 50},,,,,100.0,100.0,0.5939180850982666,563.5,0.0,0.0,24.154648303985596
