accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.0601162253066553,0.0965757048907702,0.1269904379460469,0.1097142071997801,0.99595,0.8730095620539531,SVM,rf,25,FGSM_eps0.5,0.918751076579966,FGSM,0.5,1.0,
0.5384984995874998,0.210576923076923,0.0043536170804922,0.0085308610716163,0.0136833333333333,0.9956463829195078,RF,rf,25,FGSM_eps0.5,0.461311115744812,FGSM,0.5,1.0,
0.1160258560510593,0.0114676050507141,0.0110132596465419,0.0112358411162828,0.7959333333333334,0.988986740353458,MLP,rf,25,FGSM_eps0.5,0.883665902106017,FGSM,0.5,1.0,
0.0261461610291651,0.0098180569859251,0.0113710911874043,0.0105376601604598,0.9614666666666668,0.9886289088125956,LR,rf,25,FGSM_eps0.75,0.9521318549812788,FGSM,0.75,1.0,
0.0600708956238724,0.0965562072927374,0.126970558415999,0.1096942061467913,0.9960166666666668,0.873029441584001,SVM,rf,25,FGSM_eps0.75,0.9187964062627488,FGSM,0.75,1.0,
0.5399671813096651,0.2411764705882353,0.0040753036598214,0.0080151701757472,0.01075,0.9959246963401786,RF,rf,25,FGSM_eps0.75,0.4598514999592032,FGSM,0.75,1.0,
0.0994714558987516,0.0086587027980437,0.0085879569806969,0.0086231847896601,0.8243333333333334,0.991412043019303,MLP,rf,25,FGSM_eps0.75,0.900492280355022,FGSM,0.75,1.0,
0.1302956401911099,0.0283830156695745,0.0272945947557799,0.0278281666447095,0.78335,0.97270540524422,LR,rf,25,PGD_eps0.15_it10,0.8476741339764104,PGD,0.15,10.0,
0.0169261035511273,0.0174963895021663,0.0209530246704967,0.0190693298596034,0.98645,0.9790469753295032,SVM,rf,25,PGD_eps0.15_it10,0.961877736779598,PGD,0.15,10.0,
0.5589059227763524,0.9660825325042396,0.0339741168518776,0.0656398832385927,0.001,0.9660258831481224,RF,rf,25,PGD_eps0.15_it10,0.440912758492516,PGD,0.15,10.0,
0.1561607571870212,0.0156706447156864,0.0137566347931534,0.0146513942114289,0.72445,0.9862433652068464,MLP,rf,25,PGD_eps0.15_it10,0.8437757812570827,PGD,0.15,10.0,
0.1324623990281316,0.0288371706770195,0.0276126672365465,0.028211638062354,0.7796333333333333,0.9723873327634536,LR,rf,25,PGD_eps0.15_it25,0.8456252323146243,PGD,0.15,25.0,
0.0169895651070233,0.01708151939118,0.0204361568892511,0.0186088609313481,0.9859,0.9795638431107488,SVM,rf,25,PGD_eps0.15_it25,0.9618052092871454,PGD,0.15,25.0,
0.5554427350117404,0.979560938682816,0.0257241118819951,0.0501317216798388,0.00045,0.9742758881180048,RF,rf,25,PGD_eps0.15_it25,0.4443759462571281,PGD,0.15,25.0,
0.1563239440450395,0.0156550896032986,0.0137367552631055,0.0146333199212214,0.7241333333333333,0.9862632447368944,MLP,rf,25,PGD_eps0.15_it25,0.8436125943990644,PGD,0.15,25.0,
0.0203258297598433,0.0165723659981921,0.0196807347474305,0.0179932934088203,0.9791333333333332,0.9803192652525694,LR,rf,25,PGD_eps0.3_it10,0.9579159225043744,PGD,0.3,10.0,
0.0103351676744966,0.0112756982961905,0.0134982009025306,0.0122872576252476,0.9923166666666666,0.9865017990974694,SVM,rf,25,PGD_eps0.3_it10,0.968486804529342,PGD,0.3,10.0,
0.5399581153731087,0.4358452138492871,0.0297795360117686,0.0557499069594343,0.0323166666666666,0.9702204639882314,RF,rf,25,PGD_eps0.3_it10,0.4598605658957598,PGD,0.3,10.0,
0.0652022157148944,0.0117242399585768,0.0126036220503747,0.0121480374404813,0.8907,0.9873963779496252,MLP,rf,25,PGD_eps0.3_it10,0.934743388665766,PGD,0.3,10.0,
0.0188480821011214,0.0145823905063609,0.0172951911416814,0.0158233603724855,0.97985,0.9827048088583186,LR,rf,25,PGD_eps0.3_it25,0.9593936701630962,PGD,0.3,25.0,
0.0113052228860502,0.0113120290120273,0.0135180804325785,0.012317055499203,0.99055,0.9864819195674214,SVM,rf,25,PGD_eps0.3_it25,0.9675167493177884,PGD,0.3,25.0,
0.5283083868979085,0.1636788776305534,0.008349402620122,0.0158883277535039,0.0357666666666666,0.991650597379878,RF,rf,25,PGD_eps0.3_it25,0.4715012284344034,PGD,0.3,25.0,
0.0654832597481482,0.0117309649366268,0.0126036220503747,0.0121516464139226,0.8901833333333333,0.9873963779496252,MLP,rf,25,PGD_eps0.3_it25,0.9344623446325122,PGD,0.3,25.0,
0.0144783006808518,0.0115254010471554,0.0136969962030097,0.0125177137458667,0.9848666666666668,0.9863030037969902,LR,rf,25,PGD_eps0.5_it10,0.9637725175199224,PGD,0.5,10.0,
