model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,197,1.0,0.015,0.2254217267036438,228.0,0,0,0.9307653903961182
LR,10,200,2000,200,197,1.0,0.015,0.19911418855190277,557.0,0,0,1.7124245166778564
LR,20,500,10000,200,197,1.0,0.015,0.18732517957687378,1437.0,0,0,3.273195505142212
LR,40,1000,40000,200,197,1.0,0.015,0.17976565659046173,3824.0,0,0,6.202298641204834
SVM,5,100,500,200,197,1.0,0.015,0.17857962846755981,227.0,0,0,1.8868200778961182
SVM,10,200,2000,200,197,1.0,0.015,0.15883558988571167,556.0,0,0,1.6296310424804688
SVM,20,500,10000,200,197,1.0,0.015,0.1489473581314087,1436.0,0,0,3.0065839290618896
SVM,40,1000,40000,200,197,1.0,0.015,0.14283324778079987,3823.0,0,0,7.138158559799194
RF,5,100,500,200,200,0.84,0.16,2.4516806602478027,232.0,0,0,26.36879324913025
RF,10,200,2000,200,200,0.84,0.16,1.5164066553115845,566.0,0,0,43.93238282203674
RF,20,500,10000,200,200,0.84,0.16,1.0584540367126465,1452.5,0,0,80.69082546234131
RF,40,1000,40000,200,200,0.84,0.16,0.7532846927642822,3850.0,0,0,151.79107642173767
