model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,140,1.0,0.3,0.38680198788642883,227.5,0,0,0.8222792148590088
LR,10,200,2000,200,140,1.0,0.3,0.3586266338825226,556.5,0,0,1.454921007156372
LR,20,500,10000,200,140,1.0,0.3,0.3405696451663971,1436.5,0,0,2.7257838249206543
LR,40,1000,40000,200,140,1.0,0.3,0.32903701066970825,3823.5,0,0,5.486959457397461
SVM,5,100,500,200,141,1.0,0.295,0.2464161068201065,228.0,0,0,0.8626806735992432
SVM,10,200,2000,200,141,1.0,0.295,0.2372148633003235,557.0,0,0,1.5311269760131836
SVM,20,500,10000,200,141,1.0,0.295,0.23294708132743835,1437.0,0,0,2.845889091491699
SVM,40,1000,40000,200,141,1.0,0.295,0.2294476181268692,3824.0,0,0,5.646131753921509
RF,5,100,500,200,154,0.8116883116883117,0.325,1.6348395347595215,231.0,0,0,24.810017347335815
RF,10,200,2000,200,154,0.8116883116883117,0.325,0.9120938777923584,562.0,0,0,42.06186532974243
RF,20,500,10000,200,154,0.8051948051948052,0.33,0.5916334390640259,1450.0,0,1,77.57288646697998
RF,40,1000,40000,200,154,0.8051948051948052,0.33,0.45153239369392395,3843.5,0,1,151.75764513015747
