attack,epsilon,n_features_total,n_features_frozen,n_features_perturbable,adv_accuracy,asr
FGSM_constrained,0.15,20,8,12,0.3400735294117647,0.6568627450980392
PGD_constrained,0.15,20,8,12,0.3293504901960784,0.6678921568627451
FGSM_constrained,0.3,20,8,12,0.15349264705882354,0.8455882352941176
PGD_constrained,0.3,20,8,12,0.14675245098039216,0.8526348039215687
FGSM_constrained,0.5,20,8,12,0.1253063725490196,0.8740808823529411
PGD_constrained,0.5,20,8,12,0.12377450980392157,0.8756127450980392
FGSM_constrained,0.75,20,8,12,0.12009803921568628,0.8795955882352942
PGD_constrained,0.75,20,8,12,0.11856617647058823,0.8811274509803921
