accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.945,0.9493670886075949,0.9146341463414634,0.9316770186335404,0.03389830508474576,0.08536585365853659,LR,0.1,Clean,0.0001531982421875,50,200,,,,
0.735,0.6494845360824743,0.7682926829268293,0.7039106145251397,0.288135593220339,0.23170731707317074,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.55,0.46153846153846156,0.5853658536585366,0.5161290322580645,0.4745762711864407,0.4146341463414634,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.395,0.3333333333333333,0.47560975609756095,0.39195979899497485,0.6610169491525424,0.524390243902439,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.095,0.104,0.15853658536585366,0.12560386473429952,0.9491525423728814,0.8414634146341463,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.72,0.6140350877192983,0.8536585365853658,0.7142857142857143,0.3728813559322034,0.14634146341463414,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.67,0.5769230769230769,0.7317073170731707,0.6451612903225806,0.3728813559322034,0.2682926829268293,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.455,0.36082474226804123,0.4268292682926829,0.39106145251396646,0.5254237288135594,0.573170731707317,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.41,0.330188679245283,0.4268292682926829,0.3723404255319149,0.6016949152542372,0.573170731707317,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.235,0.21138211382113822,0.3170731707317073,0.25365853658536586,0.8220338983050848,0.6829268292682927,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.23,0.20491803278688525,0.3048780487804878,0.24509803921568626,0.8220338983050848,0.6951219512195121,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.095,0.12781954887218044,0.2073170731707317,0.15813953488372093,0.9830508474576272,0.7926829268292683,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.12,0.13846153846153847,0.21951219512195122,0.16981132075471697,0.9491525423728814,0.7804878048780488,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.78,0.6759259259259259,0.8902439024390244,0.7684210526315789,0.2966101694915254,0.10975609756097561,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.78,0.6759259259259259,0.8902439024390244,0.7684210526315789,0.2966101694915254,0.10975609756097561,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.945,0.9493670886075949,0.9146341463414634,0.9316770186335404,0.03389830508474576,0.08536585365853659,SVM,0.1,Clean,0.00015233755111694337,50,200,,,,
0.605,0.5148514851485149,0.6341463414634146,0.5683060109289617,0.4152542372881356,0.36585365853658536,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.33,0.2636363636363636,0.35365853658536583,0.3020833333333333,0.6864406779661016,0.6463414634146342,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.04,0.04918032786885246,0.07317073170731707,0.058823529411764705,0.9830508474576272,0.926829268292683,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.015,0.01680672268907563,0.024390243902439025,0.01990049751243781,0.9915254237288136,0.975609756097561,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.58,0.49,0.5975609756097561,0.5384615384615384,0.4322033898305085,0.4024390243902439,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.585,0.49504950495049505,0.6097560975609756,0.546448087431694,0.4322033898305085,0.3902439024390244,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.215,0.168141592920354,0.23170731707317074,0.19487179487179487,0.7966101694915254,0.7682926829268293,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.185,0.1415929203539823,0.1951219512195122,0.1641025641025641,0.8220338983050848,0.8048780487804879,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.055,0.05042016806722689,0.07317073170731707,0.05970149253731343,0.9576271186440678,0.926829268292683,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.075,0.05217391304347826,0.07317073170731707,0.06091370558375635,0.923728813559322,0.926829268292683,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.015,0.01680672268907563,0.024390243902439025,0.01990049751243781,0.9915254237288136,0.975609756097561,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.035,0.04878048780487805,0.07317073170731707,0.05853658536585366,0.9915254237288136,0.926829268292683,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.775,0.6697247706422018,0.8902439024390244,0.7643979057591623,0.3050847457627119,0.10975609756097561,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.775,0.6697247706422018,0.8902439024390244,0.7643979057591623,0.3050847457627119,0.10975609756097561,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.615,1.0,0.06097560975609756,0.11494252873563218,0.0,0.9390243902439024,RF,0.1,Clean,0.005199295282363891,50,200,,,,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.565,0.0,0.0,0.0,0.0423728813559322,1.0,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.56,0.0,0.0,0.0,0.05084745762711865,1.0,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.595,0.6666666666666666,0.024390243902439025,0.047058823529411764,0.00847457627118644,0.975609756097561,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.595,0.6666666666666666,0.024390243902439025,0.047058823529411764,0.00847457627118644,0.975609756097561,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.585,0.0,0.0,0.0,0.00847457627118644,1.0,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.59,0.0,0.0,0.0,0.0,1.0,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.595,1.0,0.012195121951219513,0.024096385542168676,0.0,0.9878048780487805,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
1.0,1.0,1.0,1.0,0.0,0.0,MLP,0.1,Clean,0.0024538755416870115,50,200,,,,
0.25,0.0641025641025641,0.06097560975609756,0.0625,0.6186440677966102,0.9390243902439024,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.115,0.047619047619047616,0.06097560975609756,0.053475935828877004,0.847457627118644,0.9390243902439024,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.13,0.010638297872340425,0.012195121951219513,0.011363636363636364,0.788135593220339,0.9878048780487805,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.115,0.010309278350515464,0.012195121951219513,0.0111731843575419,0.8135593220338984,0.9878048780487805,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.19,0.05555555555555555,0.06097560975609756,0.05813953488372093,0.7203389830508474,0.9390243902439024,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
