accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled
0.9028169347769434,0.967375037413948,0.9031016175603092,0.934134044124731,0.0981,0.0968983824396907,LR,smote,True,15.0,clean,0.0,,,,,,,,
0.9044279655997536,0.9694737894491284,0.903194759228787,0.9351613732801852,0.0916,0.096805240771213,SVM,smote,True,15.0,clean,0.0,,,,,,,,
0.9986969603639034,0.999161698956781,0.9991306777608744,0.9991461881180432,0.0027,0.0008693222391257,RF,smote,True,15.0,clean,0.0,,,,,,,,
0.961240493733564,0.9967181153533712,0.9523425129622156,0.9740251492442524,0.0101,0.0476574870377844,MLP,smote,True,15.0,clean,0.0,,,,,,,,
0.575303845151508,0.7555006976494579,0.6556242044149151,0.7020279255319148,0.6834,0.3443757955850849,LR,smote,True,15.0,FGSM_eps0.15,0.3608945959392546,FGSM,0.15,1.0,,,,,
0.099812836124997,0.2231365419577074,0.0724021236300413,0.1093295827473042,0.8119,0.9275978763699588,SVM,smote,True,15.0,FGSM_eps0.15,0.841502996991163,FGSM,0.15,1.0,,,,,
0.1317491530242365,0.1332011237811932,0.02502406159769,0.0421327757449032,0.5245,0.97497593840231,RF,smote,True,15.0,FGSM_eps0.15,0.8678243976403137,FGSM,0.15,1.0,,,,,
0.0642990831339287,0.1629348630643967,0.0546741593964419,0.0818746077132296,0.9047,0.945325840603558,MLP,smote,True,15.0,FGSM_eps0.15,0.9356298419768296,FGSM,0.15,1.0,,,,,
0.1400649150655073,0.3227540756156781,0.1155577633580676,0.1701835806222994,0.781,0.8844422366419323,LR,smote,True,15.0,FGSM_eps0.3,0.7994977374493591,FGSM,0.3,1.0,,,,,
0.0524058850008292,0.1424899008446566,0.048185289825825,0.0720168905593837,0.934,0.951814710174175,SVM,smote,True,15.0,FGSM_eps0.3,0.8892890141912863,FGSM,0.3,1.0,,,,,
0.1438318841953137,0.1418413855970829,0.0241547393585643,0.0412797792752162,0.4707,0.9758452606414356,RF,smote,True,15.0,FGSM_eps0.3,0.855694283209742,FGSM,0.3,1.0,,,,,
0.1018029330237627,0.2765457252566413,0.1095656493526654,0.1569490771625528,0.9232,0.8904343506473346,MLP,smote,True,15.0,FGSM_eps0.3,0.8977943092705347,FGSM,0.3,1.0,,,,,
0.0859295410931317,0.1817001298571571,0.0564748983203452,0.0861676930364756,0.8192,0.9435251016796548,LR,smote,True,15.0,FGSM_eps0.5,0.8539884858679428,FGSM,0.5,1.0,,,,,
0.0524058850008292,0.1424899008446566,0.048185289825825,0.0720168905593837,0.934,0.951814710174175,SVM,smote,True,15.0,FGSM_eps0.5,0.8893127058210334,FGSM,0.5,1.0,,,,,
0.1696320689900258,0.2982954545454545,0.0651991679344282,0.1070090957731407,0.494,0.9348008320655716,RF,smote,True,15.0,FGSM_eps0.5,0.8299651733042716,FGSM,0.5,1.0,,,,,
0.1724276813001966,0.4139805334344583,0.2033593095097643,0.2727405217463721,0.9272,0.7966406904902357,MLP,smote,True,15.0,FGSM_eps0.5,0.8271221777346064,FGSM,0.5,1.0,,,,,
0.0584472505863678,0.1623487225459435,0.0562265205377379,0.0835255050272115,0.9344,0.943773479462262,LR,smote,True,15.0,FGSM_eps0.75,0.8815181596342012,FGSM,0.75,1.0,,,,,
0.0522163519628515,0.1421883605654488,0.0480921481573473,0.0718743474932139,0.9345,0.9519078518426528,SVM,smote,True,15.0,FGSM_eps0.75,0.8895022388590111,FGSM,0.75,1.0,,,,,
0.1789191878509322,0.3411627303399948,0.081623148809339,0.1317299260929475,0.5077,0.918376851190661,RF,smote,True,15.0,FGSM_eps0.75,0.8206780544433652,FGSM,0.75,1.0,,,,,
0.2016157691487597,0.4563357167975618,0.2417336769225992,0.3160479795417182,0.9276,0.7582663230774007,MLP,smote,True,15.0,FGSM_eps0.75,0.7979814731455377,FGSM,0.75,1.0,,,,,
0.5531284797081191,0.8132657372201099,0.5378931354590332,0.6475183136492749,0.3978,0.4621068645409668,LR,smote,True,15.0,PGD_eps0.15_it10,0.3766732213508967,PGD,0.15,10.0,,,,,
0.0751972328176455,0.1842153960029607,0.0618150206464031,0.0925680544900853,0.8817,0.9381849793535968,SVM,smote,True,15.0,PGD_eps0.15_it10,0.8662133668175034,PGD,0.15,10.0,,,,,
0.1860029851453481,0.3983539873238104,0.1307398553199416,0.1968676951846657,0.636,0.8692601446800584,RF,smote,True,15.0,PGD_eps0.15_it10,0.8135231822597077,PGD,0.15,10.0,,,,,
0.0558648629439219,0.1475092250922509,0.0496445092986432,0.0742874398940742,0.9241,0.9503554907013568,MLP,smote,True,15.0,PGD_eps0.15_it10,0.9440877537965836,PGD,0.15,10.0,,,,,
0.5089435902295719,0.7548610494539643,0.5279269769319135,0.6213209098383119,0.5522,0.4720730230680866,LR,smote,True,15.0,PGD_eps0.15_it25,0.4202895117155109,PGD,0.15,25.0,,,,,
0.0681845104124712,0.1639932062653331,0.0539600732714458,0.0812016726236363,0.886,0.946039926728554,SVM,smote,True,15.0,PGD_eps0.15_it25,0.8731313227036888,PGD,0.15,25.0,,,,,
0.1562699898125992,0.3072916666666667,0.084262162749542,0.1322579859165225,0.6118,0.915737837250458,RF,smote,True,15.0,PGD_eps0.15_it25,0.843303560851951,PGD,0.15,25.0,,,,,
0.0570968276907768,0.1499077490774907,0.0504517370921171,0.0754953657460103,0.9215,0.9495482629078827,MLP,smote,True,15.0,PGD_eps0.15_it25,0.9428557890497288,PGD,0.15,25.0,,,,,
0.0875405719159421,0.2223200916057429,0.0783631904126175,0.1158808135530967,0.8829,0.9216368095873824,LR,smote,True,15.0,PGD_eps0.3_it10,0.8519510057096827,PGD,0.3,10.0,,,,,
0.0541590656021227,0.1430025916327286,0.0479679592660436,0.0718387464254992,0.9259,0.9520320407339564,SVM,smote,True,15.0,PGD_eps0.3_it10,0.8873936838115094,PGD,0.3,10.0,,,,,
0.2076808263640455,0.4392118226600985,0.1384085193579434,0.2104865553955476,0.5692,0.8615914806420566,RF,smote,True,15.0,PGD_eps0.3_it10,0.7918453410410102,PGD,0.3,10.0,,,,,
0.0469331185292236,0.1390764245206589,0.0479679592660436,0.0713329331917447,0.9564,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.3_it10,0.9530431898410292,PGD,0.3,10.0,,,,,
0.1046933118529223,0.2693611042234895,0.1011828991896674,0.1471066173151575,0.884,0.8988171008103325,LR,smote,True,15.0,PGD_eps0.3_it25,0.8348219574024497,PGD,0.3,25.0,,,,,
0.0541353739723755,0.1429893567792688,0.0479679592660436,0.0718370763007393,0.926,0.9520320407339564,SVM,smote,True,15.0,PGD_eps0.3_it25,0.887464758700751,PGD,0.3,25.0,,,,,
0.1166102016157691,0.0839069157653228,0.0158961780868701,0.02672861580225,0.559,0.9841038219131298,RF,smote,True,15.0,PGD_eps0.3_it25,0.8829159657892867,PGD,0.3,25.0,,,,,
0.0469568101589708,0.1390889449045732,0.0479679592660436,0.0713345799570607,0.9563,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.3_it25,0.953019498211282,PGD,0.3,25.0,,,,,
0.0624274443838991,0.1477761836441893,0.0479679592660436,0.0724264016501031,0.891,0.9520320407339564,LR,smote,True,15.0,PGD_eps0.5_it10,0.8774668909474282,PGD,0.5,10.0,,,,,
0.0541590656021227,0.1431347150259067,0.0480300537116954,0.0719250528860683,0.9261,0.9519699462883046,SVM,smote,True,15.0,PGD_eps0.5_it10,0.8874884503304983,PGD,0.5,10.0,,,,,
0.1585443862683314,0.2624928202182653,0.0567543233257785,0.0933295892579072,0.5136,0.9432456766742215,RF,smote,True,15.0,PGD_eps0.5_it10,0.8410765476557133,PGD,0.5,10.0,,,,,
0.046862043639982,0.1390388768898488,0.0479679592660436,0.071327993351954,0.9567,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.5_it10,0.9531142647302708,PGD,0.5,10.0,,,,,
0.06174038712123,0.1473674170164059,0.0479679592660436,0.0723772046939779,0.8939,0.9520320407339564,LR,smote,True,15.0,PGD_eps0.5_it25,0.8781539482100974,PGD,0.5,25.0,,,,,
0.0541353739723755,0.142923262056836,0.0479369120432177,0.0717939179763786,0.9259,0.9520630879567824,SVM,smote,True,15.0,PGD_eps0.5_it25,0.8874410670710038,PGD,0.5,25.0,,,,,
0.1319860693217086,0.1137275422989708,0.0202427892824986,0.0343682462706235,0.5081,0.9797572107175012,RF,smote,True,15.0,PGD_eps0.5_it25,0.867634864602336,PGD,0.5,25.0,,,,,
0.046862043639982,0.1390388768898488,0.0479679592660436,0.071327993351954,0.9567,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.5_it25,0.9531142647302708,PGD,0.5,25.0,,,,,
0.0551541140515056,0.1434944237918215,0.0479369120432177,0.0718657636901021,0.9216,0.9520630879567824,LR,smote,True,15.0,PGD_eps0.75_it10,0.8847876045393163,PGD,0.75,10.0,,,,,
0.0539458409343978,0.1428175006937378,0.0479369120432177,0.0717805671780567,0.9267,0.9520630879567824,SVM,smote,True,15.0,PGD_eps0.75_it10,0.8877016749982232,PGD,0.75,10.0,,,,,
0.1547063422492833,0.2120809824095585,0.0396783507715234,0.0668497449980384,0.4748,0.9603216492284764,RF,smote,True,15.0,PGD_eps0.75_it10,0.8448435167855197,PGD,0.75,10.0,,,,,
0.0422421758392759,0.136641018837888,0.0479679592660436,0.0710083647394062,0.9762,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.75_it10,0.9577341325309768,PGD,0.75,10.0,,,,,
0.0548935061242862,0.1433478785628075,0.0479369120432177,0.0718473708701721,0.9227,0.9520630879567824,LR,smote,True,15.0,PGD_eps0.75_it25,0.8850245208367884,PGD,0.75,25.0,,,,,
0.0540406074533867,0.1428703618025354,0.0479369120432177,0.0717872419564813,0.9263,0.9520630879567824,SVM,smote,True,15.0,PGD_eps0.75_it25,0.8876069084792343,PGD,0.75,25.0,,,,,
0.1344973820749129,0.1181770005299417,0.0207705920705392,0.0353313968840771,0.4992,0.9792294079294608,RF,smote,True,15.0,PGD_eps0.75_it25,0.8651235518491317,PGD,0.75,25.0,,,,,
0.0402046956810158,0.135609584832792,0.0479679592660436,0.0708683087931746,0.9848,0.9520320407339564,MLP,smote,True,15.0,PGD_eps0.75_it25,0.9597716126892368,PGD,0.75,25.0,,,,,
0.8926295339856428,0.9524603563838484,0.9044366481418236,0.927827499442622,0.1454,0.0955633518581762,LR,smote,True,15.0,CW_c0.0_it10,0.0141675945888317,CW,,10.0,0.0,,,,
0.8224549266744059,0.9287672183477326,0.8310720606041789,0.8772079305259708,0.2053,0.168927939395821,SVM,smote,True,15.0,CW_c0.0_it10,0.0863559904285815,CW,,10.0,0.0,,,,
0.1631168708095429,0.2360616844602609,0.043248781396504,0.0731041721332983,0.4508,0.956751218603496,RF,smote,True,15.0,CW_c0.0_it10,0.8363382217062711,CW,,10.0,0.0,,,,
0.0435689071051197,0.1468628299437473,0.0526871371355832,0.0775523261127867,0.9858,0.9473128628644168,MLP,smote,True,15.0,CW_c0.0_it10,0.955957260299936,CW,,10.0,0.0,,,,
0.8923689260584236,0.95026365470998,0.9063926231798566,0.9278098234574376,0.1528,0.0936073768201434,LR,smote,True,15.0,CW_c0.5_it10,0.0167973654907721,CW,,10.0,0.5,,,,
0.7799995261674051,0.9162218106547554,0.7833214318979167,0.844575369062364,0.2307,0.2166785681020832,SVM,smote,True,15.0,CW_c0.5_it10,0.133265417328058,CW,,10.0,0.5,,,,
0.1902200952403515,0.3126781980612051,0.0510726815486354,0.0878035761942887,0.3616,0.9489273184513646,RF,smote,True,15.0,CW_c0.5_it10,0.8092586889052098,CW,,10.0,0.5,,,,
0.0387831978961832,0.1342604740662993,0.0476574870377844,0.0703450804271115,0.9898,0.9523425129622156,MLP,smote,True,15.0,CW_c0.5_it10,0.9612168021038168,CW,,10.0,0.5,,,,
0.9028406264066905,0.9674072103232673,0.9031016175603093,0.9341490437882364,0.098,0.09689838243969078,LR,smotenc,True,,clean,0.0,,,,,257668.0,2.0,proto;conn_state,True
0.9044279655997536,0.9694737894491285,0.903194759228787,0.9351613732801851,0.0916,0.09680524077121301,SVM,smotenc,True,,clean,0.0,,,,,257668.0,2.0,proto;conn_state,True
0.9985785022151674,0.9992545889368575,0.9988822999782669,0.9990684097754867,0.0024,0.001117700021733056,RF,smotenc,True,,clean,0.0,,,,,257668.0,2.0,proto;conn_state,True
0.9619038593664858,0.9967210985942928,0.9532118352013412,0.9744810512283375,0.0101,0.04678816479865876,MLP,smotenc,True,,clean,0.0,,,,,257668.0,2.0,proto;conn_state,True
