accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s
0.11618375228031937,0.2775061124694376,0.09866807414076811,0.1455761434689998,0.8274,0.9013319258592319,LR,FGSM_direct,0.15,0.8813997014854652,0.5809332728385925,0.1457064151763916
0.11618375228031937,0.2775061124694376,0.09866807414076811,0.1455761434689998,0.8274,0.9013319258592319,LR,PGD_direct,0.15,0.8813997014854652,0.5809332728385925,1.5856139659881592
0.11263000781823782,0.27203198331305406,0.09717780744512404,0.14320027450531855,0.8376,0.902822192554876,LR,FGSM_direct,0.3,0.8872515340330261,1.161866545677185,0.10128259658813477
0.11263000781823782,0.27203198331305406,0.09717780744512404,0.14320027450531855,0.8376,0.902822192554876,LR,PGD_direct,0.3,0.8872515340330261,1.161866545677185,1.324735164642334
0.10474069511241678,0.2641812494716375,0.09702257133099444,0.14192288478132523,0.8704,0.9029774286690055,LR,FGSM_direct,0.5,0.8951882299983416,1.9364444017410278,0.1431255340576172
0.10474069511241678,0.2641812494716375,0.09702257133099444,0.14192288478132523,0.8704,0.9029774286690055,LR,PGD_direct,0.5,0.8951882299983416,1.9364444017410278,1.2224836349487305
0.09756213129901206,0.25758325090669304,0.09702257133099444,0.14095306826639004,0.9007,0.9029774286690055,LR,FGSM_direct,0.75,0.9024141770712407,2.90466570854187,0.14647722244262695
0.09756213129901206,0.25758325090669304,0.09702257133099444,0.14095306826639004,0.9007,0.9029774286690055,LR,PGD_direct,0.75,0.9024141770712407,2.90466570854187,1.3128159046173096
0.10485915326115283,0.26619127516778524,0.09851283802663852,0.14380566067665254,0.8747,0.9014871619733614,SVM,FGSM_direct,0.15,0.8943590229571893,0.5809475183486938,0.17351436614990234
0.10485915326115283,0.26619127516778524,0.09851283802663852,0.14380566067665254,0.8747,0.9014871619733614,SVM,PGD_direct,0.15,0.8943590229571893,0.5809475183486938,1.6114897727966309
0.09597479210594898,0.25608856088560883,0.09696047688534261,0.14066300333303305,0.9072,0.9030395231146574,SVM,FGSM_direct,0.3,0.9039778246345566,1.1618943214416504,0.17560029029846191
0.09597479210594898,0.25608856088560883,0.09696047688534261,0.14066300333303305,0.9072,0.9030395231146574,SVM,PGD_direct,0.3,0.9039778246345566,1.1618943214416504,1.603508710861206
0.0958326423274657,0.2559226166079187,0.09692942966251669,0.14060529634300126,0.9077,0.9030705703374833,SVM,FGSM_direct,0.5,0.9041199744130399,1.936490535736084,0.17267823219299316
0.0958326423274657,0.2559226166079187,0.09692942966251669,0.14060529634300126,0.9077,0.9030705703374833,SVM,PGD_direct,0.5,0.9041199744130399,1.936490535736084,1.6098062992095947
0.09573787580847687,0.2557186193326228,0.09683628799403893,0.14047651218303833,0.9078,0.903163712005961,SVM,FGSM_direct,0.75,0.9042384325617759,2.9047346115112305,0.17316579818725586
0.09573787580847687,0.2557186193326228,0.09683628799403893,0.14047651218303833,0.9078,0.903163712005961,SVM,PGD_direct,0.75,0.9042384325617759,2.9047346115112305,1.6140732765197754
