model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,180,1.0,0.1,0.34224241971969604,228.0,0,0,1.1887173652648926
LR,10,200,2000,200,180,1.0,0.1,0.3064635992050171,557.0,0,0,2.08243465423584
LR,20,500,10000,200,180,1.0,0.1,0.2874162793159485,1437.0,0,0,3.8739514350891113
LR,40,1000,40000,200,180,1.0,0.1,0.2752150595188141,3824.0,0,0,7.559906244277954
SVM,5,100,500,200,181,1.0,0.095,0.19947494566440582,227.0,0,0,1.1774771213531494
SVM,10,200,2000,200,181,1.0,0.095,0.18181850016117096,556.0,0,0,2.0703699588775635
SVM,20,500,10000,200,181,1.0,0.095,0.17319808900356293,1436.0,0,0,3.909454584121704
SVM,40,1000,40000,200,181,1.0,0.095,0.16737768054008484,3823.0,0,0,6.377543926239014
RF,5,100,500,200,200,0.985,0.015,1.3660337924957275,231.0,0,0,30.59243130683899
RF,10,200,2000,200,200,0.985,0.015,0.8307666778564453,563.0,0,0,54.47904849052429
RF,20,500,10000,200,200,0.985,0.015,0.5845726728439331,1451.0,0,0,115.5348310470581
RF,40,1000,40000,200,200,0.985,0.015,0.3676760792732239,3851.0,0,0,236.52308464050293
