model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,194,1.0,0.03,0.16744472086429596,228.0,0,0,1.1594433784484863
LR,10,200,2000,200,194,1.0,0.03,0.14418768882751465,557.0,0,0,2.1198253631591797
LR,20,500,10000,200,194,1.0,0.03,0.13309374451637268,1437.0,0,0,2.7827723026275635
LR,40,1000,40000,200,194,1.0,0.03,0.12602226436138153,3824.0,0,0,5.564141750335693
SVM,5,100,500,200,185,1.0,0.075,0.2846321761608124,228.0,0,0,0.9506235122680664
SVM,10,200,2000,200,185,1.0,0.075,0.24555140733718872,557.0,0,0,1.4588360786437988
SVM,20,500,10000,200,185,1.0,0.075,0.2269200086593628,1437.0,0,0,2.6702098846435547
SVM,40,1000,40000,200,185,1.0,0.075,0.21480721235275269,3824.0,0,0,5.374467372894287
RF,5,100,500,200,200,0.815,0.185,1.6689730882644653,233.0,0,0,25.184951066970825
RF,10,200,2000,200,200,0.815,0.185,1.09461510181427,564.0,0,0,42.89933919906616
RF,20,500,10000,200,200,0.815,0.185,0.7265678644180298,1450.0,0,0,76.95926904678345
RF,40,1000,40000,200,200,0.815,0.185,0.502230703830719,3846.0,0,0,162.74841833114624
