model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
SVM,FGSM_eps0.15,1,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,
RF,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
RF,FGSM_eps0.15,6052,6052,0.9945472571050892,0.9945472571050892,FGSM,0.15,1,Botnet Ares,
RF,FGSM_eps0.15,49,49,1.0,1.0,FGSM,0.15,1,Botnet Ares - Attempted,
RF,FGSM_eps0.15,5894,5894,1.0,1.0,FGSM,0.15,1,DDoS-HOIC,
RF,FGSM_eps0.15,5960,5960,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,
RF,FGSM_eps0.15,516,516,0.5116279069767442,0.5116279069767442,FGSM,0.15,1,DDoS-LOIC-UDP,
RF,FGSM_eps0.15,51,51,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,
RF,FGSM_eps0.15,4580,4580,1.0,1.0,FGSM,0.15,1,DoS GoldenEye,
RF,FGSM_eps0.15,849,849,1.0,1.0,FGSM,0.15,1,DoS GoldenEye - Attempted,
RF,FGSM_eps0.15,5951,5951,1.0,1.0,FGSM,0.15,1,DoS Hulk,
RF,FGSM_eps0.15,19,19,1.0,1.0,FGSM,0.15,1,DoS Hulk - Attempted,
RF,FGSM_eps0.15,1713,1713,1.0,1.0,FGSM,0.15,1,DoS Slowloris,
RF,FGSM_eps0.15,437,437,1.0,1.0,FGSM,0.15,1,DoS Slowloris - Attempted,
RF,FGSM_eps0.15,5957,5957,1.0,1.0,FGSM,0.15,1,FTP-BruteForce - Attempted,
RF,FGSM_eps0.15,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.15,1,Infiltration - Communication Victim Attacker,
RF,FGSM_eps0.15,14,5,1.0,1.0,FGSM,0.15,1,Infiltration - Dropbox Download,
RF,FGSM_eps0.15,2,2,1.0,1.0,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,
RF,FGSM_eps0.15,6072,6069,0.9253583786455759,0.9253952569169961,FGSM,0.15,1,Infiltration - NMAP Portscan,
RF,FGSM_eps0.15,6059,6059,1.0,1.0,FGSM,0.15,1,SSH-BruteForce,
RF,FGSM_eps0.15,27,26,0.0,0.037037037037037035,FGSM,0.15,1,Web Attack - Brute Force,
RF,FGSM_eps0.15,25,25,1.0,1.0,FGSM,0.15,1,Web Attack - Brute Force - Attempted,
RF,FGSM_eps0.15,6,6,0.8333333333333334,0.8333333333333334,FGSM,0.15,1,Web Attack - SQL,
RF,FGSM_eps0.15,3,3,0.6666666666666666,0.6666666666666666,FGSM,0.15,1,Web Attack - SQL - Attempted,
RF,FGSM_eps0.15,19,19,0.0,0.0,FGSM,0.15,1,Web Attack - XSS,
RF,FGSM_eps0.15,1,1,1.0,1.0,FGSM,0.15,1,Web Attack - XSS - Attempted,
MLP,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
MLP,FGSM_eps0.15,6052,6052,0.9945472571050892,0.9945472571050892,FGSM,0.15,1,Botnet Ares,
MLP,FGSM_eps0.15,49,49,1.0,1.0,FGSM,0.15,1,Botnet Ares - Attempted,
MLP,FGSM_eps0.15,5894,5893,1.0,0.999830335934849,FGSM,0.15,1,DDoS-HOIC,
MLP,FGSM_eps0.15,5960,5960,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,
MLP,FGSM_eps0.15,516,516,0.005813953488372093,0.005813953488372093,FGSM,0.15,1,DDoS-LOIC-UDP,
MLP,FGSM_eps0.15,51,46,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,
MLP,FGSM_eps0.15,4580,4579,1.0,0.9997816593886463,FGSM,0.15,1,DoS GoldenEye,
MLP,FGSM_eps0.15,849,849,1.0,1.0,FGSM,0.15,1,DoS GoldenEye - Attempted,
MLP,FGSM_eps0.15,5951,5951,1.0,1.0,FGSM,0.15,1,DoS Hulk,
MLP,FGSM_eps0.15,19,12,1.0,0.631578947368421,FGSM,0.15,1,DoS Hulk - Attempted,
MLP,FGSM_eps0.15,1713,1712,1.0,0.9994162288382954,FGSM,0.15,1,DoS Slowloris,
MLP,FGSM_eps0.15,437,436,1.0,0.9977116704805492,FGSM,0.15,1,DoS Slowloris - Attempted,
MLP,FGSM_eps0.15,5957,5957,1.0,1.0,FGSM,0.15,1,FTP-BruteForce - Attempted,
MLP,FGSM_eps0.15,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.15,1,Infiltration - Communication Victim Attacker,
MLP,FGSM_eps0.15,14,2,1.0,0.5,FGSM,0.15,1,Infiltration - Dropbox Download,
MLP,FGSM_eps0.15,2,0,,0.5,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,
MLP,FGSM_eps0.15,6072,5986,0.8922485800200468,0.8845520421607378,FGSM,0.15,1,Infiltration - NMAP Portscan,
MLP,FGSM_eps0.15,6059,6059,1.0,1.0,FGSM,0.15,1,SSH-BruteForce,
MLP,FGSM_eps0.15,27,26,0.0,0.0,FGSM,0.15,1,Web Attack - Brute Force,
MLP,FGSM_eps0.15,25,25,1.0,1.0,FGSM,0.15,1,Web Attack - Brute Force - Attempted,
MLP,FGSM_eps0.15,6,5,0.8,0.6666666666666666,FGSM,0.15,1,Web Attack - SQL,
MLP,FGSM_eps0.15,3,1,0.0,0.0,FGSM,0.15,1,Web Attack - SQL - Attempted,
MLP,FGSM_eps0.15,19,19,0.0,0.0,FGSM,0.15,1,Web Attack - XSS,
MLP,FGSM_eps0.15,1,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,
LR,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,
LR,FGSM_eps0.3,6052,6045,0.9956989247311828,0.9957038995373431,FGSM,0.3,1,Botnet Ares,
LR,FGSM_eps0.3,49,49,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,
LR,FGSM_eps0.3,5894,5893,1.0,0.999830335934849,FGSM,0.3,1,DDoS-HOIC,
LR,FGSM_eps0.3,5960,5960,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,
LR,FGSM_eps0.3,516,508,0.0531496062992126,0.06782945736434108,FGSM,0.3,1,DDoS-LOIC-UDP,
LR,FGSM_eps0.3,51,0,,0.9019607843137255,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,
LR,FGSM_eps0.3,4580,4453,0.9997754322928363,0.9997816593886463,FGSM,0.3,1,DoS GoldenEye,
LR,FGSM_eps0.3,849,848,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,
LR,FGSM_eps0.3,5951,5951,1.0,1.0,FGSM,0.3,1,DoS Hulk,
LR,FGSM_eps0.3,19,19,0.631578947368421,0.631578947368421,FGSM,0.3,1,DoS Hulk - Attempted,
LR,FGSM_eps0.3,1713,1633,0.9993876301285977,0.9994162288382954,FGSM,0.3,1,DoS Slowloris,
LR,FGSM_eps0.3,437,424,0.9976415094339622,0.9977116704805492,FGSM,0.3,1,DoS Slowloris - Attempted,
LR,FGSM_eps0.3,5957,5957,0.7821050864529125,0.7821050864529125,FGSM,0.3,1,FTP-BruteForce - Attempted,
LR,FGSM_eps0.3,47,47,0.0,0.0,FGSM,0.3,1,Infiltration - Communication Victim Attacker,
LR,FGSM_eps0.3,14,2,1.0,0.35714285714285715,FGSM,0.3,1,Infiltration - Dropbox Download,
LR,FGSM_eps0.3,2,0,,0.5,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,
LR,FGSM_eps0.3,6072,4496,0.9606316725978647,0.9583333333333334,FGSM,0.3,1,Infiltration - NMAP Portscan,
LR,FGSM_eps0.3,6059,6059,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,
LR,FGSM_eps0.3,27,26,0.0,0.0,FGSM,0.3,1,Web Attack - Brute Force,
LR,FGSM_eps0.3,25,10,1.0,1.0,FGSM,0.3,1,Web Attack - Brute Force - Attempted,
LR,FGSM_eps0.3,6,2,0.5,0.6666666666666666,FGSM,0.3,1,Web Attack - SQL,
LR,FGSM_eps0.3,3,1,0.0,0.0,FGSM,0.3,1,Web Attack - SQL - Attempted,
LR,FGSM_eps0.3,19,0,,1.0,FGSM,0.3,1,Web Attack - XSS,
LR,FGSM_eps0.3,1,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,
SVM,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,
SVM,FGSM_eps0.3,6052,6045,0.9956989247311828,0.9957038995373431,FGSM,0.3,1,Botnet Ares,
SVM,FGSM_eps0.3,49,49,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,
SVM,FGSM_eps0.3,5894,5893,1.0,0.999830335934849,FGSM,0.3,1,DDoS-HOIC,
SVM,FGSM_eps0.3,5960,7,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,
SVM,FGSM_eps0.3,516,509,0.0,0.011627906976744186,FGSM,0.3,1,DDoS-LOIC-UDP,
SVM,FGSM_eps0.3,51,0,,0.9019607843137255,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,
SVM,FGSM_eps0.3,4580,4545,0.9997799779977998,0.9997816593886463,FGSM,0.3,1,DoS GoldenEye,
SVM,FGSM_eps0.3,849,848,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,
SVM,FGSM_eps0.3,5951,5950,1.0,1.0,FGSM,0.3,1,DoS Hulk,
SVM,FGSM_eps0.3,19,19,0.631578947368421,0.631578947368421,FGSM,0.3,1,DoS Hulk - Attempted,
SVM,FGSM_eps0.3,1713,1629,0.9993861264579497,0.9994162288382954,FGSM,0.3,1,DoS Slowloris,
SVM,FGSM_eps0.3,437,424,0.9976415094339622,0.9977116704805492,FGSM,0.3,1,DoS Slowloris - Attempted,
SVM,FGSM_eps0.3,5957,5957,0.7821050864529125,0.7821050864529125,FGSM,0.3,1,FTP-BruteForce - Attempted,
SVM,FGSM_eps0.3,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.3,1,Infiltration - Communication Victim Attacker,
SVM,FGSM_eps0.3,14,1,0.0,0.21428571428571427,FGSM,0.3,1,Infiltration - Dropbox Download,
SVM,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,
SVM,FGSM_eps0.3,6072,4608,0.8678385416666666,0.889163372859025,FGSM,0.3,1,Infiltration - NMAP Portscan,
SVM,FGSM_eps0.3,6059,6059,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,
SVM,FGSM_eps0.3,27,0,,0.9629629629629629,FGSM,0.3,1,Web Attack - Brute Force,
SVM,FGSM_eps0.3,25,0,,1.0,FGSM,0.3,1,Web Attack - Brute Force - Attempted,
SVM,FGSM_eps0.3,6,0,,0.8333333333333334,FGSM,0.3,1,Web Attack - SQL,
SVM,FGSM_eps0.3,3,0,,0.3333333333333333,FGSM,0.3,1,Web Attack - SQL - Attempted,
SVM,FGSM_eps0.3,19,0,,1.0,FGSM,0.3,1,Web Attack - XSS,
SVM,FGSM_eps0.3,1,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,
RF,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,
RF,FGSM_eps0.3,6052,6052,0.9945472571050892,0.9945472571050892,FGSM,0.3,1,Botnet Ares,
RF,FGSM_eps0.3,49,49,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,
RF,FGSM_eps0.3,5894,5894,1.0,1.0,FGSM,0.3,1,DDoS-HOIC,
RF,FGSM_eps0.3,5960,5960,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,
RF,FGSM_eps0.3,516,516,0.5193798449612403,0.5193798449612403,FGSM,0.3,1,DDoS-LOIC-UDP,
RF,FGSM_eps0.3,51,51,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,
RF,FGSM_eps0.3,4580,4580,1.0,1.0,FGSM,0.3,1,DoS GoldenEye,
RF,FGSM_eps0.3,849,849,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,
RF,FGSM_eps0.3,5951,5951,1.0,1.0,FGSM,0.3,1,DoS Hulk,
RF,FGSM_eps0.3,19,19,1.0,1.0,FGSM,0.3,1,DoS Hulk - Attempted,
RF,FGSM_eps0.3,1713,1713,1.0,1.0,FGSM,0.3,1,DoS Slowloris,
RF,FGSM_eps0.3,437,437,1.0,1.0,FGSM,0.3,1,DoS Slowloris - Attempted,
RF,FGSM_eps0.3,5957,5957,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,
RF,FGSM_eps0.3,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.3,1,Infiltration - Communication Victim Attacker,
RF,FGSM_eps0.3,14,5,1.0,1.0,FGSM,0.3,1,Infiltration - Dropbox Download,
RF,FGSM_eps0.3,2,2,0.5,0.5,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,
RF,FGSM_eps0.3,6072,6069,0.8238589553468446,0.8239459815546772,FGSM,0.3,1,Infiltration - NMAP Portscan,
RF,FGSM_eps0.3,6059,6059,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,
RF,FGSM_eps0.3,27,26,0.0,0.037037037037037035,FGSM,0.3,1,Web Attack - Brute Force,
RF,FGSM_eps0.3,25,25,1.0,1.0,FGSM,0.3,1,Web Attack - Brute Force - Attempted,
RF,FGSM_eps0.3,6,6,0.8333333333333334,0.8333333333333334,FGSM,0.3,1,Web Attack - SQL,
RF,FGSM_eps0.3,3,3,0.6666666666666666,0.6666666666666666,FGSM,0.3,1,Web Attack - SQL - Attempted,
RF,FGSM_eps0.3,19,19,0.0,0.0,FGSM,0.3,1,Web Attack - XSS,
RF,FGSM_eps0.3,1,1,1.0,1.0,FGSM,0.3,1,Web Attack - XSS - Attempted,
MLP,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,
MLP,FGSM_eps0.3,6052,6052,0.9945472571050892,0.9945472571050892,FGSM,0.3,1,Botnet Ares,
MLP,FGSM_eps0.3,49,49,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,
MLP,FGSM_eps0.3,5894,5893,1.0,0.999830335934849,FGSM,0.3,1,DDoS-HOIC,
MLP,FGSM_eps0.3,5960,5960,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,
MLP,FGSM_eps0.3,516,516,0.013565891472868217,0.013565891472868217,FGSM,0.3,1,DDoS-LOIC-UDP,
MLP,FGSM_eps0.3,51,46,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,
MLP,FGSM_eps0.3,4580,4579,1.0,0.9997816593886463,FGSM,0.3,1,DoS GoldenEye,
MLP,FGSM_eps0.3,849,849,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,
MLP,FGSM_eps0.3,5951,5951,1.0,1.0,FGSM,0.3,1,DoS Hulk,
MLP,FGSM_eps0.3,19,12,1.0,0.631578947368421,FGSM,0.3,1,DoS Hulk - Attempted,
MLP,FGSM_eps0.3,1713,1712,1.0,0.9994162288382954,FGSM,0.3,1,DoS Slowloris,
MLP,FGSM_eps0.3,437,436,1.0,0.9977116704805492,FGSM,0.3,1,DoS Slowloris - Attempted,
MLP,FGSM_eps0.3,5957,5957,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,
MLP,FGSM_eps0.3,47,47,0.0851063829787234,0.0851063829787234,FGSM,0.3,1,Infiltration - Communication Victim Attacker,
MLP,FGSM_eps0.3,14,2,1.0,0.35714285714285715,FGSM,0.3,1,Infiltration - Dropbox Download,
MLP,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,
MLP,FGSM_eps0.3,6072,5986,0.9117941864350151,0.9038208168642952,FGSM,0.3,1,Infiltration - NMAP Portscan,
MLP,FGSM_eps0.3,6059,6059,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,
MLP,FGSM_eps0.3,27,26,0.0,0.0,FGSM,0.3,1,Web Attack - Brute Force,
MLP,FGSM_eps0.3,25,25,1.0,1.0,FGSM,0.3,1,Web Attack - Brute Force - Attempted,
MLP,FGSM_eps0.3,6,5,0.8,0.6666666666666666,FGSM,0.3,1,Web Attack - SQL,
MLP,FGSM_eps0.3,3,1,0.0,0.0,FGSM,0.3,1,Web Attack - SQL - Attempted,
MLP,FGSM_eps0.3,19,19,0.0,0.0,FGSM,0.3,1,Web Attack - XSS,
MLP,FGSM_eps0.3,1,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,
LR,FGSM_eps0.5,60000,0,,,FGSM,0.5,1,Benign,
LR,FGSM_eps0.5,6052,6045,0.9956989247311828,0.9957038995373431,FGSM,0.5,1,Botnet Ares,
LR,FGSM_eps0.5,49,49,1.0,1.0,FGSM,0.5,1,Botnet Ares - Attempted,
LR,FGSM_eps0.5,5894,5893,1.0,0.999830335934849,FGSM,0.5,1,DDoS-HOIC,
LR,FGSM_eps0.5,5960,5960,1.0,1.0,FGSM,0.5,1,DDoS-LOIC-HTTP,
