accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.9997370878398593,0.9997812947351679,0.9996421684591377,0.9997117267567273,0.00018333333333333334,0.000357831540862374,XGB,clean,0.0,4.51955509185791,,,,,,,,,,,
0.25615803740605425,0.09389791480107458,0.07295787527582848,0.08211393028146954,0.59025,0.9270421247241715,XGB,FGSM_eps0.15,0.74375130322838,4.51955509185791,FGSM,0.15,1.0,,,,,,,,
0.24992973899168652,0.09293101717039863,0.07359402023736158,0.08213980629916019,0.6022333333333333,0.9264059797626384,XGB,FGSM_eps0.3,0.750015865388974,4.51955509185791,FGSM,0.3,1.0,,,,,,,,
0.29054513476514693,0.08952067669172932,0.06059280758602867,0.07226944553117332,0.5166666666666667,0.9394071924139713,XGB,FGSM_eps0.5,0.7093551399327308,4.51955509185791,FGSM,0.5,1.0,,,,,,,,
0.301596511427613,0.08815282699121861,0.056875335467069556,0.06914135189347254,0.49323333333333336,0.9431246645329304,XGB,FGSM_eps0.75,0.6982856313971515,4.51955509185791,FGSM,0.75,1.0,,,,,,,,
0.22735555696581236,0.08064748547000336,0.06675546190088066,0.07304684525945987,0.638,0.9332445380991193,XGB,PGD_eps0.15_it10,0.7725900474148482,4.51955509185791,PGD,0.15,10.0,,,,,,,,
0.23701984533512235,0.1531573986804901,0.14859948710812476,0.15084402022016163,0.68885,0.8514005128918752,XGB,PGD_eps0.15_it25,0.7629166931089816,4.51955509185791,PGD,0.15,25.0,,,,,,,,
0.28883167275595406,0.11573859136466669,0.08424944834304117,0.09751495628163828,0.53965,0.9157505516569588,XGB,PGD_eps0.3_it10,0.7111320634978197,4.51955509185791,PGD,0.3,10.0,,,,,,,,
0.3182869006282694,0.11512771352588286,0.0740114903683677,0.0901005554143827,0.47691666666666666,0.9259885096316323,XGB,PGD_eps0.3_it25,0.6816677696889477,4.51955509185791,PGD,0.3,25.0,,,,,,,,
0.23640336164927517,0.10812309398392016,0.09303620062421725,0.1000138908181692,0.6434,0.9069637993757828,XGB,PGD_eps0.5_it10,0.7635241108582722,4.51955509185791,PGD,0.5,10.0,,,,,,,,
0.24551462788863404,0.1050509898020396,0.08703258254974852,0.09519667746635065,0.6216166666666667,0.9129674174502515,XGB,PGD_eps0.5_it25,0.7544219105554699,4.51955509185791,PGD,0.5,25.0,,,,,,,,
0.27727260364631967,0.1625367107195301,0.1408265908593921,0.15090481110270856,0.6083333333333333,0.8591734091406079,XGB,PGD_eps0.75_it10,0.7226639347977842,4.51955509185791,PGD,0.75,10.0,,,,,,,,
0.275341559159769,0.056757322801663526,0.03771146850088464,0.045314478178821394,0.5254333333333333,0.9622885314991153,XGB,PGD_eps0.75_it25,0.7245768474112219,4.51955509185791,PGD,0.75,25.0,,,,,,,,
0.4673943591742745,0.28947499626065715,0.11542055145816353,0.16503695281409891,0.23751666666666665,0.8845794485418365,XGB,CW_c0.0_it10,0.5324968495870466,4.51955509185791,CW,,10.0,0.0,,,,,,,
0.4436325394594889,0.21813550687722874,0.0851241476651492,0.12246006892311212,0.2558,0.9148758523348508,XGB,CW_c0.5_it10,0.5562677352383888,4.51955509185791,CW,,10.0,0.5,,,,,,,
0.07,0.12280701754385964,0.14,0.1308411214953271,1.0,0.86,XGB,HopSkipJump_direct,0.93,,,,,,100.0,100.0,0.5172285437583923,561.0,0.0,9.0,5.191168308258057
0.9997552197129724,0.9998210522129877,0.9996421684591377,0.9997316023340657,0.00015,0.000357831540862374,LGBM,clean,0.0,3.2593164443969727,,,,,,,,,,,
0.37846658749082074,0.15086833448091194,0.07840486650895573,0.10318529661848387,0.36996666666666667,0.9215951334910443,LGBM,FGSM_eps0.15,0.6214155553339438,3.2593164443969727,FGSM,0.15,1.0,,,,,,,,
0.4754993064558534,0.24652567975830816,0.0729976343359243,0.11264149207030891,0.18705,0.9270023656640757,LGBM,FGSM_eps0.3,0.5243375066861282,3.2593164443969727,FGSM,0.3,1.0,,,,,,,,
0.38986246974243677,0.12004292037376492,0.05337653817863746,0.07389569285812578,0.32803333333333334,0.9466234618213626,LGBM,FGSM_eps0.5,0.6099834093361015,3.2593164443969727,FGSM,0.5,1.0,,,,,,,,
0.49904354369328124,0.2249611370197646,0.040275927877064986,0.06832015377092852,0.11633333333333333,0.959724072122935,LGBM,FGSM_eps0.75,0.500802335385257,3.2593164443969727,FGSM,0.75,1.0,,,,,,,,
0.3745954325811628,0.1615392977497554,0.08862294495358129,0.11445442875481386,0.38565,0.9113770550464187,LGBM,PGD_eps0.15_it10,0.6252776443070451,3.2593164443969727,PGD,0.15,10.0,,,,,,,,
0.3421484456451774,0.09877433309300648,0.05446991233127249,0.07021770049844317,0.4166666666666667,0.9455300876687275,LGBM,PGD_eps0.15_it25,0.6577336971795872,3.2593164443969727,PGD,0.15,25.0,,,,,,,,
0.4725256792652965,0.23640013382402142,0.07023437965926485,0.10829450711132908,0.1902,0.9297656203407352,LGBM,PGD_eps0.3_it10,0.5273655294960246,3.2593164443969727,PGD,0.3,10.0,,,,,,,,
0.41745011468409743,0.15965853658536586,0.06506570184680834,0.09245370958857675,0.2871166666666667,0.9349342981531916,LGBM,PGD_eps0.3_it25,0.5824320281406671,3.2593164443969727,PGD,0.3,25.0,,,,,,,,
0.24895061784357633,0.10200587084148728,0.08289764029978332,0.09146441770944146,0.6118333333333333,0.9171023597002167,LGBM,PGD_eps0.5_it10,0.750958722790858,3.2593164443969727,PGD,0.5,10.0,,,,,,,,
0.22700198544010589,0.09533069426117555,0.081863904737292,0.0880855614973262,0.6513166666666667,0.918136095262708,LGBM,PGD_eps0.5_it25,0.772934553003998,3.2593164443969727,PGD,0.5,25.0,,,,,,,,
0.2384703951841745,0.09874249785653044,0.08242053157863348,0.08984624719636801,0.6307,0.9175794684213665,LGBM,PGD_eps0.75_it10,0.7614480113868163,3.2593164443969727,PGD,0.75,10.0,,,,,,,,
0.23138083279693208,0.03606222078690995,0.026638570264198955,0.030642229107830918,0.5969666666666666,0.9733614297358011,LGBM,PGD_eps0.75_it25,0.7685285078375022,3.2593164443969727,PGD,0.75,25.0,,,,,,,,
0.543584489995739,0.4987591550148296,0.16380732759477565,0.2466179815635101,0.13801666666666668,0.8361926724052243,LGBM,CW_c0.0_it10,0.4563157847021386,3.2593164443969727,CW,,10.0,0.0,,,,,,,
0.5479542714160086,0.5130157605808394,0.17277299564638293,0.2584914639224317,0.1375,0.8272270043536171,LGBM,CW_c0.5_it10,0.4519369373453125,3.2593164443969727,CW,,10.0,0.5,,,,,,,
0.04,0.020833333333333332,0.02,0.02040816326530612,0.94,0.98,LGBM,HopSkipJump_direct,0.9696969696969697,,,,,,100.0,99.0,1.0145463943481445,563.0,0.0,0.0,6.642505645751953
