model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,187,1.0,0.065,0.5373429656028748,228.0,0,0,0.8393440246582031
LR,10,200,2000,200,187,1.0,0.065,0.4798904359340668,557.0,0,0,1.4773986339569092
LR,20,500,10000,200,187,1.0,0.065,0.45322203636169434,1437.0,0,0,2.762751579284668
LR,40,1000,40000,200,187,1.0,0.065,0.43421754240989685,3824.0,0,0,5.85727596282959
SVM,5,100,500,200,183,1.0,0.085,0.6507559418678284,228.0,0,0,0.9009535312652588
SVM,10,200,2000,200,183,1.0,0.085,0.5769200325012207,557.0,0,0,1.471076250076294
SVM,20,500,10000,200,183,1.0,0.085,0.533789873123169,1437.0,0,0,2.8181464672088623
SVM,40,1000,40000,200,183,1.0,0.085,0.5063506960868835,3824.0,0,0,5.5946364402771
RF,5,100,500,200,200,0.9,0.1,1.5507813692092896,231.0,0,0,25.569702863693237
RF,10,200,2000,200,200,0.9,0.1,1.0183615684509277,563.0,0,0,44.55699372291565
RF,20,500,10000,200,200,0.9,0.1,0.7555422782897949,1448.0,0,0,84.01904058456421
RF,40,1000,40000,200,200,0.9,0.1,0.6040557622909546,3842.0,0,0,152.9223747253418
