accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr
0.09039645340561907,0.12860600121746618,0.17219648927499354,0.14724280954647448,0.9781833333333333,0.8278035107250065,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,LR,0.3,0.8297961070868426
0.3061748093886839,0.3581165880469122,0.65801244458581,0.4638095438271994,0.9888,0.34198755541419,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,SVM,0.3,0.6205996210438519
0.502597390823459,0.24150045330915684,0.042363278532095504,0.07208212830009979,0.11155,0.9576367214679045,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,RF,0.3,0.49725755419163575
0.18445554518009483,0.2492348164824324,0.3917460191241079,0.30464794502546977,0.9893333333333333,0.6082539808758921,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,LR,0.5,0.7353562459769907
0.26233194020108247,0.3238043379617025,0.5674413056875336,0.41232169296883464,0.9934666666666667,0.43255869431246646,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,SVM,0.5,0.6637172153069273
0.4484374858344741,0.1574326960593055,0.0481283422459893,0.07371994945265754,0.21595,0.9518716577540107,submitted,"[32, 12]",12,0.9977063180511863,110.42525482177734,RF,0.5,0.5514265251171773
0.42315258877818374,0.4097307843429485,0.6011768681788362,0.4873257594069777,0.7261,0.39882313182116375,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,LR,0.3,0.4968405211100333
0.43310698711730417,0.41985973651438685,0.6367214679044987,0.5060353272032104,0.7376,0.36327853209550126,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,SVM,0.3,0.49149161854165346
0.4989982140104984,0.18296892980437285,0.028447607498558736,0.04923955680957952,0.1065,0.9715523925014413,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,RF,0.3,0.5008385991314833
0.30051766497738047,0.29003503065182035,0.36868576426853267,0.32466498026206375,0.7566333333333334,0.6313142357314673,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,LR,0.5,0.6195117086570628
0.4181119280527275,0.4112343168476384,0.6392064091604874,0.5004825203125487,0.76725,0.36079359083951257,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,SVM,0.5,0.5066045347814656
0.47908035139570093,0.18070676423344637,0.04025604834701708,0.06584402282592791,0.15301666666666666,0.9597439516529829,longer,"[32, 12]",50,0.9986219776434004,456.97753167152405,RF,0.5,0.5207564617462807
0.12091239585505381,0.14260986780632018,0.185078424746039,0.16109217379267385,0.9328833333333333,0.814921575253961,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,LR,0.3,0.7988268678095791
0.10295277553647679,0.15594409551292931,0.21915193924815618,0.1822224058845407,0.9944666666666667,0.7808480607518439,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,SVM,0.3,0.8195878625241381
0.520321296791565,0.22412698412698412,0.021052422320736338,0.03848949625645126,0.0611,0.9789475776792637,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,RF,0.3,0.47950645041386003
0.06957199713516404,0.07312775330396476,0.08910005367473113,0.08032761911589437,0.9468,0.9108999463252688,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,LR,0.5,0.8501763324660254
0.048149189051975017,0.07917942719955678,0.10228018209649524,0.08925938134314117,0.9972333333333333,0.8977198179035047,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,SVM,0.5,0.8744005149451964
0.4678929856848862,0.0831677265500795,0.01663916665010039,0.027730382493746583,0.15378333333333333,0.9833608333498997,wider,"[128, 64]",12,0.9983590654832597,108.68133902549744,RF,0.5,0.5319619593302086
0.24816188136315423,0.1672954948708013,0.163071784983003,0.16515664009019893,0.6805,0.836928215016997,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,LR,0.3,0.6730098002774176
0.43186495380905326,0.42267667292057537,0.6717889589090114,0.5188824825531849,0.7692833333333333,0.3282110410909886,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,SVM,0.3,0.546576249059409
0.5339383334995421,0.3021840315073398,0.01677832336043576,0.03179147205062528,0.032483333333333336,0.9832216766395643,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,RF,0.3,0.4658712818327697
0.2561308395963845,0.2152952148647679,0.23863387869510766,0.22636457066349863,0.7292,0.7613661213048923,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,LR,0.5,0.6658658422708358
0.4420822643083144,0.436923940499579,0.7736914299345964,0.5584669029545553,0.8359333333333333,0.22630857006540364,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,SVM,0.5,0.5387160820648577
0.5192243184682194,0.25441123514584085,0.02808977595769636,0.05059347977872066,0.06901666666666667,0.9719102240423036,wider_longer,"[128, 64]",50,0.9986673073261834,453.1443247795105,RF,0.5,0.480639692483432
0.4360352846250782,0.3723842195540309,0.3452676778720951,0.3583136482262773,0.48786666666666667,0.6547323221279049,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,LR,0.3,0.4836042537374323
0.6566729826024678,0.5871256184216058,0.8327932727670317,0.688707317474148,0.4909833333333333,0.1672067272329682,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,SVM,0.3,0.32534019926928553
0.5181817357642131,0.24280803329111633,0.026678329324294772,0.04807451191115888,0.06975,0.9733216706757052,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,RF,0.3,0.4816188136315422
0.38869296392663844,0.31812582303215664,0.297755601057591,0.3076038404271705,0.5350666666666667,0.702244398942409,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,LR,0.5,0.5311369591035602
0.628958414549015,0.563629947336989,0.8255173647694969,0.6698876422619959,0.5358333333333334,0.17448263523050314,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,SVM,0.5,0.35125971188453625
0.4851635948251634,0.09136735979836169,0.014412659284734508,0.024897833029980426,0.12016666666666667,0.9855873407152654,deep_long,"[256, 128, 64]",50,0.9984587907853821,516.304573059082,RF,0.5,0.5146550864437051
