attack,epsilon,adv_accuracy,asr
PGD_nonadaptive,0.15,0.9248264588121017,0.01618138311734464
PGD_adaptive,0.15,0.9396574190338554,0.001611030822810301
PGD_nonadaptive,0.3,0.9248027671823544,0.016323532895827903
PGD_adaptive,0.3,0.9235234191760051,0.018621620981307305
PGD_nonadaptive,0.5,0.8248003980193798,0.11663389324551636
PGD_adaptive,0.5,0.8512639484470137,0.09147338245397901
