model,sample_pos,orig_test_idx,clean_correct,eligible,wall_s_measured,init_success,init_trials,init_queries,init_time_s,bsearch_queries,bsearch_time_s,gradest_queries,gradest_time_s,stepsearch_queries,stepsearch_time_s,total_queries,total_time_s,status
XGB,0,23309,True,True,0.04671519994735718,True,2,2,0.0010049999691545963,100,0.029985900269821286,445,0.007833099458366632,15,0.005077100358903408,562,0.043905100086703897,success
XGB,1,69500,True,True,0.04888499993830919,True,5,5,0.0014205998741090298,100,0.031136400066316128,445,0.008041799766942859,20,0.006891400087624788,570,0.0474937001708895,success
XGB,2,73626,True,True,0.044497499940916896,True,1,1,0.0003101998008787632,100,0.030114500084891915,445,0.0075879995711147785,16,0.005226000444963574,562,0.043240000028163195,success
XGB,3,15699,True,True,0.044192299945279956,True,5,5,0.0014040996320545673,100,0.030020100995898247,445,0.007556700147688389,12,0.003949799109250307,562,0.04293270013295114,success
XGB,4,15234,True,True,0.05358140007592738,True,1,1,0.0003162000793963671,100,0.029752600006759167,445,0.00801400002092123,46,0.014210699824616313,592,0.05229500005953014,success
XGB,5,93866,True,True,0.046313999919220805,True,1,1,0.0002974998205900192,100,0.029872599989175797,445,0.00803030002862215,21,0.006873999955132604,567,0.0450766000431031,success
XGB,6,27400,True,True,0.045930600026622415,True,5,5,0.0014266998041421175,100,0.029910599812865257,445,0.007448999909684062,18,0.005815300391986966,568,0.044603400165215135,success
XGB,7,27888,True,True,0.045850800117477775,True,2,2,0.000619000056758523,100,0.02982739987783134,445,0.0075870000291615725,19,0.006128499982878566,566,0.04416329995729029,success
XGB,8,17259,True,True,0.04810640006326139,True,1,1,0.00030200020410120487,100,0.029951500007882714,445,0.007566799875348806,28,0.008958199992775917,574,0.04678019997663796,success
XGB,9,61392,True,True,0.046974699944257736,True,2,2,0.000582600012421608,100,0.029622299363836646,445,0.00757250003516674,23,0.007984700612723827,570,0.04576370003633201,success
XGB,10,98173,True,True,0.046726099913939834,True,1,1,0.0003029000945389271,100,0.029804400401189923,445,0.007582999765872955,24,0.007772399811074138,570,0.04546439996920526,success
XGB,11,40308,True,True,0.04623460001312196,True,8,8,0.0022195999044924974,100,0.030055400216951966,445,0.007820800179615617,15,0.004918999504297972,568,0.04501669993624091,success
XGB,12,9249,True,True,0.045290700159966946,True,2,2,0.0006297999061644077,100,0.030109099578112364,445,0.0075864000245928764,17,0.0056158003862947226,564,0.0439429001417011,success
XGB,13,43320,True,True,0.057364300126209855,True,4,4,0.0011243000626564026,100,0.030472800135612488,445,0.007507400121539831,54,0.01704149949364364,603,0.056147499941289425,success
XGB,14,83353,True,True,0.04636680008843541,True,3,3,0.0014690998941659927,100,0.029915199615061283,445,0.00740859960205853,19,0.0063207007478922606,567,0.04511499986983836,success
