accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s,seed
0.8875612745098039,0.5454545454545454,0.6161369193154034,0.5786452353616532,0.073555166374781,0.3838630806845965,MLP,FGSM,0.3,FGSM_eps0.15,7.406994819641113,FGSM,0.15,1,,,42
0.8177083333333334,0.3603603603603603,0.58679706601467,0.4465116279069767,0.1492119089316987,0.4132029339853301,MLP,FGSM,0.3,FGSM_eps0.3,7.406994819641113,FGSM,0.3,1,,,42
0.7408088235294118,0.2292441140024783,0.452322738386308,0.3042763157894737,0.2178633975481611,0.5476772616136919,MLP,FGSM,0.3,FGSM_eps0.5,7.406994819641113,FGSM,0.5,1,,,42
0.7058823529411765,0.1901012373453318,0.4132029339853301,0.2604006163328197,0.2521891418563923,0.58679706601467,MLP,FGSM,0.3,FGSM_eps0.75,7.406994819641113,FGSM,0.75,1,,,42
0.8897058823529411,0.5538461538461539,0.6161369193154034,0.5833333333333334,0.0711033274956217,0.3838630806845965,MLP,FGSM,0.3,PGD_eps0.15_it10,7.406994819641113,PGD,0.15,10,,,42
0.8900122549019608,0.5545851528384279,0.6210268948655256,0.5859284890426759,0.0714535901926444,0.3789731051344743,MLP,FGSM,0.3,PGD_eps0.15_it25,7.406994819641113,PGD,0.15,25,,,42
0.8471200980392157,0.4210526315789473,0.58679706601467,0.4902962206332993,0.1155866900175131,0.4132029339853301,MLP,FGSM,0.3,PGD_eps0.3_it10,7.406994819641113,PGD,0.3,10,,,42
0.8474264705882353,0.421792618629174,0.58679706601467,0.4907975460122699,0.1152364273204903,0.4132029339853301,MLP,FGSM,0.3,PGD_eps0.3_it25,7.406994819641113,PGD,0.3,25,,,42
0.7285539215686274,0.1914618369987063,0.3618581907090464,0.2504230118443316,0.2189141856392294,0.6381418092909535,MLP,FGSM,0.3,PGD_eps0.5_it10,7.406994819641113,PGD,0.5,10,,,42
0.7310049019607843,0.1877496671105193,0.3447432762836185,0.243103448275862,0.2136602451838879,0.6552567237163814,MLP,FGSM,0.3,PGD_eps0.5_it25,7.406994819641113,PGD,0.5,25,,,42
0.6875,0.1435239206534422,0.3007334963325183,0.1943127962085308,0.257092819614711,0.6992665036674817,MLP,FGSM,0.3,PGD_eps0.75_it10,7.406994819641113,PGD,0.75,10,,,42
0.6755514705882353,0.1264367816091954,0.2689486552567237,0.1720093823299452,0.266199649737303,0.7310513447432763,MLP,FGSM,0.3,PGD_eps0.75_it25,7.406994819641113,PGD,0.75,25,,,42
0.9010416666666666,0.5934782608695652,0.6674816625916871,0.6283084004602992,0.0654991243432574,0.3325183374083129,MLP,FGSM,0.3,CW_c0.0_it10,7.406994819641113,CW,,10,0.0,,42
0.8988970588235294,0.5849462365591398,0.6650366748166259,0.6224256292906178,0.067600700525394,0.334963325183374,MLP,FGSM,0.3,CW_c0.5_it10,7.406994819641113,CW,,10,0.5,,42
0.9111519607843136,0.64,0.6650366748166259,0.6522781774580336,0.0535901926444833,0.334963325183374,MLP,FGSM,0.3,Clean,7.406994819641113,Clean,0.0,0,,,42
0.8342524509803921,0.390728476821192,0.5770171149144254,0.4659427443237907,0.1288966725043782,0.4229828850855746,LR,FGSM,0.3,Clean,,Clean,0.0,0,,0.0303883552551269,42
0.7107843137254902,0.2369714847590953,0.589242053789731,0.3380084151472651,0.2718038528896672,0.4107579462102689,LR,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,0.0303883552551269,42
0.3241421568627451,0.124215809284818,0.726161369193154,0.2121428571428571,0.7334500875656742,0.2738386308068459,LR,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,0.0303883552551269,42
0.2230392156862745,0.1125683060109289,0.7555012224938875,0.1959416613823716,0.8532399299474606,0.2444987775061124,LR,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,0.0303883552551269,42
0.2150735294117647,0.1084030556566024,0.7286063569682152,0.1887270424319189,0.8584938704028021,0.2713936430317848,LR,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,0.0303883552551269,42
0.7034313725490197,0.2335557673975214,0.5990220048899756,0.336076817558299,0.2816112084063047,0.4009779951100244,LR,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,0.0303883552551269,42
0.7068014705882353,0.2365384615384615,0.6014669926650367,0.3395445134575569,0.2781085814360771,0.3985330073349633,LR,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,0.0303883552551269,42
0.4010416666666667,0.132254995242626,0.6797066014669927,0.2214257268020709,0.6388791593695271,0.3202933985330073,LR,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,0.0303883552551269,42
0.4129901960784313,0.1326182350073135,0.6650366748166259,0.2211382113821138,0.6231173380035027,0.334963325183374,LR,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,0.0303883552551269,42
0.2619485294117647,0.1141975308641975,0.7237163814180929,0.1972675774741752,0.8042031523642732,0.2762836185819071,LR,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,0.0303883552551269,42
0.2833946078431372,0.1149241819632881,0.7041564792176039,0.197598627787307,0.7768826619964974,0.295843520782396,LR,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,0.0303883552551269,42
0.2248774509803921,0.1105398457583547,0.7359413202933985,0.1922094508301405,0.8483362521891419,0.2640586797066014,LR,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,0.0303883552551269,42
0.2552083333333333,0.1141221374045801,0.7310513447432763,0.1974248927038626,0.8129597197898424,0.2689486552567237,LR,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,0.0303883552551269,42
0.7576593137254902,0.2726190476190476,0.5599022004889975,0.366693354683747,0.2140105078809107,0.4400977995110024,LR,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,0.0303883552551269,42
0.7405024509803921,0.2566666666666666,0.5647921760391198,0.3529411764705882,0.2343257443082311,0.4352078239608802,LR,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,0.0303883552551269,42
0.8370098039215687,0.3966386554621848,0.5770171149144254,0.4701195219123506,0.1257443082311733,0.4229828850855746,SVM,FGSM,0.3,Clean,,Clean,0.0,0,,0.0633077621459961,42
0.7607230392156863,0.2801418439716312,0.5794621026894865,0.3776892430278884,0.2133099824868651,0.4205378973105134,SVM,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,0.0633077621459961,42
0.4647671568627451,0.1456567796610169,0.6723716381418093,0.239442751414889,0.5649737302977232,0.3276283618581907,SVM,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,0.0633077621459961,42
0.2791053921568627,0.1145915939730372,0.706601466992665,0.1972023200272944,0.7821366024518389,0.293398533007335,SVM,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,0.0633077621459961,42
0.2319240196078431,0.1005331302361005,0.6454767726161369,0.1739703459637561,0.8273204903677759,0.3545232273838631,SVM,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,0.0633077621459961,42
0.7521446078431373,0.2737556561085973,0.5916870415647921,0.374323279195669,0.2248686514886164,0.4083129584352078,SVM,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,0.0633077621459961,42
0.7536764705882353,0.2748004561003421,0.589242053789731,0.374805598755832,0.2227670753064798,0.4107579462102689,SVM,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,0.0633077621459961,42
0.4623161764705882,0.1431601272534464,0.6601466992665037,0.2352941176470588,0.5660245183887916,0.3398533007334963,SVM,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,0.0633077621459961,42
