model,accuracy_mean,accuracy_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std
LR,0.8857230392156863,0.006386232716199697,0.5332973674511856,0.025859214264990348,0.4787286063569682,0.030459484601266417,0.06206654991243428,0.0053373415478249935,0.5464060271411524,0.02682113658175068,0.5212713936430318,0.030459484601266427
MLP,0.8611519607843137,0.017244719902719818,0.5666263671814821,0.022515399582428455,0.27872860635696817,0.04850081766473687,0.11880910683012255,0.02538546868866968,0.4698586778298847,0.04461985717250864,0.7212713936430317,0.04850081766473682
RF,0.9120710784313724,0.002122611283785432,0.6618543748055615,0.014584984536459952,0.3124694376528117,0.03161511956038068,0.05576182136602448,0.0034354325282632053,0.6386326518520594,0.007499581478133828,0.6875305623471883,0.031615119560380676
SVM,0.8924019607843137,0.006075144391149712,0.5437447129197179,0.027053614678487437,0.4880195599022005,0.030859194085030742,0.05309982486865143,0.004597656552885595,0.580217740775715,0.027267996875004932,0.5119804400977995,0.030859194085030718
