model,defense_attack,eval_attack,family,accuracy_mean,accuracy_std,adv_train_s_mean,adv_train_s_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,ratio_mean,ratio_std,recall_mean,recall_std,retrain_s_mean,retrain_s_std
LR,FGSM,CW_c0.0_it10,CW,0.7650428921568627,0.03057470807709943,,,0.0,0.0,,,0.3581896494494416,0.029061579537082095,0.4809290953545232,0.027031585514275317,0.19971978984238176,0.03531609996287129,10.0,0.0,0.2746678867433575,0.03108774842501982,0.4,0.10540925533894598,0.5190709046454767,0.02703158551427532,0.03792343139648433,0.0067962050265059845
LR,FGSM,CW_c0.5_it10,CW,0.7469975490196078,0.04927421453830457,,,0.5,0.0,,,0.3465192482865618,0.03674283962185519,0.47408312958435206,0.024189046103264552,0.2213309982486865,0.05691489208333627,10.0,0.0,0.2603813334039504,0.03843838408993203,0.4,0.10540925533894598,0.5259168704156478,0.024189046103264538,0.03792343139648433,0.0067962050265059845
LR,FGSM,Clean,Clean,0.8352941176470589,0.015136581687550959,,,,,0.0,0.0,0.44649704647189453,0.027312185048961657,0.4713936430317848,0.03216498894930627,0.12077057793345006,0.01788574238992449,0.0,0.0,0.3881056823470502,0.036694957545755906,0.4,0.10540925533894598,0.5286063569682151,0.03216498894930627,0.03792343139648433,0.0067962050265059845
LR,FGSM,FGSM_eps0.15,FGSM,0.6798406862745099,0.12709484845400165,,,,,0.15,0.0,0.3226508011944521,0.05568298409945433,0.4308068459657702,0.05541732580270572,0.30430823117338,0.15207666108264478,1.0,0.0,0.2315028438854442,0.05625621302511192,0.4,0.10540925533894598,0.5691931540342299,0.055417325802705725,0.03792343139648433,0.0067962050265059845
LR,FGSM,FGSM_eps0.3,FGSM,0.4328431372549019,0.14759730864101142,,,,,0.3,0.0,0.23416624945101766,0.0367374102632176,0.3347188264058679,0.05364691717620711,0.6004553415061296,0.17474774489444517,1.0,0.0,0.14386236553996562,0.02986682327731854,0.4,0.10540925533894598,0.665281173594132,0.05364691717620707,0.03792343139648433,0.0067962050265059845
LR,FGSM,FGSM_eps0.5,FGSM,0.29816176470588235,0.11709247263138085,,,,,0.5,0.0,0.19455289895047306,0.03574791468512604,0.33691931540342296,0.0946574876033397,0.7541155866900174,0.13373818915508612,1.0,0.0,0.1145008085074077,0.023450561537887278,0.4,0.10540925533894598,0.663080684596577,0.0946574876033397,0.03792343139648433,0.0067962050265059845
LR,FGSM,FGSM_eps0.75,FGSM,0.241360294117647,0.09310531322187314,,,,,0.75,0.0,0.17219348646842755,0.04492822934844589,0.37701711491442536,0.14894058891536302,0.8133099824868651,0.100592698432461,1.0,0.0,0.10010441941453063,0.02702914752206956,0.4,0.10540925533894598,0.6229828850855745,0.14894058891536302,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.15_it10,PGD,0.6487438725490196,0.17110858863397493,,,,,0.15,0.0,0.3156101419884165,0.06457794491681079,0.415158924205379,0.06661862637037223,0.34210157618213655,0.20410991126685246,10.0,0.0,0.22447481093632948,0.06378604690023279,0.4,0.10540925533894598,0.584841075794621,0.06661862637037223,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.15_it25,PGD,0.6488051470588235,0.17271177398474466,,,,,0.15,0.0,0.31719058835637737,0.06507645128988412,0.4119804400977995,0.07078979729043385,0.3424868651488616,0.20636460348018182,25.0,0.0,0.22589738252132846,0.06470147596289486,0.4,0.10540925533894598,0.5880195599022005,0.07078979729043386,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.3_it10,PGD,0.4385110294117647,0.18713921738393932,,,,,0.3,0.0,0.23994366306898596,0.05196409158055509,0.3408312958435208,0.06837422386790382,0.5930998248686514,0.22287799175075187,10.0,0.0,0.1506889828026298,0.04604121375710732,0.4,0.10540925533894598,0.6591687041564792,0.06837422386790382,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.3_it25,PGD,0.438296568627451,0.1859639703620922,,,,,0.3,0.0,0.2387860557807421,0.05076505564922375,0.343520782396088,0.06968334309356548,0.5929597197898424,0.221738539492324,25.0,0.0,0.1498504296822022,0.044963450816255975,0.4,0.10540925533894598,0.656479217603912,0.06968334309356548,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.5_it10,PGD,0.3303921568627451,0.1774921943744992,,,,,0.5,0.0,0.2065936872609706,0.05110946803508157,0.3425427872860635,0.08698301496189889,0.71646234676007,0.20579014019398947,10.0,0.0,0.12454864362460878,0.038244138413073794,0.4,0.10540925533894598,0.6574572127139364,0.08698301496189893,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.5_it25,PGD,0.3338541666666666,0.17886152270571706,,,,,0.5,0.0,0.21076182639029634,0.05560295528337397,0.33300733496332513,0.0753401911227607,0.7138704028021016,0.20642052193144628,25.0,0.0,0.12730543212101,0.041952605357190295,0.4,0.10540925533894598,0.6669926650366749,0.07534019112276072,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.75_it10,PGD,0.27821691176470587,0.15598662135623653,,,,,0.75,0.0,0.18399528773072302,0.059270415692499294,0.37579462102689487,0.1671359736186823,0.7713485113835377,0.1758018532558141,10.0,0.0,0.10900311313002012,0.03873433753462534,0.4,0.10540925533894598,0.6242053789731051,0.1671359736186823,0.03792343139648433,0.0067962050265059845
LR,FGSM,PGD_eps0.75_it25,PGD,0.3022365196078431,0.18016866628693678,,,,,0.75,0.0,0.1942889300974485,0.0698488329557268,0.3706601466992665,0.15288593688864477,0.7446234676007005,0.2017376275060058,25.0,0.0,0.11656334927930641,0.047845081517448804,0.4,0.10540925533894598,0.6293398533007335,0.15288593688864474,0.03792343139648433,0.0067962050265059845
LR,PGD,CW_c0.0_it10,CW,0.7409007352941177,0.04725670084120341,,,0.0,0.0,,,0.33672864285021004,0.04574507691521695,0.4853300733496332,0.030303166165571653,0.22669001751313483,0.053460639800884655,10.0,0.0,0.25259394630364895,0.04836423592754983,0.4,0.10540925533894598,0.5146699266503667,0.030303166165571653,0.04107453823089595,0.008329886750998753
LR,PGD,CW_c0.5_it10,CW,0.7065870098039216,0.07242988760698452,,,0.5,0.0,,,0.31635043066431223,0.0540300177291671,0.47726161369193154,0.031832868652689805,0.2670753064798599,0.08323016894568665,10.0,0.0,0.2304232657573544,0.05532929722408599,0.4,0.10540925533894598,0.5227383863080685,0.031832868652689784,0.04107453823089595,0.008329886750998753
LR,PGD,Clean,Clean,0.8704963235294118,0.015095771369036311,,,,,0.0,0.0,0.5027763722775702,0.02164103489251955,0.4797066014669927,0.032717797991768695,0.0793345008756567,0.020785040841021982,0.0,0.0,0.4915477524365115,0.0530837118249638,0.4,0.10540925533894598,0.5202933985330074,0.03271779799176877,0.04107453823089595,0.008329886750998753
LR,PGD,FGSM_eps0.15,FGSM,0.5473958333333333,0.14128223189263062,,,,,0.15,0.0,0.2689588269352205,0.057840821405936015,0.37652811735941316,0.045566946205360614,0.46350262697022765,0.1670742906904739,1.0,0.0,0.17607926097492094,0.05492416997417463,0.4,0.10540925533894598,0.6234718826405868,0.04556694620536059,0.04107453823089595,0.008329886750998753
LR,PGD,FGSM_eps0.3,FGSM,0.2908394607843137,0.12101918640227512,,,,,0.3,0.0,0.20165989814785204,0.026744970122022396,0.29926650366748164,0.0499506740619106,0.7678809106830122,0.14305591217153346,1.0,0.0,0.11843193786709152,0.019775938651910796,0.4,0.10540925533894598,0.7007334963325184,0.04995067406191063,0.04107453823089595,0.008329886750998753
LR,PGD,FGSM_eps0.5,FGSM,0.21648284313725488,0.07161478994791534,,,,,0.5,0.0,0.15896787383978622,0.04312710776881347,0.41051344743276286,0.1566593044811244,0.8369527145359019,0.0770210335288831,1.0,0.0,0.09197167148441816,0.02533333054955747,0.4,0.10540925533894598,0.5894865525672371,0.15665930448112442,0.04107453823089595,0.008329886750998753
LR,PGD,FGSM_eps0.75,FGSM,0.19117647058823525,0.051449510675478836,,,,,0.75,0.0,0.14283077260213112,0.04572319637423587,0.45990220048899755,0.1766133966572225,0.8588091068301227,0.052404952176544214,1.0,0.0,0.0823399514423309,0.02637510796014172,0.4,0.10540925533894598,0.5400977995110023,0.1766133966572225,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.15_it10,PGD,0.5260110294117647,0.16601632418206821,,,,,0.15,0.0,0.2660051711061799,0.06432973140183632,0.36845965770171146,0.055047530100073905,0.48910683012259193,0.19669926176870292,10.0,0.0,0.17435920356193094,0.060852597681931464,0.4,0.10540925533894598,0.6315403422982885,0.055047530100073905,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.15_it25,PGD,0.5276654411764705,0.16652299573911208,,,,,0.15,0.0,0.26611133492894884,0.06546001331486183,0.3713936430317848,0.054979917465481754,0.4867950963222417,0.1972856208585762,25.0,0.0,0.17483422623738498,0.0621681818254352,0.4,0.10540925533894598,0.6286063569682152,0.05497991746548177,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.3_it10,PGD,0.294485294117647,0.15971737712675393,,,,,0.3,0.0,0.2032322890166091,0.036695843660784856,0.30855745721271394,0.05883570679026066,0.7623817863397548,0.1885384709452656,10.0,0.0,0.12048422109070142,0.028082177745695755,0.4,0.10540925533894598,0.691442542787286,0.05883570679026065,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.3_it25,PGD,0.29344362745098035,0.15712248131701298,,,,,0.3,0.0,0.2027971059223069,0.03551939254715002,0.3083129584352078,0.05698506058123937,0.7636077057793346,0.18553687236037192,25.0,0.0,0.12011383771523823,0.027178063566615496,0.4,0.10540925533894598,0.6916870415647922,0.05698506058123937,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.5_it10,PGD,0.2511029411764706,0.1292463906503155,,,,,0.5,0.0,0.1743806608262293,0.04742269480683214,0.38459657701711486,0.13609724298251405,0.8010858143607706,0.14478630637766393,10.0,0.0,0.10210127719027431,0.030051797760129315,0.4,0.10540925533894598,0.6154034229828851,0.13609724298251405,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.5_it25,PGD,0.25413602941176466,0.12830856098448296,,,,,0.5,0.0,0.17779193472597904,0.044629160211209634,0.3721271393643032,0.12410330210481518,0.7994045534150613,0.14444929221441027,25.0,0.0,0.10406996568902416,0.02848743852792355,0.4,0.10540925533894598,0.6278728606356968,0.1241033021048152,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.75_it10,PGD,0.21525735294117646,0.10461536706764993,,,,,0.75,0.0,0.1463292027270084,0.05591221851865408,0.471882640586797,0.18318744463735043,0.8295621716287215,0.1100849647074283,10.0,0.0,0.08517721542722709,0.03367854130408377,0.4,0.10540925533894598,0.5281173594132029,0.18318744463735046,0.04107453823089595,0.008329886750998753
LR,PGD,PGD_eps0.75_it25,PGD,0.23348651960784306,0.12793649161725645,,,,,0.75,0.0,0.1517885997132919,0.055215447648981356,0.4689486552567237,0.157240575117866,0.8091418563922941,0.13724900253984906,25.0,0.0,0.08893511368377996,0.034235789748424984,0.4,0.10540925533894598,0.5310513447432763,0.157240575117866,0.04107453823089595,0.008329886750998753
MLP,FGSM,CW_c0.0_it10,CW,0.8838848039215688,0.025963253405817035,7.735605263710022,0.1442027543288576,0.0,0.0,,,0.5689142701393519,0.05195688602528374,0.39682151589242054,0.06169309209327028,0.0759019264448336,0.032796531953465304,10.0,0.0,0.5501902013052785,0.09274039788059794,0.4,0.10540925533894598,0.6031784841075795,0.06169309209327029,,
MLP,FGSM,CW_c0.5_it10,CW,0.8803002450980392,0.027016064248701392,7.735605263710022,0.1442027543288576,0.5,0.0,,,0.5596456796065088,0.05580175948635575,0.4017114914425427,0.060067466580540775,0.07929947460595442,0.03272585935278502,10.0,0.0,0.536225857484274,0.09220401083058609,0.4,0.10540925533894598,0.5982885085574572,0.06006746658054079,,
MLP,FGSM,Clean,Clean,0.8991421568627451,0.019552874338884616,7.735605263710022,0.1442027543288576,,,0.0,0.0,0.6061337463952555,0.03825005211384945,0.3865525672371638,0.052621857738316846,0.05992994746059541,0.02676421114533975,0.0,0.0,0.6104576668267303,0.08571117649392569,0.4,0.10540925533894598,0.6134474327628362,0.05262185773831679,,
MLP,FGSM,FGSM_eps0.15,FGSM,0.8819546568627452,0.020781229900361176,7.735605263710022,0.1442027543288576,,,0.15,0.0,0.5396739739935444,0.03736932059514455,0.4530562347188264,0.03824493751741499,0.07005253940455339,0.026106517871488828,1.0,0.0,0.5408923104330018,0.07600719126691158,0.4,0.10540925533894598,0.5469437652811735,0.03824493751741503,,
MLP,FGSM,FGSM_eps0.3,FGSM,0.806280637254902,0.06870841110645456,7.735605263710022,0.1442027543288576,,,0.3,0.0,0.42601926899955445,0.05172665784571766,0.45036674816625916,0.06301136132146476,0.1569527145359019,0.08492864491483892,1.0,0.0,0.36140748557903,0.08251570457376048,0.4,0.10540925533894598,0.5496332518337408,0.06301136132146475,,
MLP,FGSM,FGSM_eps0.5,FGSM,0.7149203431372549,0.10599794095578789,7.735605263710022,0.1442027543288576,,,0.5,0.0,0.3075923791375802,0.056687817343690335,0.517359413202934,0.08940620451124245,0.2518038528896672,0.12854502592821512,1.0,0.0,0.23298766281460206,0.05698356321186046,0.4,0.10540925533894598,0.482640586797066,0.08940620451124248,,
MLP,FGSM,FGSM_eps0.75,FGSM,0.6355698529411764,0.14367455297410256,7.735605263710022,0.1442027543288576,,,0.75,0.0,0.20678921792520505,0.07618694975780188,0.6356968215158924,0.1425660609986626,0.32556917688266196,0.175971927083132,1.0,0.0,0.1536111956350069,0.06752011207259889,0.4,0.10540925533894598,0.36430317848410754,0.1425660609986626,,
MLP,FGSM,PGD_eps0.15_it10,PGD,0.8784313725490197,0.028060484681252395,7.735605263710022,0.1442027543288576,,,0.15,0.0,0.5369292959131698,0.04721615301065983,0.4474327628361858,0.03913677979965108,0.07488616462346756,0.03450825349830462,10.0,0.0,0.5335141750887695,0.09218847359829216,0.4,0.10540925533894598,0.5525672371638142,0.03913677979965106,,
MLP,FGSM,PGD_eps0.15_it25,PGD,0.8778186274509803,0.029577885644585102,7.735605263710022,0.1442027543288576,,,0.15,0.0,0.5351721526933788,0.04994025036807954,0.4493887530562347,0.03950503073643216,0.07530647985989487,0.03589922106190856,25.0,0.0,0.5320189603415063,0.0935355427469203,0.4,0.10540925533894598,0.5506112469437653,0.03950503073643215,,
MLP,FGSM,PGD_eps0.3_it10,PGD,0.8058517156862746,0.08322701756757689,7.735605263710022,0.1442027543288576,,,0.3,0.0,0.4346326033762476,0.06047007416382449,0.4383863080684597,0.07591327218679875,0.15915936952714532,0.1024127237339256,10.0,0.0,0.3708218891673118,0.08782635216269595,0.4,0.10540925533894598,0.5616136919315403,0.07591327218679873,,
MLP,FGSM,PGD_eps0.3_it25,PGD,0.8044424019607843,0.08298946281792799,7.735605263710022,0.1442027543288576,,,0.3,0.0,0.4324970633924535,0.06069531280035714,0.4388753056234719,0.07512344026364967,0.1607005253940455,0.1018428637504396,25.0,0.0,0.3677302606961194,0.0871988473954788,0.4,0.10540925533894598,0.561124694376528,0.07512344026364971,,
